Version,Name,Sentences,Words per sentence,Zero Testing Sentences,Pair Zero Acc,Pair Zero Loss,Non Zero Acc,Non Zero Loss,Zero Acc Avg,Zero Correct,Zero Incorrect,Zero Loss Avg,Finetuning Sentences,Fine Test Sentences,Pair Fine Acc,Pair Fine Loss,Non Fine Acc,Non Fine Loss,Fine Acc Avg,Fine Correct,Fine Incorrect,Fine Loss Avg,Acc Improvement,Loss Improvement
BZJ,Belizean,12021,19.64204309,24041,1,0,0,12.46,0.5,12021,12021,6.23,9016,6011,0.61,0.56,0.8,0.57,0.7,4208,1803,0.57,0.2,-0.04
GUL,Gullah,15023,17.36776942,30045,1,0,0,12.15,0.5,15023,15023,6.08,11267,7512,0.64,0.6,0.84,0.44,0.74,5559,1953,0.52,0.24,-0.13
HPB,Hawaiian,14794,17.89414628,29587,1,0,0,11.95,0.5,14794,14794,5.97,11096,7397,0.69,0.52,0.82,0.46,0.76,5622,1775,0.49,0.26,-0.2
JNT,Jamaican,12350,20.40712551,24699,1,0,0,12.31,0.5,12350,12350,6.16,9263,6175,0.61,0.59,0.85,0.48,0.73,4508,1667,0.53,0.23,-0.08
KJV,King James,7102,25.30822304,14203,1,0.01,0.02,10.36,0.51,7244,6959,5.19,5327,3551,0.79,0.42,0.8,0.47,0.8,2841,710,0.45,0.29,-0.34
NRSV,English,7726,22.68146518,15451,0.98,0.09,0.18,7.67,0.58,8962,6489,3.88,5795,3863,0.79,0.43,0.8,0.45,0.79,3052,811,0.44,0.21,-0.35
PCM,Nigerian,9297,20.49951597,18593,1,0,0,12.35,0.5,9297,9297,6.17,6973,4649,0.69,0.53,0.78,0.52,0.73,3394,1255,0.52,0.23,-0.16
SCO1904,Scots,6065,29.3004122,12129,1,0,0,11.82,0.5,6065,6065,5.91,4549,3033,0.78,0.44,0.71,0.58,0.75,2275,758,0.51,0.24,-0.27
SIPB,Solomon Islands,13316,19.64170922,26631,1,0,0,12.65,0.5,13316,13316,6.33,9987,6658,0.58,0.67,0.89,0.39,0.74,4927,1731,0.53,0.24,-0.05
USNT,Ulster Scots,4445,20.39325084,8889,1,0,0,12.09,0.5,4445,4445,6.05,3334,2223,0.52,0.66,0.78,0.58,0.65,1445,778,0.62,0.15,0.09
EAB,Basque,7030,17.30896159,14059,1,0,0,12.37,0.5,7030,7030,6.18,5273,3515,0.58,0.57,0.77,0.6,0.67,2355,1160,0.59,0.17,0.01
HUNB,Hungarian,7070,18.80311174,14139,1,0,0,12.24,0.5,7070,7070,6.12,5303,3535,0.55,0.58,0.81,0.61,0.68,2404,1131,0.59,0.18,0.04
SWZZB1921,Swahili,6302,19.30958426,12603,1,0,0,12.39,0.5,6302,6302,6.19,4727,3151,0.43,0.74,0.9,0.46,0.67,2111,1040,0.6,0.17,0.17
TCL02,Turkish,9232,11.3125,18463,1,0,0,12.03,0.5,9232,9232,6.02,6924,4616,0.51,0.62,0.81,0.61,0.66,3047,1569,0.61,0.16,0.1
