,book,chapt,version,text
0,MAT,1,BZJ,dis da di buk a di famili chree a jeezas krais weh kohn dong fahn aybraham ahn king dayvid famili lain
1,MAT,1,BZJ,aybraham son dami aizak
2,MAT,1,BZJ,aizak son dami jaykop
3,MAT,1,BZJ,jaykop son dehn dami jooda ahn ih breda dehn
4,MAT,1,BZJ,jooda son dehn dami payres ahn zera
5,MAT,1,BZJ,ahn fi dehn ma dami taymar
6,MAT,1,BZJ,payres son dami hezron
7,MAT,1,BZJ,hezron son dami ram
8,MAT,1,BZJ,ram son dami aminadab
9,MAT,1,BZJ,aminadab son dami nashon
10,MAT,1,BZJ,nashon son dami salmon
11,MAT,1,BZJ,salmon son dami bowaz
12,MAT,1,BZJ,ahn fi hihn ma dami rayhab
13,MAT,1,BZJ,bowaz son dami obed
14,MAT,1,BZJ,ahn fi hihn ma dami root
15,MAT,1,BZJ,obed son dami jesi
16,MAT,1,BZJ,jesi son dami king dayvid
17,MAT,1,BZJ,dayvid son dami salaman
18,MAT,1,BZJ,ahn fi hihn ma dami uraiya waif
19,MAT,1,BZJ,salaman son dami rehobowam
20,MAT,1,BZJ,rehobowam son dami abija
21,MAT,1,BZJ,abija son dami aysa
22,MAT,1,BZJ,aysa son dami jehoshafat
23,MAT,1,BZJ,jehoshafat son dami joram
24,MAT,1,BZJ,joram son dami uzaiya
25,MAT,1,BZJ,uzaiya son dami jotam
26,MAT,1,BZJ,jotam son dami ayhaz
27,MAT,1,BZJ,ayhaz son dami hezikaiya
28,MAT,1,BZJ,hezikaiya son dami manaaseh
29,MAT,1,BZJ,manaaseh son dami amon
30,MAT,1,BZJ,amon son dami josaiya
31,MAT,1,BZJ,josaiya son dami jekonaiya ahn ih breda dehn
32,MAT,1,BZJ,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv
33,MAT,1,BZJ,now afta dehn kyapcha dehn
34,MAT,1,BZJ,jekonaiya son dami sheyaltyel
35,MAT,1,BZJ,sheyaltyel son dami zerubabel
36,MAT,1,BZJ,zerubabel son dami abiyud
37,MAT,1,BZJ,abiyud son dami elaiyakim
38,MAT,1,BZJ,elaiyakim son dami azor
39,MAT,1,BZJ,azor son dami zaydak
40,MAT,1,BZJ,zaydak son dami akim
41,MAT,1,BZJ,akim son dami eliyud
42,MAT,1,BZJ,eliyud son dami eliyayza
43,MAT,1,BZJ,eliyayza son dami matan
44,MAT,1,BZJ,matan son dami jaykop
45,MAT,1,BZJ,jaykop son dami joazef
46,MAT,1,BZJ,joazef waif dami mayri
47,MAT,1,BZJ,mayri dami jeezas ma
48,MAT,1,BZJ,ahn dehn kaal jeezas di krais
49,MAT,1,BZJ,soh fahn aybraham tu dayvid da foateen jenarayshan den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan
50,MAT,1,BZJ,dis da how jeezas krais mi baan ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant
51,MAT,1,BZJ,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa
52,MAT,1,BZJ,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri da baybi weh deh eena ih beli da fahn di hoali spirit
53,MAT,1,BZJ,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin
54,MAT,1,BZJ,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo
