,book,chapt,version,text
0,MAT,1,BZJ,dis da di buk a di famili chree a jeezas krais weh kohn dong fahn aybraham ahn king dayvid famili lain
1,MAT,1,BZJ,jaykop son dehn dami jooda ahn ih breda dehn
2,MAT,1,BZJ,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar
3,MAT,1,BZJ,salmon son dami bowaz ahn fi hihn ma dami rayhab
4,MAT,1,BZJ,bowaz son dami obed ahn fi hihn ma dami root
5,MAT,1,BZJ,obed son dami jesi jesi son dami king dayvid
6,MAT,1,BZJ,dayvid son dami salaman ahn fi hihn ma dami uraiya waif
7,MAT,1,BZJ,josaiya son dami jekonaiya ahn ih breda dehn
8,MAT,1,BZJ,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv
9,MAT,1,BZJ,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel
10,MAT,1,BZJ,ahn dehn kaal jeezas di krais
11,MAT,1,BZJ,soh fahn aybraham tu dayvid da foateen jenarayshan
12,MAT,1,BZJ,den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan
13,MAT,1,BZJ,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan
14,MAT,1,BZJ,dis da how jeezas krais mi baan
15,MAT,1,BZJ,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant
16,MAT,1,BZJ,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa
17,MAT,1,BZJ,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri
18,MAT,1,BZJ,da baybi weh deh eena ih beli da fahn di hoali spirit
19,MAT,1,BZJ,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin
20,MAT,1,BZJ,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo
21,MAT,1,BZJ,ih mi seh wahn verjin wahn ga wahn lee baybi bwai ahn dehn wahn kaal ahn imanyuwel weh meen gaad deh wid wi
22,MAT,1,BZJ,soh wen joazef wayk op ih du evriting weh di aynjel mi tel ahn fi du
23,MAT,1,BZJ,ih tek mayri ahn marid tu ahn
24,MAT,1,BZJ,bot hihn ahn mayri neva sleep tugeda til afta di baybi baan ahn wen di baybi baan joazef naym ahn jeezas
25,MAT,2,BZJ,now jeezas mi baan da wahn tong eena judeeya weh nayhn betlihem wen herod dami king
26,MAT,2,BZJ,wahn lee wail afta jeezas mi baan sohn waiz man weh stodi di staar dehn kohn fahn sohn konchri weh deh ees fahn jeroosalem ahn dehn midi aks wehpaa di baybi deh weh baan weh da king a di jooish peepl dehn
27,MAT,2,BZJ,wen wi mi deh da fi wee konchri wee si di staar weh dami di sain dat hihn mi wahn baan soh wi kohn kohn wership ahn
28,MAT,2,BZJ,wen king herod yehr dis hihn ahn aala di teecha dehn a di laa ahn evribadi da jeroosalem staat tu wori fi chroo chroo
29,MAT,2,BZJ,ih kaal aala di cheef prees dehn ahn aala di teecha dehn a di laa ahn aks dehn seh da wehpaa dis krais fi baan
30,MAT,2,BZJ,dehn ansa ahn seh da betlihem eena judeeya
31,MAT,2,BZJ,dis da weh di prafit dehn mi rait fahn lang taim ahn yoo betlihem tong weh deh eena judeeya yoo da noh no smaal taim tong monks di big taim tong dehn da judeeya kaa wahn king wahn kohn fahn owta yu ahn da king wahn leed mi peepl a izrel laik wahn shepad
32,MAT,2,BZJ,soh herod gaan ahn hoal wahn seekrit meetn wid di waiz man dehn fi chrai fain owt fahn dehn weh taim dehn mi fos si di staar
33,MAT,2,BZJ,den ih sen dehn da betlihem ahn dis da weh ih tel dehn fi du unu goh ahn luk fi di pikni til unu fain ahn
34,MAT,2,BZJ,wen unu fain ahn unu mek ah noa wehpaa ih deh soh dat ai ku wership ahn tu
35,MAT,2,BZJ,afta herod don taak tu dehn dehn gaan
36,MAT,2,BZJ,pahn di way dehn si di staar agen da mi di sayhn staar weh dehn mi si fos wichpaa dehn mi kohn fram
37,MAT,2,BZJ,ahn di staar leed dehn di hoal way til ih stap rait oava wehpaa di baybi mi deh
38,MAT,2,BZJ,wel dehn mi oanli glad fi si di staar
39,MAT,2,BZJ,dehn gaan eena di hows ahn si di baybi wid ih ma weh dami mayri
40,MAT,2,BZJ,den dehn neel dong ahn wership di baybi
41,MAT,2,BZJ,afta dat dehn oapm dehn ekspensiv gif ahn gi ahn goal ahn frankinsens ahn mer
42,MAT,2,BZJ,afta dat dehn gaahn bak da dehn oan konchri bai wahn nada rowt kaa gaad waan dehn eena wahn jreem noh fi goh bak tu herod
43,MAT,2,BZJ,afta dehn don gaan wahn aynjel fahn di laad taak tu joazef eena wahn jreem ahn tel ahn seh get op tek di pikni ahn ih ma ahn goh da eejip
44,MAT,2,BZJ,stay deh til ah tel yu wen fi lef kaa herod di luk fi di pikni fi kil ahn
45,MAT,2,BZJ,soh joazef get op joorin di nait ahn kehr ih waif ahn pikni ahn ih gaahn da eejip ahn ih stay deh til herod ded
46,MAT,2,BZJ,soh weh di prafit mi seh kohn chroo
47,MAT,2,BZJ,ih mi seh ah kaal mi son owta eejip
48,MAT,2,BZJ,wen herod fain owt dat di waiz man dehn mi chrik ahn ih mi beks no miks
49,MAT,2,BZJ,ih gi aadaz fi kil aala di lee bwai pikni dehn weh mi too yaaz ahn anda weh mi liv da betlihem ahn aal di ada tong dehn weh mi deh rong deh
50,MAT,2,BZJ,ih du dat kaa di waiz man dehn mi tel ahn dat da mi too yaaz sins dehn mi fos si di staar
51,MAT,2,BZJ,wen dis hapm weh di prafit jerimaiya mi seh mi did kohn chroo
52,MAT,2,BZJ,ih mi seh yu yehr wahn vais da raama di skreem ahn baal
53,MAT,2,BZJ,raychel di baal fi ih pikni dehn ahn nobadi kyaahn kansoal ahn kaa ih pikni dehn ded
54,MAT,2,BZJ,joazef mi stil deh da eejip wen herod ded
55,MAT,2,BZJ,ahn wahn aynjel fahn di laad taak tu ahn eena wahn jreem agen
56,MAT,2,BZJ,ih tel ahn seh get op tek di pikni ahn ih ma ahn goh bak da izrel kaa di peepl dehn weh midi chrai fi kil yu pikni don ded
57,MAT,2,BZJ,soh joazef get op ahn ih tek ih pikni ahn ih waif ahn ih gaahn bak da izrel
58,MAT,2,BZJ,bot wen ih yehr seh dat arkelos tek ih pa herod plays az king a judeeya ih mi frayd fi goh deh
59,MAT,2,BZJ,gaad waan ahn eena wahn jreem soh ih gaahn da gyalilee insted
60,MAT,2,BZJ,dehn gaahn liv da wahn tong weh nayhn nazaret soh weh di prafit mi seh kuda mi kohn chroo
61,MAT,2,BZJ,ih mi seh dehn wahn kaal ahn wahn nazareen
62,MAT,3,BZJ,sohn yaaz afta dat jan di baptis mi deh eena di dezert da judeeya di preech seh ton fahn unu sin dehn kaa di kingdom a hevn wahn soon kohn
63,MAT,3,BZJ,dis da di mesinja weh aizaiya di prafit mi rait bowt wen ih seh hihn da di vais weh di hala owt eena di dezert di seh unu geh redi fi wen di laad kohn ahn mek di road dehn schrayt far ahn
64,MAT,3,BZJ,jan midi wayr kloaz weh mek owta kyamil hyaa ahn ih mi ga wahn tik leda belt rong ih ways
65,MAT,3,BZJ,ih yoostu eet loakos ahn wail honi
66,MAT,3,BZJ,den peepl fahn jeroosalem ahn fahn judeeya dischrik ahn fahn aal oava di konchrisaid rong jaadn riva midi goh owt tu wehpaa jan mi deh
67,MAT,3,BZJ,afta dehn don kanfes dehn sin dehn tu gaad jan baptaiz dehn eena jaadn riva
