,book,chapt,version,text
0,MAT,1,EAB,abrahamen eta daviden ondorengo den jesus mesiasen arbasoen zerrenda
1,MAT,1,EAB,abrahamek isaak
2,MAT,1,EAB,sortu zuen isaakek jakob jakobek juda eta honen anaiak
3,MAT,1,EAB,judak fares
4,MAT,1,EAB,eta zara tamarrengandik faresek esrom esromek aram
5,MAT,1,EAB,aramek aminadab aminadabek naason naasonek salmon
6,MAT,1,EAB,salmonek booz rahabengandik boozek obed rutengandik obedek jese
7,MAT,1,EAB,eta jesek david erregea
8,MAT,1,EAB,davidek salomon sortu zuen uriasen emazte izanarengandik
9,MAT,1,EAB,salomonek roboam roboamek abia abiak asaf
10,MAT,1,EAB,asafek josafat josafatek joram joramek ozias
11,MAT,1,EAB,oziasek joatam joatamek akaz akazek ezekias
12,MAT,1,EAB,ezekiasek manases manasesek amon amonek josias
13,MAT,1,EAB,eta josiasek jekonias eta honen anaiak israeldarrak babiloniara erbesteratu
14,MAT,1,EAB,zituzten garaian
15,MAT,1,EAB,babiloniako erbestealdiaren ondoren jekoniasek
16,MAT,1,EAB,salatiel sortu zuen salatielek zorobabel
17,MAT,1,EAB,zorobabelek abiud abiudek eliakim eliakimek azor
18,MAT,1,EAB,azorrek sadok sadokek akim akimek eliud
19,MAT,1,EAB,eliudek eleazar eleazarrek matan matanek jakob
20,MAT,1,EAB,eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana
21,MAT,1,EAB,hona beraz zenbat gizaldi guztira abrahamengandik davidengana hamalau davidengandik babiloniako erbestealdira beste hamalau eta babiloniako erbestealditik mesiasengana beste hamalau
22,MAT,1,EAB,jesus mesiasen sortzea honela gertatu zen maria
23,MAT,1,EAB,jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez
24,MAT,1,EAB,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen
25,MAT,1,EAB,asmo horrekin zebilela jaunaren aingerua
26,MAT,1,EAB,agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator
27,MAT,1,EAB,semea izango du eta zuk jesus
28,MAT,1,EAB,ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik
29,MAT,1,EAB,hau guztia jaunak profetaren bidez esana bete
30,MAT,1,EAB,zedin gertatu zen
31,MAT,1,EAB,hara
32,MAT,1,EAB,birjinak haurdun gertatu eta semea izango du eta emmanuel jarriko dio izena
33,MAT,1,EAB,emmanuel izenak jainkoa gurekin esan nahi du
34,MAT,1,EAB,esnatzean jaunaren aingeruak agindua egin zuen josek eta maria emaztetzat hartu zuen
35,MAT,1,EAB,eta ez zuten ezkontzaharremanik izan mariak semea izan zuen arte eta josek jesus izena ipini zion
36,MAT,2,EAB,jesus judeako belen
37,MAT,2,EAB,herrian jaio zen herodes erregearen garaian jesus jaio ondoren sortaldeko jakintsu
38,MAT,2,EAB,batzuk azaldu ziren jerusalemen
39,MAT,2,EAB,galdezka
40,MAT,2,EAB,non da juduen errege jaioberria haren izarra ikusi dugu sortaldean eta gurtzera gatoz
41,MAT,2,EAB,berri honekin larritu egin zen herodes erregea baita jerusalem hiri osoa ere
42,MAT,2,EAB,orduan herriko apaizburu eta legemaisu guztiak bildu eta mesias non jaiotzekoa zen galdetu zien
43,MAT,2,EAB,haiek erantzun zioten
44,MAT,2,EAB,judeako belenen honela idatzi baitzuen profetak
45,MAT,2,EAB,eta zu judako belen ez zara ez
46,MAT,2,EAB,judako hirietan txikiena
47,MAT,2,EAB,zuregandik aterako baita buruzagia
48,MAT,2,EAB,israel nire herria
49,MAT,2,EAB,gobernatuko duena
50,MAT,2,EAB,orduan herodesek jakintsuak isilean deiturik izarra noiz agertu zitzaien jakin zuen zehatz
51,MAT,2,EAB,gero belenera bidali zituen esanez zoazte eta jakin xuxen haurraren berri eta aurkitu ondoren adierazi niri neu ere gurtzera joan nadin
52,MAT,2,EAB,erregearen hitz hauek entzunik abiatu egin ziren bidean sortaldean ikusitako izarra agertu zitzaien eta biziki poztu ziren izarra aurretik joan zitzaien haurra zegoen toki gainean gelditu arte
53,MAT,2,EAB,etxean sarturik haurra ikusi zuten maria bere amarekin eta ahuspezturik gurtu ondoren beren kutxatilak zabalduz eskuerakutsiak eskaini zizkioten urrea intsentsua eta mirra
54,MAT,2,EAB,gero herodesengana ez itzultzeko oharra ametsetan harturik beste bide batetik itzuli ziren beren herrialdera
55,MAT,2,EAB,jakintsuek alde egin ondoren jaunaren aingerua agertu zitzaion ametsetan joseri eta esan zion jaiki hartu haurra eta ama eta zoaz ihesi egiptora egon han nik esan arte haurraren bila ibiliko baita herodes hilarazteko
56,MAT,2,EAB,hartu zituen beraz josek haurra eta ama gauez eta egiptora alde egin zuen
57,MAT,2,EAB,han bizi izan zen herodes hil arte horrela jaunak profetaren bidez esana bete zen
58,MAT,2,EAB,egiptotik etortzeko dei egin nion neure semeari
59,MAT,2,EAB,herodes erregea jakintsuek engainatu egin zutela oharturik biziki haserretu zen eta belenen eta inguruetan bi urtez azpiko haur guztiak hiltzeko agindu zuen jakintsuek adierazitako denbora kontuan harturik
60,MAT,2,EAB,honela bete zen jeremias profetak esana
61,MAT,2,EAB,entzun
62,MAT,2,EAB,aieneak eta negar samina raman
63,MAT,2,EAB,rakel ari da
64,MAT,2,EAB,bere haurrengatik negarrez
65,MAT,2,EAB,ez du kontsolatu nahi
66,MAT,2,EAB,ez baitira bizi
