,book,chapt,version,text
0,MAT,1,EAB,abrahamen eta daviden ondorengo den jesus mesiasen arbasoen zerrenda abrahamek isaak sortu zuen isaakek jakob jakobek juda eta honen anaiak judak fares eta zara tamarrengandik faresek esrom esromek aram aramek aminadab aminadabek naason naasonek salmon salmonek booz rahabengandik boozek obed rutengandik obedek jese eta jesek david erregea
1,MAT,1,EAB,davidek salomon sortu zuen uriasen emazte izanarengandik salomonek roboam roboamek abia abiak asaf asafek josafat josafatek joram joramek ozias oziasek joatam joatamek akaz akazek ezekias ezekiasek manases manasesek amon amonek josias eta josiasek jekonias eta honen anaiak israeldarrak babiloniara erbesteratu zituzten garaian
2,MAT,1,EAB,babiloniako erbestealdiaren ondoren jekoniasek salatiel sortu zuen salatielek zorobabel zorobabelek abiud abiudek eliakim eliakimek azor azorrek sadok sadokek akim akimek eliud eliudek eleazar eleazarrek matan matanek jakob eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana
3,MAT,1,EAB,hona beraz zenbat gizaldi guztira abrahamengandik davidengana hamalau davidengandik babiloniako erbestealdira beste hamalau eta babiloniako erbestealditik mesiasengana beste hamalau
4,MAT,1,EAB,jesus mesiasen sortzea honela gertatu zen maria jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez
5,MAT,1,EAB,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen
6,MAT,1,EAB,asmo horrekin zebilela jaunaren aingerua agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator
7,MAT,1,EAB,semea izango du eta zuk jesus ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik
8,MAT,1,EAB,hau guztia jaunak profetaren bidez esana bete zedin gertatu zen hara birjinak haurdun gertatu eta semea izango du eta emmanuel jarriko dio izena emmanuel izenak jainkoa gurekin esan nahi du
9,MAT,1,EAB,esnatzean jaunaren aingeruak agindua egin zuen josek eta maria emaztetzat hartu zuen
10,MAT,1,EAB,eta ez zuten ezkontzaharremanik izan mariak semea izan zuen arte eta josek jesus izena ipini zion
11,MAT,2,EAB,jesus judeako belen herrian jaio zen herodes erregearen garaian
12,MAT,2,EAB,jesus jaio ondoren sortaldeko jakintsu batzuk azaldu ziren jerusalemen galdezka non da juduen errege jaioberria
13,MAT,2,EAB,haren izarra ikusi dugu sortaldean eta gurtzera gatoz
14,MAT,2,EAB,berri honekin larritu egin zen herodes erregea baita jerusalem hiri osoa ere
15,MAT,2,EAB,orduan herriko apaizburu eta legemaisu guztiak bildu eta mesias non jaiotzekoa zen galdetu zien
16,MAT,2,EAB,haiek erantzun zioten judeako belenen honela idatzi baitzuen profetak eta zu judako belen ez zara ez judako hirietan txikiena zuregandik aterako baita buruzagia israel nire herria gobernatuko duena orduan herodesek jakintsuak isilean deiturik izarra noiz agertu zitzaien jakin zuen zehatz
17,MAT,2,EAB,gero belenera bidali zituen esanez zoazte eta jakin xuxen haurraren berri eta aurkitu ondoren adierazi niri neu ere gurtzera joan nadin
18,MAT,2,EAB,bidean sortaldean ikusitako izarra agertu zitzaien eta biziki poztu ziren
