,book,chapt,version,text
0,MAT,1,HPB,dis book tell bout jesus an his ancesta guys he da christ guy da spesho guy god wen sen he from king david ohana an david he from abraham ohana
1,MAT,1,HPB,dis jesus ohana lis get fourteen faddahs from abraham to david abraham he isaac faddah isaac he jacob faddah jacob he judah faddah an all judah braddahs he dea faddah too
2,MAT,1,HPB,judah he perez an zerah faddah an tamar she dea muddah perez he hezron faddah hezron he ram faddah
3,MAT,1,HPB,ram he aminadab faddah aminadab he nashon faddah nashon he salmon faddah
4,MAT,1,HPB,salmon he boaz faddah an rahab she boaz muddah boaz he obed faddah an ruth she obed muddah obed he jesse faddah
5,MAT,1,HPB,an jesse he king david faddah
6,MAT,1,HPB,den had fourteen faddahs from david till dey come prisonas babylon side david he solomon faddah an solomon muddah batsheba befo dat she uriah wife
7,MAT,1,HPB,solomon he rehoboam faddah rehoboam he abijah faddah abijah he asa faddah
8,MAT,1,HPB,asa he jehoshafat faddah jehoshafat he joram faddah joram he uzziah faddah
9,MAT,1,HPB,uzziah he jotham faddah jotham he ahaz faddah ahaz he hezekiah faddah
10,MAT,1,HPB,hezekiah he manasseh faddah manasseh he amos faddah amos he josiah faddah
11,MAT,1,HPB,josiah he koniah faddah an koniah braddahs too was dat time wen da babylon armies wen make prisonas all da jew guys an take um away babylon side
12,MAT,1,HPB,afta dey take um away babylon side had fourteen faddahs koniah he shealtiel faddah shealtiel he zerubbabel faddah
13,MAT,1,HPB,zerubbabel he abiud faddah abiud he eliakim faddah eliakim he azor faddah
14,MAT,1,HPB,azor he zadok faddah zadok he akim faddah akim he eliud faddah
15,MAT,1,HPB,eliud he eleazar faddah eleazar he mattan faddah mattan he jacob faddah
16,MAT,1,HPB,jacob he joseph faddah an joseph he mary husban mary born jesus da one dey call da christ guy da spesho guy god wen sen
17,MAT,1,HPB,so da lis fo da faddahs from abraham till king david get fourteen faddahs one afta da odda an from king david till dey come prisonas babylon side get fourteen faddahs an from wen dey prisonas babylon side till jesus da christ guy get fourteen faddahs
18,MAT,1,HPB,befo mary born jesus da spesho guy god wen sen dis happen mary she make ready fo marry joseph but befo dey marry da good an spesho spirit make her get hapai
19,MAT,1,HPB,joseph da guy dat goin come her husban he one guy dat do da right ting erytime an he no like make her come shame in front da peopo so he figga i no goin marry her but i no goin tell nobody
20,MAT,1,HPB,but wen he stay figga lidat right den an dea wen he stay dreaming one angel messenja guy from da one in charge come by him da angel guy tell eh joseph you from king david ohana no sked take mary fo come yoa wife cuz she hapai from god spirit dat stay good an spesho
21,MAT,1,HPB,she goin born one boy an you goin name um jesus cuz he goin get his peopo outa da kine bad stuff dey do
22,MAT,1,HPB,all dis happen jalike isaiah wen tell da guy dat talk fo god long time befo time
23,MAT,1,HPB,lissen up one young wahine
24,MAT,1,HPB,who neva sleep wit nobody
25,MAT,1,HPB,goin get hapai
26,MAT,1,HPB,she goin born one boy
27,MAT,1,HPB,dey goin name him emmanuel
28,MAT,1,HPB,emmanuel mean god stay hea now wit us guys
29,MAT,1,HPB,joseph wake up an he do wat da angel guy from da one in charge tell him fo do he take mary home fo come his wife
