,book,chapt,version,text
0,MAT,1,HUNB,jezus krisztusnak a david fianak az abraham fianak nemzetsegkonyve
1,MAT,1,HUNB,abraham fia volt izsak izsake jakob jakob fiai pedig juda es testverei
2,MAT,1,HUNB,juda fia volt a tamartol szuletett faresz es zerah faresze heszron heszrone pedig aram
3,MAT,1,HUNB,aram fia volt amminadab amminadabe nahson nahsone szalmon
4,MAT,1,HUNB,szalmon fia volt rahabtol boaz boaze ruthtol obed obede isai
5,MAT,1,HUNB,isai fia volt david a kiraly
6,MAT,1,HUNB,david fia volt salamon urias felesegetol
7,MAT,1,HUNB,salamon fia volt roboam roboame abijja abijjae pedig asza
8,MAT,1,HUNB,asza fia volt josafat josafate joram jorame uzzijja
9,MAT,1,HUNB,uzzijja fia volt jotam jotame ahaz ahaze ezekias
10,MAT,1,HUNB,ezekias fia volt manasse manasse fia volt amon amone josias
11,MAT,1,HUNB,josias fia pedig jekonjas es testverei a babiloni fogsagbavitelkor
12,MAT,1,HUNB,a babiloni fogsagbavitel utan jekonjas fia volt sealtiel sealtiele zerubbabel
13,MAT,1,HUNB,zerubbabel fia volt abihud abihude eljakim eljakime pedig azzur
14,MAT,1,HUNB,azzur fia volt cadok cadoke jakin jakine elihud
15,MAT,1,HUNB,elihud fia volt eleazar eleazare mattan mattane jakob
16,MAT,1,HUNB,jakob fia volt jozsef annak a marianak ferje akitol jezus szuletett akit krisztusnak neveznek
17,MAT,1,HUNB,osszesen tehat abrahamtol davidig tizennegy nemzedek davidtol a babiloni fogsagbavitelig is tizennegy nemzedek a babiloni fogsagbaviteltol krisztusig szinten tizennegy nemzedek
18,MAT,1,HUNB,jezus krisztus szuletese pedig igy tortent anyja maria jegyese volt jozsefnek de mielott egybekeltek volna kitunt hogy aldott allapotban van a szentlelektol
19,MAT,1,HUNB,ferje jozsef igaz ember volt es nem akarta ot megszegyeniteni ezert elhatarozta hogy titokban bocsatja el
20,MAT,1,HUNB,amikor azonban ezt vegiggondolta magaban ime az ur angyala megjelent neki almaban es ezt mondta jozsef david fia ne felj magadhoz venni felesegedet mariat mert ami benne fogant az a szentlelektol van
21,MAT,1,HUNB,fiut fog szulni akit nevezz el jezusnak mert o szabaditja meg nepet buneibol
22,MAT,1,HUNB,mindez pedig azert tortent hogy beteljesedjek amit az ur mondott a profeta altal
23,MAT,1,HUNB,ime a szuz fogan meheben fiut szul akit immanuelnek neveznek ami azt jelenti velunk az isten
24,MAT,1,HUNB,jozsef pedig amikor felebredt almabol ugy cselekedett ahogyan az ur angyala parancsolta neki magahoz vette feleseget
25,MAT,1,HUNB,de nem erintette addig amig meg nem szulte fiat akit jezusnak nevezett el
