,book,chapt,version,text
0,MAT,1,JNT,dis a di lis a krais jiizas faada faada dem go bak jiizas did kom fram dievid an iebriyam fambili
1,MAT,1,JNT,iebriyam did a aizak faada
2,MAT,1,JNT,an aizak did a jiekob faada
3,MAT,1,JNT,jiekob pikni dem a did juuda an juuda breda dem
4,MAT,1,JNT,juuda a did perez an ziira faada tamaar did a dem mada
5,MAT,1,JNT,perez pikni a did ezran
6,MAT,1,JNT,an ezran pikni a did ram
7,MAT,1,JNT,aminadab a did ram pikni
8,MAT,1,JNT,an fi aminadab pikni a did nieshan
9,MAT,1,JNT,an saman a did fi nieshan pikni
10,MAT,1,JNT,saman a did buowaz faada im mada a did rieyab
11,MAT,1,JNT,buowaz a did uobed faada ruut a did im mada
12,MAT,1,JNT,jesi a did uobed pikni
13,MAT,1,JNT,an jesi did a king dievid faada
14,MAT,1,JNT,dievid did a salaman faada a yuuraiya waif did a fi im mada
15,MAT,1,JNT,salaman pikni a did reyobuom
16,MAT,1,JNT,reyobuom a did abija faada
17,MAT,1,JNT,an abija a did asa faada
18,MAT,1,JNT,asa pikni a did jeyoshafat
19,MAT,1,JNT,jeyoshafat a did fi juoram faada
20,MAT,1,JNT,juoram pikni did a uziya
21,MAT,1,JNT,uziya pikni a did juotam
22,MAT,1,JNT,juotam a did fi ayaz faada
23,MAT,1,JNT,an ayaz did a ezikaiya faada
24,MAT,1,JNT,ezikaiya a did fi manase faada
25,MAT,1,JNT,an manase a did ieman faada
26,MAT,1,JNT,ieman pikni did a josaiya
27,MAT,1,JNT,an josaiya a did fi jekonaiya faada plos im did av som ada bwai pikni dis a roun di taim wen di babiluoniyan dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan
28,MAT,1,JNT,afta da taim de
29,MAT,1,JNT,jekonaiya did av shiyaltiyel
30,MAT,1,JNT,an shiyaltiyel did get zeruubabel
31,MAT,1,JNT,zeruubabel pikni did a abiyud
32,MAT,1,JNT,abiyud a did elaiyakim faada
33,MAT,1,JNT,an elaiyakim did a fi azuor faada
34,MAT,1,JNT,azuor pikni did a zadak
35,MAT,1,JNT,zadak pikni did a akim
36,MAT,1,JNT,an akim did a eliyud faada
37,MAT,1,JNT,eliyud did a elieza faada
38,MAT,1,JNT,elieza pikni did a matan
39,MAT,1,JNT,matan a did fi jiekob faada
40,MAT,1,JNT,an jiekob did a juozif faada dat a mieri ozban mieri we did av jiizas dat a krais jiizas
41,MAT,1,JNT,so fram iebriyam go chriet baka dievid a fuotiin jinarieshan jiizas did av an fram dievid taim op tu wen dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan a fuotiin jinarieshan jiizas did av deso tu an fram da taim de tu wen krais jiizas baan a fuotiin jinarieshan dat tu
42,MAT,1,JNT,dis a ou jiizas krais did baan im mada mieri did jos ingiej fi marid juozif dem neehn kom liv tugeda yet laik ozban an waif bot dem fain se shi did av biebi iina beli an a di uoli spirit did put di biebi de
43,MAT,1,JNT,nou juozif di man we shi did ingiej fi marid im a did wan gud man we aalwiez du wa rait im neehn waahn shiem ar infronta evribadi so im mek op im main fi lef ar anda di kwaiyat
44,MAT,1,JNT,jos wen juozif did a tingk fi du dat wach ya nou wan a di laad ienjel dem no jriim im di ienjel se juozif dievid pikni no fried fi tek mieri an marid ar kaa di pikni we iina ar beli a di uoli spirit put im de
45,MAT,1,JNT,shi ago av wan bwai pikni an yu fi kaal im jiizas kaa im ago siev im piipl dem fram dem sin
46,MAT,1,JNT,nou aal a dem sitn ya apm fi mek wa di laad did tel di prafit fi se kom chuu
47,MAT,1,JNT,di prafit did se
48,MAT,1,JNT,lisn op di uman we neehn sliip wid no man ago get biebi a wan bwai shi ago av an dem ago kaal im imanyuwel
49,MAT,1,JNT,da niem de miin
50,MAT,1,JNT,gad de ya wid wi
51,MAT,1,JNT,den wen juozif wiek op im du jos wa di ienjel tel im fi du im tek mieri an go marid ar
52,MAT,1,JNT,bot im neehn go a bed wid ar til shi av ar pikni wan bwai biebi an im niem im jiizas
