,book,chapt,version,text
0,MAT,1,JNT,dis a di lis a krais jiizas faada faada dem go bak
1,MAT,1,JNT,jiizas did kom fram dievid an iebriyam fambili
2,MAT,1,JNT,iebriyam did a aizak faada an aizak did a jiekob faada jiekob pikni dem a did juuda an juuda breda dem
3,MAT,1,JNT,juuda a did perez an ziira faada tamaar did a dem mada perez pikni a did ezran an ezran pikni a did ram
4,MAT,1,JNT,aminadab a did ram pikni an fi aminadab pikni a did nieshan an saman a did fi nieshan pikni
5,MAT,1,JNT,saman a did buowaz faada im mada a did rieyab buowaz a did uobed faada ruut a did im mada
6,MAT,1,JNT,jesi a did uobed pikni an jesi did a king dievid faada
7,MAT,1,JNT,dievid did a salaman faada a yuuraiya waif did a fi im mada salaman pikni a did reyobuom reyobuom a did abija faada an abija a did asa faada
8,MAT,1,JNT,asa pikni a did jeyoshafat jeyoshafat a did fi juoram faada juoram pikni did a uziya
9,MAT,1,JNT,uziya pikni a did juotam juotam a did fi ayaz faada an ayaz did a ezikaiya faada
10,MAT,1,JNT,ezikaiya a did fi manase faada an manase a did ieman faada
11,MAT,1,JNT,ieman pikni did a josaiya an josaiya a did fi jekonaiya faada plos im did av som ada bwai pikni
12,MAT,1,JNT,dis a roun di taim wen di babiluoniyan dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan
13,MAT,1,JNT,afta da taim de jekonaiya did av shiyaltiyel an shiyaltiyel did get zeruubabel
14,MAT,1,JNT,zeruubabel pikni did a abiyud abiyud a did elaiyakim faada an elaiyakim did a fi azuor faada
15,MAT,1,JNT,azuor pikni did a zadak zadak pikni did a akim an akim did a eliyud faada
16,MAT,1,JNT,eliyud did a elieza faada elieza pikni did a matan matan a did fi jiekob faada an jiekob did a juozif faada dat a mieri ozban mieri we did av jiizas dat a krais jiizas
17,MAT,1,JNT,so fram iebriyam go chriet baka dievid a fuotiin jinarieshan jiizas did av
18,MAT,1,JNT,an fram dievid taim op tu wen dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan a fuotiin jinarieshan jiizas did av deso tu an fram da taim de tu wen krais jiizas baan a fuotiin jinarieshan dat tu
19,MAT,1,JNT,dis a ou jiizas krais did baan
20,MAT,1,JNT,im mada mieri did jos ingiej fi marid juozif dem neehn kom liv tugeda yet laik ozban an waif bot dem fain se shi did av biebi iina beli an a di uoli spirit did put di biebi de
21,MAT,1,JNT,nou juozif di man we shi did ingiej fi marid im a did wan gud man we aalwiez du wa rait
22,MAT,1,JNT,im neehn waahn shiem ar infronta evribadi so im mek op im main fi lef ar anda di kwaiyat
23,MAT,1,JNT,jos wen juozif did a tingk fi du dat wach ya nou wan a di laad ienjel dem no jriim im
24,MAT,1,JNT,di ienjel se juozif dievid pikni no fried fi tek mieri an marid ar kaa di pikni we iina ar beli a di uoli spirit put im de
25,MAT,1,JNT,shi ago av wan bwai pikni an yu fi kaal im jiizas kaa im ago siev im piipl dem fram dem sin
26,MAT,1,JNT,nou aal a dem sitn ya apm fi mek wa di laad did tel di prafit fi se kom chuu
27,MAT,1,JNT,di prafit did se lisn op di uman we neehn sliip wid no man ago get biebi a wan bwai shi ago av an dem ago kaal im imanyuwel
28,MAT,1,JNT,da niem de miin gad de ya wid wi
29,MAT,1,JNT,den wen juozif wiek op im du jos wa di ienjel tel im fi du
30,MAT,1,JNT,im tek mieri an go marid ar
31,MAT,1,JNT,bot im neehn go a bed wid ar til shi av ar pikni wan bwai biebi an im niem im jiizas
32,MAT,2,JNT,jiizas did baan iina betliyem wan toun iina judiya
33,MAT,2,JNT,dem taim de a erad did a king iina judiya
34,MAT,2,JNT,nou iina dem siem taim de som waiz man fram di iis said did kom a jeruusilem an a aks we di pikni de we baan di ada die we fi kom ton king fi di juu piipl dem
35,MAT,2,JNT,wi si im staar iina di iis we shuo se im baan an wi kom fi shuo im nof rispek
36,MAT,2,JNT,nou wen king erad ier dis ya dis bada bada im ed an it bada uol iip a piipl iina jeruusilem tu
37,MAT,2,JNT,erad kaal evribadi tugeda iina wan miitn aal a di ed priis an di man dem we tiich muoziz laa an im aks dem a wich paat di krais di king we gad pramis fi baan
38,MAT,2,JNT,dem ansa se iina betliyem kaaz a dat di prafit did rait dong an yu betliyem we iina judiya wen yu luk pan aal di ada toun dem we a liid yu no wot no les dan dem yu op de mongks di tapatap toun dem kaaz a fram outa yu wan liida ago kom we ago protek an liid mi piipl dem we iina izrel
39,MAT,2,JNT,den erad sen kaal di waiz man dem fi kom kom chek im anda di kwaiyat an fain out fram dem a wa taim dem did si di staar
40,MAT,2,JNT,im sen dem go a betliyem an se gwaan go luk fi di pikni
41,MAT,2,JNT,luk gud gud an wen unu fain im kom tel mi so mi kyan go shuo im nof rispek tu
42,MAT,2,JNT,afta dem don lisn di king dem lef go we
43,MAT,2,JNT,az dem a go bout dem bizniz so no di sed staar we dem did si iina di iis said kom bak agen it galang infronta dem til it riich wich paat di pikni did de an a uova deso it tap
44,MAT,2,JNT,wen dem did si di staar agen dem gladbag bos dem kom iina di ous an si di pikni wid im mada mieri an dem go dong pan dem nii an priez im
45,MAT,2,JNT,dem tek out di prezent we dem did bring an gi di pikni guol frangkinsens an mor
46,MAT,2,JNT,nou chuu gad did don waan dem aaf an tel dem iina wan jriim se dem no fi go baka erad dem tek wan neda wie go baka dem konchri
47,MAT,2,JNT,afta dem go we wan a di laad ienjel dem jriim juozif an se git op tek di pikni an im mada an ron we go a iijip
48,MAT,2,JNT,tan de til mi tel yu kaa erad ago luk fi di pikni fi kil im
49,MAT,2,JNT,so im get op tek op di pikni an im mada an lef go a iijip iina di nait
50,MAT,2,JNT,an im tan de til erad ded
51,MAT,2,JNT,da wie de wa di laad did yuuz di prafit fi se did kom chuu
52,MAT,2,JNT,im did se a outa iijip mi kaal mi bwai pikni
53,MAT,2,JNT,wen erad si se di waiz man dem did chrik im op im beks til im nieli bos im sen out aada an kil aaf aal a di bwai pikni dem we did iina betliyem an di plies dem we did de nier betliyem aal a di pikni dem we did a tuu ier uol an anda tuu
54,MAT,2,JNT,im du dat azkaadn tu di taim wen di waiz man did se dem si di staar
55,MAT,2,JNT,den wa di laad did yuuz di prafit jerimaiya fi se kom chuu piipl did ier sumadi a baal iina raama dem did a ala an baal loud loud a riechel did a baal fi ar pikni dem an shi no waahn nobadi fi osh ar kaa ar pikni dem gaan
56,MAT,2,JNT,afta erad ded luk ya no wan a di laad ienjel dem no jriim juozif wen im de a iijip
57,MAT,2,JNT,di ienjel se git op tek di pikni an im mada an gwaan a izrel kaa uu did a chrai fi kil di pikni dem ded
58,MAT,2,JNT,so juozif get op tek di pikni an im mada an go baka izrel
59,MAT,2,JNT,bot wen im ier se a erad pikni arkelos tek uova an did a ruul judiya im kech im fried an neehn waahn go deso
60,MAT,2,JNT,an kaa gad did waan im aaf iina wan jriim im lef go gyalalii insted
61,MAT,2,JNT,im kom a wan toun niem nazaret an tan deso
62,MAT,2,JNT,a so kom wa di prafit dem did se kom chuu
63,MAT,2,JNT,azkaadn tu di prafit dem dem ago kaal jiizas wan nazariin man
64,MAT,3,JNT,nou iina dem die de wan man niem jan di baptis kom iina di dezot paat a judiya an staat priich gad wod
65,MAT,3,JNT,im se ton we fram unu sin kaa di die suun kom wen evn ago ruul uova di worl iina evri wie a im aizaiya di prafit did a taak bout wen im se sumadi a shout iina di dezot klier di wie fi di laad kom chuu mek di chrak we im fi waak pan chriet
66,MAT,3,JNT,nou a kluoz we mek outa kyamil ier jan did wier an im did av wan leda belt roun im wies
67,MAT,3,JNT,an fi im fuud a did graasapa an oni we im get outa di dezot
