,book,chapt,version,text
0,MAT,1,NRSV,an account of the genealogy
1,MAT,1,NRSV,of jesus the messiah
2,MAT,1,NRSV,the son of david the son of abraham
3,MAT,1,NRSV,abraham was the father of isaac and isaac the father of jacob and jacob the father of judah and his brothers
4,MAT,1,NRSV,and judah the father of perez and zerah by tamar and perez the father of hezron and hezron the father of aram
5,MAT,1,NRSV,and aram the father of aminadab and aminadab the father of nahshon and nahshon the father of salmon
6,MAT,1,NRSV,and salmon the father of boaz by rahab and boaz the father of obed by ruth and obed the father of jesse
7,MAT,1,NRSV,and jesse the father of king david
8,MAT,1,NRSV,and david was the father of solomon by the wife of uriah
9,MAT,1,NRSV,and solomon the father of rehoboam and rehoboam the father of abijah and abijah the father of asaph
10,MAT,1,NRSV,and asaph
11,MAT,1,NRSV,the father of jehoshaphat and jehoshaphat the father of joram and joram the father of uzziah
12,MAT,1,NRSV,and uzziah the father of jotham and jotham the father of ahaz and ahaz the father of hezekiah
13,MAT,1,NRSV,and hezekiah the father of manasseh and manasseh the father of amos
14,MAT,1,NRSV,and amos
15,MAT,1,NRSV,the father of josiah
16,MAT,1,NRSV,and josiah the father of jechoniah and his brothers at the time of the deportation to babylon
17,MAT,1,NRSV,and after the deportation to babylon jechoniah was the father of salathiel and salathiel the father of zerubbabel
18,MAT,1,NRSV,and zerubbabel the father of abiud and abiud the father of eliakim and eliakim the father of azor
19,MAT,1,NRSV,and azor the father of zadok and zadok the father of achim and achim the father of eliud
20,MAT,1,NRSV,and eliud the father of eleazar and eleazar the father of matthan and matthan the father of jacob
21,MAT,1,NRSV,and jacob the father of joseph the husband of mary of whom jesus was born who is called the messiah
22,MAT,1,NRSV,so all the generations from abraham to david are fourteen generations and from david to the deportation to babylon fourteen generations and from the deportation to babylon to the messiah
23,MAT,1,NRSV,fourteen generations
24,MAT,1,NRSV,now the birth of jesus the messiah
25,MAT,1,NRSV,took place in this way when his mother mary had been engaged to joseph but before they lived together she was found to be with child from the holy spirit
26,MAT,1,NRSV,her husband joseph being a righteous man and unwilling to expose her to public disgrace planned to dismiss her quietly
27,MAT,1,NRSV,but just when he had resolved to do this an angel of the lord appeared to him in a dream and said joseph son of david do not be afraid to take mary as your wife for the child conceived in her is from the holy spirit
28,MAT,1,NRSV,she will bear a son and you are to name him jesus for he will save his people from their sins
29,MAT,1,NRSV,all this took place to fulfill what had been spoken by the lord through the prophet
30,MAT,1,NRSV,look the virgin shall conceive and bear a son
31,MAT,1,NRSV,and they shall name him emmanuel
32,MAT,1,NRSV,which means god is with us
33,MAT,1,NRSV,when joseph awoke from sleep he did as the angel of the lord commanded him he took her as his wife
34,MAT,1,NRSV,but had no marital relations with her until she had borne a son
35,MAT,1,NRSV,and he named him jesus
36,MAT,2,NRSV,in the time of king herod after jesus was born in bethlehem of judea wise men
37,MAT,2,NRSV,from the east came to jerusalem
38,MAT,2,NRSV,asking where is the child who has been born king of the jews for we observed his star at its rising
39,MAT,2,NRSV,and have come to pay him homage
40,MAT,2,NRSV,when king herod heard this he was frightened and all jerusalem with him
41,MAT,2,NRSV,and calling together all the chief priests and scribes of the people he inquired of them where the messiah
42,MAT,2,NRSV,was to be born
43,MAT,2,NRSV,they told him in bethlehem of judea for so it has been written by the prophet
44,MAT,2,NRSV,and you bethlehem in the land of judah
45,MAT,2,NRSV,are by no means least among the rulers of judah
46,MAT,2,NRSV,for from you shall come a ruler
47,MAT,2,NRSV,who is to shepherd
48,MAT,2,NRSV,my people israel
49,MAT,2,NRSV,then herod secretly called for the wise men
50,MAT,2,NRSV,and learned from them the exact time when the star had appeared
51,MAT,2,NRSV,then he sent them to bethlehem saying go and search diligently for the child and when you have found him bring me word so that i may also go and pay him homage
52,MAT,2,NRSV,when they had heard the king they set out and there ahead of them went the star that they had seen at its rising
53,MAT,2,NRSV,until it stopped over the place where the child was
54,MAT,2,NRSV,when they saw that the star had stopped
55,MAT,2,NRSV,they were overwhelmed with joy
56,MAT,2,NRSV,on entering the house they saw the child with mary his mother and they knelt down and paid him homage then opening their treasure chests they offered him gifts of gold frankincense and myrrh
57,MAT,2,NRSV,and having been warned in a dream not to return to herod they left for their own country by another road
58,MAT,2,NRSV,now after they had left an angel of the lord appeared to joseph in a dream and said get up take the child and his mother and flee to egypt and remain there until i tell you for herod is about to search for the child to destroy him
59,MAT,2,NRSV,then joseph
60,MAT,2,NRSV,got up took the child and his mother by night and went to egypt
61,MAT,2,NRSV,and remained there until the death of herod this was to fulfill what had been spoken by the lord through the prophet out of egypt i have called my son
62,MAT,2,NRSV,when herod saw that he had been tricked by the wise men
63,MAT,2,NRSV,he was infuriated and he sent and killed all the children in and around bethlehem who were two years old or under according to the time that he had learned from the wise men
64,MAT,2,NRSV,then was fulfilled what had been spoken through the prophet jeremiah
65,MAT,2,NRSV,a voice was heard in ramah
66,MAT,2,NRSV,wailing and loud lamentation
67,MAT,2,NRSV,rachel weeping for her children
68,MAT,2,NRSV,she refused to be consoled because they are no more
69,MAT,2,NRSV,when herod died an angel of the lord suddenly appeared in a dream to joseph in egypt and said
