,book,chapt,version,text
0,MAT,1,NRSV,an account of the genealogy of jesus the messiah the son of david the son of abraham
1,MAT,1,NRSV,abraham was the father of isaac and isaac the father of jacob and jacob the father of judah and his brothers and judah the father of perez and zerah by tamar and perez the father of hezron and hezron the father of aram and aram the father of aminadab and aminadab the father of nahshon and nahshon the father of salmon and salmon the father of boaz by rahab and boaz the father of obed by ruth and obed the father of jesse and jesse the father of king david
2,MAT,1,NRSV,and david was the father of solomon by the wife of uriah and solomon the father of rehoboam and rehoboam the father of abijah and abijah the father of asaph and asaph the father of jehoshaphat and jehoshaphat the father of joram and joram the father of uzziah and uzziah the father of jotham and jotham the father of ahaz and ahaz the father of hezekiah and hezekiah the father of manasseh and manasseh the father of amos and amos the father of josiah and josiah the father of jechoniah and his brothers at the time of the deportation to babylon
3,MAT,1,NRSV,and after the deportation to babylon jechoniah was the father of salathiel and salathiel the father of zerubbabel and zerubbabel the father of abiud and abiud the father of eliakim and eliakim the father of azor and azor the father of zadok and zadok the father of achim and achim the father of eliud and eliud the father of eleazar and eleazar the father of matthan and matthan the father of jacob and jacob the father of joseph the husband of mary of whom jesus was born who is called the messiah
4,MAT,1,NRSV,so all the generations from abraham to david are fourteen generations and from david to the deportation to babylon fourteen generations and from the deportation to babylon to the messiah fourteen generations
5,MAT,1,NRSV,now the birth of jesus the messiah took place in this way
6,MAT,1,NRSV,when his mother mary had been engaged to joseph but before they lived together she was found to be with child from the holy spirit
7,MAT,1,NRSV,her husband joseph being a righteous man and unwilling to expose her to public disgrace planned to dismiss her quietly
8,MAT,1,NRSV,but just when he had resolved to do this an angel of the lord appeared to him in a dream and said joseph son of david do not be afraid to take mary as your wife for the child conceived in her is from the holy spirit
9,MAT,1,NRSV,she will bear a son and you are to name him jesus for he will save his people from their sins
10,MAT,1,NRSV,all this took place to fulfill what had been spoken by the lord through the prophet look the virgin shall conceive and bear a son and they shall name him emmanuel which means god is with us
11,MAT,1,NRSV,when joseph awoke from sleep he did as the angel of the lord commanded him he took her as his wife but had no marital relations with her until she had borne a son and he named him jesus
12,MAT,2,NRSV,in the time of king herod after jesus was born in bethlehem of judea wise men from the east came to jerusalem asking where is the child who has been born king of the jews
13,MAT,2,NRSV,for we observed his star at its rising and have come to pay him homage
14,MAT,2,NRSV,when king herod heard this he was frightened and all jerusalem with him and calling together all the chief priests and scribes of the people he inquired of them where the messiah was to be born
15,MAT,2,NRSV,they told him in bethlehem of judea for so it has been written by the prophet and you bethlehem in the land of judah are by no means least among the rulers of judah for from you shall come a ruler who is to shepherd my people israel
16,MAT,2,NRSV,then herod secretly called for the wise men and learned from them the exact time when the star had appeared
17,MAT,2,NRSV,then he sent them to bethlehem saying go and search diligently for the child and when you have found him bring me word so that i may also go and pay him homage
18,MAT,2,NRSV,when they had heard the king they set out and there ahead of them went the star that they had seen at its rising until it stopped over the place where the child was
19,MAT,2,NRSV,when they saw that the star had stopped they were overwhelmed with joy
20,MAT,2,NRSV,on entering the house they saw the child with mary his mother and they knelt down and paid him homage
21,MAT,2,NRSV,then opening their treasure chests they offered him gifts of gold frankincense and myrrh
22,MAT,2,NRSV,and having been warned in a dream not to return to herod they left for their own country by another road
23,MAT,2,NRSV,now after they had left an angel of the lord appeared to joseph in a dream and said get up take the child and his mother and flee to egypt and remain there until i tell you for herod is about to search for the child to destroy him
24,MAT,2,NRSV,then joseph got up took the child and his mother by night and went to egypt and remained there until the death of herod
25,MAT,2,NRSV,this was to fulfill what had been spoken by the lord through the prophet out of egypt i have called my son
26,MAT,2,NRSV,when herod saw that he had been tricked by the wise men he was infuriated and he sent and killed all the children in and around bethlehem who were two years old or under according to the time that he had learned from the wise men
27,MAT,2,NRSV,then was fulfilled what had been spoken through the prophet jeremiah a voice was heard in ramah wailing and loud lamentation rachel weeping for her children she refused to be consoled because they are no more
28,MAT,2,NRSV,when herod died an angel of the lord suddenly appeared in a dream to joseph in egypt and said get up take the child and his mother and go to the land of israel for those who were seeking the childs life are dead
29,MAT,2,NRSV,then joseph got up took the child and his mother and went to the land of israel
30,MAT,2,NRSV,but when he heard that archelaus was ruling over judea in place of his father herod he was afraid to go there
31,MAT,2,NRSV,and after being warned in a dream he went away to the district of galilee
32,MAT,2,NRSV,there he made his home in a town called nazareth so that what had been spoken through the prophets might be fulfilled he will be called a nazorean
