,book,chapt,version,text
0,MAT,1,PCM,jesus christ wey dem born for david and abraham family naim story bi dis
1,MAT,1,PCM,abraham born isaak
2,MAT,1,PCM,isaak kon born jakob
3,MAT,1,PCM,na jakob born judah and en brodas
4,MAT,1,PCM,judah born perez and zera wey en mama bi tamar
5,MAT,1,PCM,perez born hezron and hezron born ram
6,MAT,1,PCM,ram na amminadab papa
7,MAT,1,PCM,amminadab born nashon
8,MAT,1,PCM,nashon kon born salmon
9,MAT,1,PCM,salmon born boaz wey rahab bi en mama
10,MAT,1,PCM,na boaz bi obed papa wey rut bi en mama
11,MAT,1,PCM,obed kon born jesse
12,MAT,1,PCM,jesse born david wey bi israel pipol king
13,MAT,1,PCM,david born solomon wey uraya wife bi en mama
14,MAT,1,PCM,solomon born rehoboam
15,MAT,1,PCM,rehoboam naim bi abijah papa
16,MAT,1,PCM,and abijah kon born asa
17,MAT,1,PCM,asa born jehoshafat
18,MAT,1,PCM,jehoshafat kon born joram
19,MAT,1,PCM,joram born uzzaya
20,MAT,1,PCM,uzzaya born jotam
21,MAT,1,PCM,jotam kon born ahaz wey born hezekaya
22,MAT,1,PCM,hezekaya born manasseh
23,MAT,1,PCM,manasseh naim bi amnon papa
24,MAT,1,PCM,and na amon born josaya
25,MAT,1,PCM,josaya born jekonaya and en brodas for di time wey dem karry israel pipol go bi slave for babilon
26,MAT,1,PCM,afta dem karry israel pipol go babilon
27,MAT,1,PCM,jekonaya kon born shealtiel
28,MAT,1,PCM,shealtiel kon bi zerubabel papa
29,MAT,1,PCM,zerubabel born abiud
30,MAT,1,PCM,abiud naim bi eliakim papa
31,MAT,1,PCM,eliakim kon born azor
32,MAT,1,PCM,azor born zadok
33,MAT,1,PCM,zadok naim bi akim papa
34,MAT,1,PCM,akim kon born eliud
35,MAT,1,PCM,eliud born eleazar wey bi matan papa
36,MAT,1,PCM,matan kon born jakob
37,MAT,1,PCM,jakob born josef wey bi mary husband dis mary naim bi jesus christ mama
38,MAT,1,PCM,so from abraham go rish david time na fourteen generashon dey and from david time go rish wen dem karry israel pipol go babilon na fourteen too and from dat time go rish wen dem born jesus christ na fourteen generashon e bi
39,MAT,1,PCM,dis na how dem take born jesus christ wen mary en mama don ready to marry josef before dem bigin sleep togeda mary kon si sey e don get belle with holy spirit pawa
40,MAT,1,PCM,josef wey won marry am na pesin wey dey fear god wellwell and bikos e nor won disgrace am e kon tink for en mind sey e nor go marry mary again
41,MAT,1,PCM,as e dey tink how e go take leave am god angel show ensef to am for dream kon tell am sey josef david pikin make yu nor fear to marry mary bikos di pikin wey dey en belle na holy spirit giam
42,MAT,1,PCM,e go born boy and yu go koll am jesus bikos e go save en pipol from dia sin
43,MAT,1,PCM,dis tins go happen as god profet tok
44,MAT,1,PCM,si di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am emmanuel wey mean god dey with us
45,MAT,1,PCM,wen josef wakeup e do wetin god angel tell am so e kon marry mary
46,MAT,1,PCM,but e nor sleep with am until mary born di pikin den e kon name am jesus
47,MAT,2,PCM,afta dem born jesus for betlehem wey dey judea for di time wey herod bi king some wise men from east kon go jerusalem
48,MAT,2,PCM,dey ask where di jew king wey dem just born wi si di star wey tok about am so wi kom woship am
49,MAT,2,PCM,wetin dem tok so vex king herod and jerusalem pipol
50,MAT,2,PCM,so di king gada all di priest oga dem and di pipol wey sabi di law kon ask dem where una tink sey dem go for born christ
