,chapt_code,text,book,chapt,version
0,MAT.1.SCO1904,the buik o the generation o jesus the christ dauvids son the son o abram abram begat isaac and isaac begat jaucob and jaucob begat judah and his brethren and judah begat pharez and zarah o tamar and pharez begat esrom and esrom begat aram and aram begat aminadab and aminadab begat naasson and naasson begat salmon and salmon begat boaz o rahab and boaz begat obed o ruth and obed begat jesse and jesse begat dauvid the king and dauvid the king begat solomon o her wha was uriahs and solomon begat rehoboam and rehoboam begat abijah and abijah begat asa and asa begat jehosaphat and jehosaphat begat jehoram and jehoram begat uzziah and uzziah begat jotham and jotham begat ahaz and ahaz begat hezekiah and hezekiah begat manasseh and manasseh begat amon and amon begat josiah and josiah begat jehoiachin and his brethren narhaun the time they war carryt awa to babylon and eftir they cam to babylon jehoiachin begat salathiel and salathiel begat zerubbabel and zerubbabel begat abiud and abiud begat eliakim and eliakim begat azor and azor begat sadoc and sadoc begat achim and achim begat eliud and eliud begat eleazar and eleazar begat matthan and matthan begat jaucob and jaucob begat joseph marys husband o wham was born jesus wha is cad the christ sae a the generations frae abram to dauvid are fowrteen generations and frae dauvid to the takin awa to babylon fowrteen generations and frae the takin awa to babylon to christ fowrteen generations noo the nativitie o jesus christ was thisgate whan his mither mary was mairryt till joseph or they cam thegither she was fund wi bairn o the holie spirit than her guidman joseph bein an upricht man and no desirin her name soud be ithe mooth o the public was ettlin to pit her awa hidlins but as he had thir things in his mind see an angel o the lord appearit till him by a dream sayin joseph son o dauvid binna feared to tak till ye yere wife mary for that whilk is begotten in her is by the holie spirit and she sal bring forth a son and ye shall ca his name jesus for he sal save his folk frae their sins noo a this was dune that it might come to pass what was said by the lord throwe the prophet tak tent a maiden sal be wi bairn and sal bring forth a son and they wull ca his name emmanuel whilk is translatit god wi us sae joseph comin oot o his sleep did as the angel had bidden him and took till him his wife and leevd in continence wi her till she had brocht forth her firstborn son and cad his name jesus,MAT,1,SCO1904
1,MAT.2.SCO1904,noo whan jesus was born i bethlehemjudah i the days o king herod lo wyss men cam frae the east tae jerusalem and quo they whaur is he bidin that is cad king o the jews for i the east we saw his starn and are come forrit to worship him but the king hearin was sair puttenabout and a jerusalem wi him and gatherin a the heighpriests and writers o the nation he wad ken o them whaur the messiah soud be born and quo they in bethlehemjudah for sae it is putten doon by the prophet and thou bethlehem land o judah nane the least amang judahs princes for oot o thee sal come a ruler wha sal tend my folk o isral than herod convenin the wyss men privately faund oot mair strickly o the comin o the starn and bad them gang to bethlehem and quo he gang and seek ye oot the wee bairn and whan ye ken fesh me word again that i as weel may come and worship eftir hearin the king they gaed awa and lo the starn whilk they saw i the east gaed on afore them till it stood whaur the wee bairn was and whan they saw the starn they were blythe wi unco blytheness and comin intil the hoose they saw the wee bairn and his mither mary and loutin doon worshippt him and openin oot their gear they offert till him gifts gowd and frankincense and myrrh and bein warned in a dream no to go back till herod they airtit their way to their ain kintra anither gate noo whan they had gane tak tent an angel o the lord appeart to joseph by a dream and quo he rise tak till ye the wee bairn and his mither and flee intil egypt and bide ye thar till i tell ye for herod seeks the wee bairn to destroy him and he risin took the wee bairn and his mither by nicht and cam intil egypt and bade there till herods death that it soud be fulfilled what was said by the lord throwe the prophet frae egypt hae i cad my son than herod seein he was made sport o by the wyss men was unco furious and sent oot to slay a the ladbairns in bethlehem and a the kintraside aboot frae twayear auld doon conform tae the time he had been tellt by the wyss men than cam to pass the sayin o jeremiah the prophet a voice was heard in ramah greetin and maenin and murnin sair rahel greetin for her weans and wadna be comfortit for that they arena but herod deein look an angel o the lord by dream appears to joseph in egypt and quo he rise tak the wee bairn and his mither and journey intil israls land for they that socht the wee bairns life are deid and he raise and took till him the wee bairn and his mither and cam intil the land o isral but whan it was tellt him that archelaus rang in judea in the stead o herod his faither he was fleyt to gang thar but being instruckit in a dream he gaed intil the pairts o galilee and cam and dwalt in a citie cad nazareth that it soud come to pass that was said by the prophet he will be cad a nazarene,MAT,2,SCO1904
2,MAT.3.SCO1904,noo i thae days comes john the baptist preachin i the muirlands o judea and quo he repent ye a for the kingdom o heeven is at haun for it is he wha was tellt o by esaiah the prophet sayin the sough o ane crying oot i the waste mak ye ready a gate for the lord strauchten oot his fitpath and john his sel had his cleedin o camels hair and a belt o a skin and his meat was locusts and rock hinny and thar war gangin oot till him jerusalem and a judah and the kintraside aboot jordan and war bapteezt by him in jordan confessin a their sin but whan he saw a hantle o the pharisees and sadducees come till his bapteezin quo he to them eh ye venomous race wha has gien ye warnin to flee frae comin wrath fesh than forth the frutes conform till repentance and sayyena to yersels we hae abram till oor faither for say i tye god coud raise up oot o thir stanes bairns to abram and noo is the aixe brocht to the rute o the trees and ilka tree bringin na forth gude frute is cuttit doon and cuisten intil the burnin i indeed div in watir bapteeze ye intil repentance but he wha follows me is sterker nor mysel whase shoon ise no fit to cairry he sal bapteeze ye wi holie spirit and flaughts o fire whase fanner is in his neive and hese scouroot his threshinflair and gaither his wheat intil his girnal but the cauff wull he burn in nevirendin lowe than cam jesus frae galilee tae john to be bapteezt o him noo john wad hae forbidden him and quo he i hae need o thy bapteezin and come ye to me but jesus answert him and said sae be it e noo for sae it behoves us to fulfil a richtgangin than he contentit him and jesus whan he was bapteezt gaed up straucht frae the watir and lo the heevens war unsteekit till him and he saw the spirit o god comin doon like a doo and lichtin upon him and tak tent a voice oot o the lift sayin this is my son my beloved in wham i delicht,MAT,3,SCO1904
3,MAT.4.SCO1904,than was jesus airtit by the spirit intil the wilderness thar to be testit o the enemy and whan he had fastit for forty days and nichts he was spent wi hunger and whan the tempter cam till him quo he gin thou be gods son speak to thir stanes that they be bannocks but he answerin till him said no allenarlie on breid leeves man but by ilk word o gods mooth than the deevil taks him wi him intil the holie citie and pits him on the tapmaist towerickie o the temple and quo he till him gin ye be gods son cast yersel ower for it is puttendoon till his angels sal he gie chairge anent ye and on their hauns sal they haud ye up that ye clourna yere fit again a stane quo jesus till him ance mair it is puttendoon ye sanna temp the lord yere god and again the enemy taks him up intil an unco heigh mountain and airts him till a the kingdoms o the yirth and a their glorie and says till him a thae things gie i tye gin ye fain doon gie worship to me than quo jesus till him awa sautan for it is puttendoon the lord yere god sal ye worship and him alane sal ye ser than the deevil quats him and lo the angels cam to ser him noo whan it was tellt him that john was taen haud o he gaed awa intil galilee and forsakin nazareth he cam and made his dwallin i capernaum on the side o the loch on the border o zabulon and naphtali that it micht come to pass what said esaiah the prophet land o zabulon and land o naphtali galilee o the nations the folk that were sittin i the mirk saw an unco licht and till a thae sittin i the land and the mirkness o the deid the licht raise up frae that time forth begude jesus to preach and quo he repent ye for heevens kingdom draws narhaun and walkin by the loch o galilee he saw twa brithers simon cad peter and andro his brither castin aboot a net i the loch for they war fisherfolk and quo he to them follow ye me and ise mak ye fishers o men and they withoot ado left the nets and gaed eftir him and gangin forrit tharawa he saw ither twa brithers james son o zebedee and his brither john in a smack wi zebedee their faither workin on their nets and he bad them come and they forsakin the boat and their faither gaed eftir him and jesus gaed ower a galilee instructin i their kirks and giean forth the blythemessage o the kingdom and healin a diseases and a infirmities amang the folk and the sough o him gaed oot intil a syria and they fesht till him a wha war ill wi a diseases and pains and thae possesst wi demons and dementit and that had a stroke and he healed them and unco thrangs followt him frae galilee and the ten cities and jerusalem and judea and ayont the jordan,MAT,4,SCO1904
4,MAT.5.SCO1904,and seein the thrang o folk he gaed up intil a mountain and whan he was suttendoon his disciples gathert aboot and he opent his mooth and instructit them and quo he happy the spirits that are lown and cannie for the kingdom o heeven is waitin for them happy they wha are makin their maen for they sal fin comfort and peace happy the lowly and meek o the yirth for the yirth sal be their ain haddin happy they whase hunger and drouth are a for holiness for they sal be satisfyt happy the pitfu for they sal win pitie theirsels happy the pureheartit for their een sal dwal upon god happy the makkersup o strife for they sal be coontit for bairns o god happy the illtreatit anes for the sake o gude for theyse hae the kingdom o god happy sal ye be when folk sal misca ye and illtreat ye and say a things again ye wrangouslie for my sake joy ye and be blythe for yere meed is great in heeven for een sae did they to the prophets afore ye the saut o the yirth are ye but gin the saut hae tint its tang hoos it to be sautit is it no clean useless to be cuisten oot and trauchlt under folks feet ye are the warlds licht a toon biggit on a hilltap is aye seen nor wad men licht a crusie and pit it neath a cog but set it up and it gies licht to a the hoose sae lat yere licht gang abreid amang men that seein yere gude warks they may gie god glorie thinkna i am come to do awa wi the law or the prophets ise no come to do awa but to bring to pass for truly say i tye till heeven and yirth dwine awa ae jot or ae tittle failsna o a the law till a comes to pass than wha breaks ane o thae weest commauns and gars ithers sae do he sal be cad sma i the kingdom o heeven but wha sal keep them and spread them abreid he sal be cad great i the kingdom o heeven for i say till ye gin yere gudeness gangna yont the scribes and pharisees neer sal ye win intil the kingdom o heeven ye ken hoo it was spoken till the folk o auld ye maunna kill and whasae kills is in danger o the coort but say i tye whasae is angry wi his britherman sal be in danger o the coort and wha sal say to his britherman gonyel sal be in danger o the cooncil but wha sal say fule sal be in danger o the fire o hell sae gin ye fesh yere offerin to the altarplace and thar bethink ye o a sairness in a brithers mind anent ye pit doon yere gift fornent the offerinstane and haud awa first be at ane wi yere britherman and syne come and offer yere gift mak up wi yere enemy while ye are yet in the highway wi him sae as he giesyena ower to the judge and the judge to the officer and ye be cuisten intil prison truly say i tye ye comena oot till ye ha paid the last bodle ye hae heard it was said lang syne ye sanna commit adultery but say i tye whasae sets his een on a wumman wi desire has een enoo committit the sin wi her in his heart and gin yere richt ee ensnare ye oot wit and cast it frae ye it is for yere gude that ae member soud be destroyt and no that yere hail body soud fa intil hell and gin yere richt haun ensnare ye cut it aff and cast it awa better for ye that ae member soud fail and no that yere hail body soud fa intil hell the sayin has been whasae pits awa his wife lat him gie her a written divorcement but say i whasae pits awa his wife let abee for the cause o adultery gars her commit adultery and whasae weds her that is putten awa commits adultery ance mair ye ken it has been said by them o bypast time ye sanna mansweer yersel but yese render to the lord yere aiths but say i sweerna ava no by heeven for it is gods thron nor yet by the yirth for it is his fitbrod nor jerusalem for it is the citie o the great king nor sal ye sweer by yere ain heid for ye canna mak ae hair white nor black but lat yere answer be aye aye and na na for onything mair comes o nae gude ye ken it has been said an ee for an ee and a tooth for a tooth but say i resistye na ill but gin ane clour ye on the ae cheek turn ye till him the ither as weel and gin ony man hae a lawplea wi ye and tak awa yere coat een lat him hae the cloak as weel and gin ye be impressd for a mile wi ane gang ane mair wi him gie till him seekin frae ye and frae him wha wad receive o ye turnyeno awa ye ken it has been said ye sal loe yere neebor and hate yere fae but say i loe yere faes bless the anes that ban and curse ye seek the gude o thae that hate ye and pray for sic as shamefully illtreat ye and seek for yere wrang that ye a may be bairns o yere faither in heeven for he gars his sun to glint alike on the ill and on the gude and sends oot his rain baith on the just and the unjust for gin ye but loe whaur thar is love till yersel whaur is yere meed divna een the reivin taxmen do the same and gin ye but speir eftir yere ain kith how div ye mair nor ither folk divna een the taxmen sae but ye maun be perfete een as yere faither aboon is perfete,MAT,5,SCO1904
5,MAT.6.SCO1904,tak tent no to do yere gude warks i the sicht o men that ye may be seen by them else hae ye tint reward frae yere faither wha is in heeven whan than ye wad do a gude wark dinna hae a buglehorn soondit afore ye as the pretenders div in kirks and merkits that they may be roosed o men truly say i tye they hae gotten a their reward but whan ye wad do a gude wark lat yere left haun no jalouse what yere richt haun is thrang wi that yere gude warks may be dune hidlins and yere faither wha sees i the hidlin place sal his ain sel reward ye and whaneer ye pray bena as the pretenders for weel they like to pray i the kirks and at the corners o the braid causeys sae as folk soud see them aye aye say i they hae gotten their reward but ye whan ye wad pray gang intil yere bower and steekin yere door pray till yere faither wha is i the hidlin place and yere faither wha sees i the hidlin place sal his ain sel reward ye and in yere prayin rhymena things ower and ower incontinent like the heathenfolk for they trow gin that they speak eneuch they sal be heard comena than to be like tae them for yere faither kens weel a yere needs een afore ye ask him and sae pray ye faither o us a biding aboon thy name be holie lat thy reign begin lat thy wull be dune on the yirth as in heeven gie us ilka day oor needfu fendin and forgie us a oor ill deeds as we een forgae thae wha did us ill and lat us no be siftit but save us frae the illane for the croon is thine ain and the micht and the glorie for evir and evir amen for gin ye be forgiean men their fauts yere faither in heeven wull een forgie you but gif ye are no forgiean men their fauts nae mair wull yere faither forgie our fauts and again whan ye are fastin ye arena to be as the pretenders wi wae i yere faces for they mar their looks that they may kythe afore men as fastin aye aye say i they too hae their reward but ye whan ye fast snod yere heid and freshen yere face that ye bena seen by men to be fastin but seen o yere faither wha is een i the hidlin place and yere faither wha sees i the hidlin place his ain sel sal reward ye layna up gear for yersels on the yirth whaur the moth and the rust can mak awa wit and whaur thieves howk throwe and steal but lay ye up gear in heeven whaur nae moth and nae rust can makawa wit and whaur thieves canna howk throwe nor steal for whaur your treasur lies een thar yere heart wull be the lamp o the hail body is the ee than gin aiblins yere ee is aefauld and leal yere hail body is fu o licht but gin yere ee be dooble and ill yere hail body bides i the mirk gin than the vera licht within ye is but gloom hoo unco great is the gloom nae man can tak service wi twa maisters for aither he wull lichtlie the ane and loe the ither or incontinent he wull haud by the ane and carena for the ither ye canna be in gods service and mammons as weel wharfor say i tye bena sair fashd wi cark and care anent yere life what you are to eat and what ye are to drink nor yet for yere body hoo ye are to be cleedit isna the life mair nor the meat and the body mair nor the cleedin look ye to the wee birdies i the lift for they naither saw nor shear nor lead intil the barn and yet yere heevenlie faither gies them meat areyena a hantle better nor they and wha amang ye be he nevir sae fain could mak his sel a span heigher and anent cleedin why soud ye hae sae muckle cark and care look weel at the lilies o the lea hoo they growe they toilna nor spin and yet say i that solomon in a his glorie wasna buskit braw like ane o thae noo than gin god sae cleed the foggage the day on the lea and the morn brunt i the oven hoo muckle mair you o ye o the sma faith sae bena sair trauchlt in yere mind sayin what sal we eat or what sal we drink or hoo sal we be cleedit for o a thae things div the nations seek eftir but yere heevenlie faither kens weel that ye need a thae things but seek ye first o a gods reign and gods richtousness and a thir things sal be addit till ye hae than nae wearincare anent the day to come for the morn wull hae care o its ain eneuch for the day is its ain ill,MAT,6,SCO1904
6,MAT.7.SCO1904,judgena that ye bena judged for wi yere ain judgment sal ye be judged yersel and wi yere ain firlot sal yere corn be measurt till ye and why soud ye craftily spy oot the mote i yere brithers ee and thinkna o the caber i yere ain ee or wull ye say till yere brither thole ye till i tak oot the mote frae yere ee and behauld a caber is in yere ain ee pretender oot wi the caber frae yere ain ee first and then may ye hae gude sicht to pu the mote oot o yere brithers ee ye maunna gie holie things to dowgs nor yet cast pearls afore swine that they trauchle themna aneath their feet and than turn on ye and rive ye ask and it sal be gien tye seek and ye sal hae chap and it sal be unsteekit tye for ilk ane that asks obteens and he fins wha seeks and till him wha chaps it sal be opent and whatna man is amang ye wha gin his son asks for breid wad gie him a stane or gin he asks a fish wull he gie him a viper gin ye than bein sinfu ken hoo to be aye gien gude things till yere ain bairns hoo muckle mair sal yere faither wha is aboon gie gude things to thae that ask o him and sae a things whatsoeer ye wad that men soud do till yersel div ye do een sae tae them for this is the hail law and the prophets gang ye in at the strett yett for muckle is the yett and braid is the causey that leads on to destruction and mony a ane gangs intilt for strett is the yett and crampit is the fitroad that airts awa to life and but a wee wheen find it tak ye tent o fauseprophets whilk come tye in sheepscleedin but i the hinnerend are devoorin wolves ye may ken them by their frutes dae folk gather grapes frae the thorns or figs amang thrissles een sae ilka gude tree brings forth gude frute but a fushionless tree brings forth ill frute a gude tree winna bring forth ill frute nor can a fushionless tree gie gude frute ilka tree that bringsna forth gude frute is cuttit doon and cuisten intil the fire sae by their frutes ye sal aye ken them it isna ilka ane that cries oot lord lord that gangs intil the kingdom o heeven but he that daes the wull o my faither wha is in heeven mony a ane wull say to me i that day lord lord prophesyt wena i thy name and cuistwena oot demons i thy name and didwena mony ferlies i thy name and than wull i confess till them i never kent ye depairt frae me ye that cairryoot wrang and sae ilka ane hearin and performin thir sayins o mine sal be likent till a wyss man wha biggit his hoose on the rock and the rain fell and the spate cam and the wins blew and stormed again that hoose and it fellna for it stude siccar on the rock and ilka ane wha hears and disna thir sayins o mine sal be like till a sumph wha biggit his hoose on the sand and the rain fell and the spate cam and the wins blew and stormed again that hoose and it whammlt ower and muckle was the fa ot and it cam aboot whan jesus had endit thir words the folk war amazed at his teachin for he spak till them as ane that had authoritie and no like the writers,MAT,7,SCO1904
7,MAT.8.SCO1904,and whan he cam doon frae the mountain great thrangs o folk followt him and lo a leper cam and worshippt him and said lord gin ye wad ye coud mak me clean and jesus pat oot his haun and touched him sayin i wull be ye clean and at aince his leprosie was healed and jesus chairged him see that ye tell nane but gang yere ways till the priest and gie ye the gift commandit by moses for a token to them and whan jesus cam intil capernaum thar cam till him a captain and besocht him sayin lord my servantlad is doon wi a stroke in my hoose in unco pain quo jesus till him i wull come and heal him and the captain answert lord i amna fit ye soud come aneath my roof but only say the word and my servantlad sal be weel for een i my sel a man aneath authoritie hae sodgers under me and i say till ane gang and he gangs and till another come and he comes and till my servantlad do sae and sae and he dis it hearin this jesus ferlied and said to them that followt i haena fund sic faith as this no in a isral and i say tye mony sal come frae the east and frae the wast and sit doon wi abram and isaac and jaucob i the kingdom o heeven but the sons o the kingdom sal be cuisten oot intil the mirk ootby thar sal be greetin and cherkin o teeth and jesus said to the captain gang yere ways een as ye lippened sae sal it be dune tye and his servantlad was made weel i that same oor and jesus enterin peters hoose saw his gudemither lyin doon wi a fivver and he touched her haun and the fivver was gane and she raise and waitit on him but whan the gloamin cam on they brocht till him a hantle wi evil spirits and he cuist oot the spirits wi a word and healed a the sick that sae micht the words o esaiah be fulfilled wha threepit he his ain sel took oor sillinesses and bure oor sicknesses noo jesus seein great thrangs aboot him commandit to gang ower to the ither side and a certain writer cam and quo he maister i wull follow ye whaursaeer ye may gang jesus said till him the tods hae holes and the birdies o the lift hae nests but the son o man hasna whaur his heid may lie and anither o his followers says lord lat me first gang till my faithers burial but jesus says till him follow ye me and lea the deid to bury their ain deid and whaun he gaed intil a boat his disciples followt him and see a great storm raise on the loch and wave efteir wave gaed ower the boat but he was sleepin and comin till him they roused him sayin maister save us we perish and he says to them why soud ye be fleyt ye o sic sma faith than he raise and challenged the winds and the sea and a was lown and the men ferlied uncolie sayin whatna man is this that een the winds and the watirs obey him and whan he cam to the ither side to the pairts o the gadarenes thar met him twa possesst anes comin oot o the tombs unco fierce sae that nane daur gang that gate and see they cryt oot what hae we wi you son o god are ye come to torment us or the time noo thar war feedin a gey bit aff frae them a great herd o swine sae the evil spirits besocht him sayin gin ye cast us oot send us intil the herd o swine and he said to them gang and whan they cam oot they gied intil the herd o swine and lo a the herd rushed doon the scaur intil the loch and perished i the watirs and they that herdit them fled and gaed their gate to the citie and tellt a and what had befaun the possesst anes and lo a the citie cam oot to meet jesus and whan they saw him they besocht him to gang awa frae their borders,MAT,8,SCO1904
8,MAT.9.SCO1904,and he entert the boat and gaed ower and cam till his ain toun and behauld they war bringin till him a man doon wi a stroke lyin on a couch and jesus seein their aefauldness says tae the man bairn be o gude heart yere sins are forgien ye and mark thar war writers sayin within theirsels this ane speaks profaneness and jesus kennin their thochts says why soud ye think ill in yere hearts whilk is easier to say yere sins are forgien or to say rise ye and walk but sae as ye may ken the son o man has authoritie on the yirth to forgie sins quo he till the ane wi a stroke rise ye tak up yere bed and gang yere ways till yere ain hoose and he risin up gaed awa till his ain hoose and a the folk seein it war dauntit wi fear and glorifyt god for gien sic pooer to men and as jesus gaed on frae that he saw a man cad matthew sittin whaur the dues were paid and he says till him follow ye me and he raise and followt him and it cam aboot as he was at meat i the hoose that behauld mony taxmen and illdeedie anes cam and sat doon wi him and his disciples and whan the pharisees saw that quo they till his disciples hoo ist that yere maister taks meat wi taxfolk and illdeedie anes noo jesus heard and quo he to them its no the hale anes that need the leech but thae that are ill but gang ye and learn what that sets forth i wad suner hae mercie nor sacrifeece for i amna come to ca the richtous but sinners than the disciples o john cam till him and quo they hoo ist that we fast muckle and the pharisees but yere disciples haena to fast and jesus says to them can the bairns o the bridalbower fast whan the bridegroom is wi them but the days come whan the bridegroom is taen awa frae them and than wull they fast and nae ane pits a clout o new claith on an auld coat for in waukinup it rives awa frae the cleedin and the hole is made waur nor div men pit new wine intil auld skins else the skins rive and the wine skails and the skins are destroyt but they pit new wine intil new wineskins and baith are keepit and meanwhile he was speakin thir things till them behauld a certain ruler cam and loutit doon afore him sayin my dochter maun een noo be deid but come and pit thy haun ower her and she sal leeve and jesus raise and followt him and the disciples as weel and behauld a wumman wi an issue o blude twal year cam ahint him to touch the border o his mantle for she said till hersel gin i can but touch his mantle i sal be weel but jesus turned him roon and whan he saw her said dochter tak heart yere faith has made ye hale and the wumman was made hale frae that oor and jesus comin intil the rulers hoose saw the fluteplayers and the folk makin a rowt he said to them gie place for the bairn is no deid but is sleepin and they geckt at him and leuch but whan a the folk war putten oot he gaed ben and takin her by the haun the lassie raise and the sough ot spread abreid in a that kintraside and as jesus gaed forrit twa blin men followt him cryin oot and sayin son o dauvid hae mercie on us and whan he was within the hoose the blin men cam till him and jesus says to them lippen ye that i can do this and they say till him aye lord than touched he their een sayin een as yere faith sae be it dune till ye and their een war unsteekit and jesus stricklie chairged them sayin see that nae man ken but they gaed oot and spread abreid his fame in a that kintraside and as they gaed oot behauld they brocht him a dumb man wi an evil spirit and whan the evil spirit was cuisten oot the dumb spak and a the folk ferlied sayin nevir was sic seen in isral but the pharisees said he casts oot the demons by the prince o the demons and jesus gaed aboot a the touns and villages teachin i their kirks and makin kent the blythemessage o the kingdom and healin a kinds o sickness and every ill amang a the folk but whan he lookit on the thrangs he was fu o compassion for they war in distress and war scattered as sheep wantin a shepherd than said he till his disciples the hairst is maist abundant but the hairstfolk are few pray ye to the maister o the hairst that he may send oot laborers intil his hairst,MAT,9,SCO1904
9,MAT.10.SCO1904,and cain his twal disciples till him he gied them the rule ower unclean spirits sae as to cast them oot and to heal a mainner o sickness and fecklessness noo the twal apostles names are thir first simon wha is named peter and andro his brither james o zebedee and john his brither philip and bartholomie tammas and matthew the tax man james o alpheus and thaddeus simon the zealot and judas iscariot wha een betrayt him thir twal jesus sent oot and chairged them sayin gangna the gate o the gentiles and enterna ony samaritan citie but gang ye raither to the forwanderin sheep o israls hoose and as ye gang proclaim and say the kingdom o heeven is at haun the sick heal the lepers cleanse the deid raise ill spirits cast ye oot freely ye hae gotten as freely gie get ye nae gowd nor siller nor yet copper i yer pouches nae pock for yer journey nor a spare coat nor shoon nor staff for the worker is wordie o his meat and intil whatna citie or toun ye may gae seek ye oot wha is wordie and bide ye thar till ye gang awa and whan ye come intil a hoose salute it and gin the hoose be wordie lat yere peace bide upon it and gin it be no wordie yere peace wull come back till ye again and whasae winna tak ye in nor hear yere words whan ye gang oot o that hoose or that toun flaff aff the vera stour frae yere feet truly say i tye it sal be mair tholeable for sodom and gomorrah in the day o judgment nor for that citie and look i send ye oot as sheep amang wolves be ye than wyss like serpents and aefauld as doos but tak tent o men for they wull gie ye up to cooncils and clour ye i their kirks and ye sal be brocht afore governors and kings for my sake for a testimonie to them and to the nations but whan they deliver ye up bena fashed aboot hoo or what ye sal say for in that same oor it sal be gien ye what to say for it isna ye wha are speakin but the spirit o yere faither wha speaks in ye and brither sal gie up the brither to deid and the faither the bairn and the bairns sal rise up again the parents and hae them putten to deid and ye sal be hatit o a folk for the sake o my name but he wha tholes to the end that same sal be delivert but whan they persecute ye i this toun flee till anither for truly say i tye yese no be ower the cities o isral till whan the son o man comes the learner is no aboon the teacher nor a servant aboon the maister eneuch that the learner sud fare as dis the teacher and the servant like his maister gin they ca the maister o the hoose beelzebul hoo muckle mair them o his househauld bena fleyt at them than for thar is naething covert that sanna be uncovert and hid that sanna be kent what i tell ye i the mirk tell ye oot i the licht and what ye hear whusht i the lug proclaim ye on the hoosetaps and dreidna them wha slay the body but canna slay the saul but raither dreid ye him wha is able to wreck saul and body in hell arena twa sparrows gaun for a bodle and ane frae mang them fasna on the grund withoot yere faither but the vera hairs o yere heid are a coontit dinna be dowie than ye are better nor mony sparrows whasae sal own me afore men him sal i own afore my faither wha is in heeven but whasae disowns me afore men him sal i disown afore my faither wha is in heeven thinkna i am come to cast abreid quateness on the yirth i comena to cast quateness but a sword for i am come to set in dispute a man again his faither and a bride again her gudemither and a mans faes are they o his ain hoose wha loes faither or mither mair nor me isna wordie o me and wha loes son or dochter mair nor me isna wordie o me and wha taksna up his cross to follow me isna wordie o me he wha wins his life sal tine it and wha tines his life for my sake he sal win it he wha welcomes you welcomes me and he wha welcomes me welcomes him wha sent me forth he wha taks in a seer in the name o a seer sal receive a seers reward and he wha taks in a holie man i the name o a holie man wins a holie mans reward and whasae sal gie to drink til ane o thir wee anes a cup o the cauld watir only i the name o a disciple truly i say tye he sanna in onygate tine his reward,MAT,10,SCO1904
