,book,chapt,version,text
0,MAT,1,SCO1904,the buik o the generation o jesus the christ dauvids son the son o abram
1,MAT,1,SCO1904,abram begat isaac and isaac begat jaucob and jaucob begat judah and his brethren
2,MAT,1,SCO1904,and judah begat pharez and zarah o tamar and pharez begat esrom and esrom begat aram
3,MAT,1,SCO1904,and aram begat aminadab and aminadab begat naasson and naasson begat salmon
4,MAT,1,SCO1904,and salmon begat boaz o rahab and boaz begat obed o ruth and obed begat jesse
5,MAT,1,SCO1904,and jesse begat dauvid the king and dauvid the king begat solomon o her wha was uriahs
6,MAT,1,SCO1904,and solomon begat rehoboam and rehoboam begat abijah and abijah begat asa
7,MAT,1,SCO1904,and asa begat jehosaphat and jehosaphat begat jehoram and jehoram begat uzziah
8,MAT,1,SCO1904,and uzziah begat jotham and jotham begat ahaz and ahaz begat hezekiah
9,MAT,1,SCO1904,and hezekiah begat manasseh and manasseh begat amon and amon begat josiah
10,MAT,1,SCO1904,and josiah begat jehoiachin and his brethren narhaun the time they war carryt awa to babylon
11,MAT,1,SCO1904,and eftir they cam to babylon jehoiachin begat salathiel and salathiel begat zerubbabel
12,MAT,1,SCO1904,and zerubbabel begat abiud and abiud begat eliakim and eliakim begat azor
13,MAT,1,SCO1904,and azor begat sadoc and sadoc begat achim and achim begat eliud
14,MAT,1,SCO1904,and eliud begat eleazar and eleazar begat matthan and matthan begat jaucob
15,MAT,1,SCO1904,and jaucob begat joseph marys husband o wham was born jesus wha is cad the christ
16,MAT,1,SCO1904,sae a the generations frae abram to dauvid are fowrteen generations and frae dauvid to the takin awa to babylon fowrteen generations and frae the takin awa to babylon to christ fowrteen generations
17,MAT,1,SCO1904,noo the nativitie o jesus christ was thisgate whan his mither mary was mairryt till joseph or they cam thegither she was fund wi bairn o the holie spirit
18,MAT,1,SCO1904,than her guidman joseph bein an upricht man and no desirin her name soud be ithe mooth o the public was ettlin to pit her awa hidlins
19,MAT,1,SCO1904,but as he had thir things in his mind see an angel o the lord appearit till him by a dream sayin joseph son o dauvid binna feared to tak till ye yere wife mary for that whilk is begotten in her is by the holie spirit
20,MAT,1,SCO1904,and she sal bring forth a son and ye shall ca his name jesus for he sal
21,MAT,1,SCO1904,save his folk frae their sins
22,MAT,1,SCO1904,noo a this was dune that it might come to pass what was said by the lord throwe the prophet
23,MAT,1,SCO1904,tak tent a maiden sal be wi bairn and sal bring forth a son and they wull ca his name emmanuel whilk is translatit god wi us
24,MAT,1,SCO1904,sae joseph comin oot o his sleep did as the angel had bidden him and took till him his wife
25,MAT,1,SCO1904,and leevd in continence wi her till she had brocht forth her firstborn son and cad his name jesus
26,MAT,2,SCO1904,noo whan jesus was born i bethlehemjudah i the days o king herod lo wyss men cam frae the
27,MAT,2,SCO1904,east tae jerusalem
28,MAT,2,SCO1904,and quo they whaur is he bidin that is cad king o the jews for i the east we saw his starn and are come forrit to worship him
29,MAT,2,SCO1904,but the king hearin was sair puttenabout and a jerusalem wi him
