,book,chapt,version,text
0,MAT,1,SIPB,disfala toktok ya hemi abaotem laen blong jisas kraes jisas hemi bon kam long laen blong king deved an deved hemi bon kam long laen blong ebraham
1,MAT,1,SIPB,ebraham hemi dadi blong aesak
2,MAT,1,SIPB,an aesak hemi dadi blong jekob
3,MAT,1,SIPB,an jekob hemi dadi blong jiuda wetem olketa brata blong hem
4,MAT,1,SIPB,an
5,MAT,1,SIPB,jiuda hemi dadi blong peres an sera wea mami blong tufala nao tama
6,MAT,1,SIPB,an peres hemi dadi blong hesron
7,MAT,1,SIPB,an hesron hemi dadi blong ram
8,MAT,1,SIPB,an ram hemi dadi blong aminadab
9,MAT,1,SIPB,an aminadab hemi dadi blong nason
10,MAT,1,SIPB,an nason hemi dadi blong salmon
11,MAT,1,SIPB,an
12,MAT,1,SIPB,salmon hemi dadi blong boas wea mami blong hem nao rehab
13,MAT,1,SIPB,an boas hemi dadi blong obed wea mami blong hem nao rut
14,MAT,1,SIPB,an obed hemi dadi blong jese
15,MAT,1,SIPB,an jese hemi dadi blong king deved
16,MAT,1,SIPB,deved hemi dadi blong solomon wea mami blong hem nao waef blong yuraea fastaem
17,MAT,1,SIPB,an solomon hemi dadi blong rihoboam
18,MAT,1,SIPB,an rihoboam hemi dadi blong abaeja
19,MAT,1,SIPB,an abaeja hemi dadi blong asa
20,MAT,1,SIPB,an asa hemi dadi blong jehosafat
21,MAT,1,SIPB,an jehosafat hemi dadi blong joram
22,MAT,1,SIPB,an joram hemi dadi blong yusaea
23,MAT,1,SIPB,an yusaea hemi dadi blong jotam
24,MAT,1,SIPB,an jotam hemi dadi blong ehas
25,MAT,1,SIPB,an ehas hemi dadi blong hesekaea
26,MAT,1,SIPB,an hesekaea hemi dadi blong manase
27,MAT,1,SIPB,an manase hemi dadi blong emon
28,MAT,1,SIPB,an emon hemi dadi blong josaea
29,MAT,1,SIPB,an
30,MAT,1,SIPB,josaea hemi dadi blong jehoeakin wetem olketa brata blong hem wea olketa stap long taem olketa enemi i tekem olketa pipol blong israel fo go long kantri long babilon
31,MAT,1,SIPB,jehoeakin hemi dadi blong sialtiel hu hemi stap taem olketa pipol blong israel olketa stap kam long babilon
