,book,chapt,version,text
0,MAT,1,SIPB,disfala toktok ya hemi abaotem laen blong jisas kraes
1,MAT,1,SIPB,jisas hemi bon kam long laen blong king deved an deved hemi bon kam long laen blong ebraham
2,MAT,1,SIPB,ebraham hemi dadi blong aesak an aesak hemi dadi blong jekob an jekob hemi dadi blong jiuda wetem olketa brata blong hem an jiuda hemi dadi blong peres an sera wea mami blong tufala nao tama an peres hemi dadi blong hesron an hesron hemi dadi blong ram an ram hemi dadi blong aminadab an aminadab hemi dadi blong nason an nason hemi dadi blong salmon an salmon hemi dadi blong boas wea mami blong hem nao rehab an boas hemi dadi blong obed wea mami blong hem nao rut an obed hemi dadi blong jese an jese hemi dadi blong king deved
3,MAT,1,SIPB,deved hemi dadi blong solomon wea mami blong hem nao waef blong yuraea fastaem an solomon hemi dadi blong rihoboam an rihoboam hemi dadi blong abaeja an abaeja hemi dadi blong asa an asa hemi dadi blong jehosafat an jehosafat hemi dadi blong joram an joram hemi dadi blong yusaea an yusaea hemi dadi blong jotam an jotam hemi dadi blong ehas an ehas hemi dadi blong hesekaea an hesekaea hemi dadi blong manase an manase hemi dadi blong emon an emon hemi dadi blong josaea an josaea hemi dadi blong jehoeakin wetem olketa brata blong hem wea olketa stap long taem olketa enemi i tekem olketa pipol blong israel fo go long kantri long babilon
4,MAT,1,SIPB,jehoeakin hemi dadi blong sialtiel hu hemi stap taem olketa pipol blong israel olketa stap kam long babilon an sialtiel hemi dadi blong serababel an serababel hemi dadi blong abaeud an abaeud hemi dadi blong elaeakim an elaeakim hemi dadi blong aso an aso hemi dadi blong sadok an sadok hemi dadi blong akim an akim hemi dadi blong eliud an eliud hemi dadi blong eleasa an eleasa hemi dadi blong matan an matan hemi dadi blong jekob an jekob hemi dadi blong josef hasban blong meri an meri nao hemi mami blong jisas disfala mesaea ya
5,MAT,1,SIPB,so stat long ebraham kam kasem king deved hemi garem fotinfala man
6,MAT,1,SIPB,an stat long king deved kam kasem taem wea olketa enemi i tekem olketa israel fo go long babilon hemi nara fotinfala man
7,MAT,1,SIPB,an stat long taem wea olketa go long babilon kam kasem taem wea disfala mesaea hemi bon hemi garem nara fotinfala man tu
8,MAT,1,SIPB,stori abaotem hao jisas kraes hemi bon hemi olsem
9,MAT,1,SIPB,taem meri mami blong jisas olketa mektambu long hem fo hemi maritim josef an tufala no stap tugeta yet paoa blong holi spirit hemi mekem meri fo garem pikinini long bele blong hem nao
10,MAT,1,SIPB,nao josef hemi wanfala gudfala man ya so taem hemi save dat meri hemi babule finis hemi no wande fo mekem meri fo filsem long ae blong evriwan
11,MAT,1,SIPB,so hemi tingting fo lusim meri long gudfala wei wea famili blong tufala nomoa olketa save
12,MAT,1,SIPB,taem josef hemi gohed fo tingting abaotem diswan hemi drim an hemi lukim wanfala enjel blong god
13,MAT,1,SIPB,nao disfala enjel hemi tok olsem long josef josef wea yu bon kam long laen blong king deved yu mas no fraet fo gohed fo maritim meri
14,MAT,1,SIPB,disfala pikinini long bele blong hem ya paoa blong holi spirit nao hemi mekem hem fo garem diswan
15,MAT,1,SIPB,bae meri hemi bonem wanfala pikinini boe an bae yu kolem hem jisas bikos disfala man nao bae hemi sevem olketa pipol blong hem from olketa sin blong olketa
16,MAT,1,SIPB,olketa samting ya hemi hapen fo mekem kamtru disfala toktok wea god hemi mekem wanfala profet fo talemaot kam bifoa olsem wanfala yang gele hu no eni man hemi stap wetem hem yet bae hemi babule an bae hemi bonem wanfala pikinini boe
17,MAT,1,SIPB,an bae olketa kolem boe ya imanuel
18,MAT,1,SIPB,disfala nem ya hemi minim god hemi stap wetem yumi
19,MAT,1,SIPB,so bihaen long disfala drim nomoa josef hemi maritim meri an hemi duim wanem enjel blong god hemi talem long hem
20,MAT,1,SIPB,bat hemi nating slip wetem meri gogo hemi bonem pikinini boe blong hem
21,MAT,1,SIPB,an josef hemi kolem pikinini ya jisas
22,MAT,2,SIPB,jisas hemi bon long taon long betlehem long provins long jiudia an hemi long taem wea herod hemi king ovarem kantri ya
23,MAT,2,SIPB,no longtaem bihaen wea jisas hemi bon samfala man hu olketa stap kam farawe tumas long ist olketa kam kasem jerusalem
24,MAT,2,SIPB,olketa ya olketa save lukluk fo luksave long mining blong olketa sta antap long skae
25,MAT,2,SIPB,nao olketa ask olsem wea nao disfala smol pikinini wea bae hemi king blong yufala olketa jiu
