,book,chapt,version,text
0,MAT,1,SWZZB1921,kitabu eba ukoo wa yesu kristo mwana wa daud mwana wa ibrahimu
1,MAT,1,SWZZB1921,ibrahimu alimzaa isaak isaak akamzaa yakob yakob akamzaa yuda na ndugu zake
2,MAT,1,SWZZB1921,yuda na tamar wakamzaa parez na zara parez akamzaa esrom esrom akamzaa aram
3,MAT,1,SWZZB1921,aram akamzaa aminadab aminadab akamzaa nahashon nahashon akamzaa salmon
4,MAT,1,SWZZB1921,salmon na rahab wakamzaa boaz boaz na ruth wakamzaa obed obed akamzaa yese
5,MAT,1,SWZZB1921,yese akamzaa mfalme daud
6,MAT,1,SWZZB1921,mfalme daud na mke wa uria wakamzaa suleman
7,MAT,1,SWZZB1921,suleman akamzaa rehoboam rehoboam akamzaa abia abia akamzaa asa
8,MAT,1,SWZZB1921,asa akamzaa yehoshafat yehoshafat akamzaa yoram yoram akamzaa uzia
9,MAT,1,SWZZB1921,uzia akamzaa yotham yotham akamzaa ahaz ahaz akamzaa hezekia
10,MAT,1,SWZZB1921,hezekia akamzaa manasse manasse akamzaa amon amon akamzaa yosia
11,MAT,1,SWZZB1921,yosia akamzaa yekonia na ndugu zake wakati wa uhamisho wa babel
12,MAT,1,SWZZB1921,na haada ya uhamisho ule wa babel yekonia akamzaa shealtiel shealtiel akamzaa zerubbabel
13,MAT,1,SWZZB1921,zerubbabel akamzaa ahihud ahihud akamzaa eliakim eliakim akamzaa azor
14,MAT,1,SWZZB1921,azor akamzaa sadok sadok akamzaa ahim ahim akamzaa eliud
15,MAT,1,SWZZB1921,eliud akamzaa eleazar eleazar akamzaa mattan mattan akamzaa yakob
16,MAT,1,SWZZB1921,yakob akamzaa yusuf mumewe mariamu aliyemzaa yesu aitwae kristo
17,MAT,1,SWZZB1921,bassi vizazi vyote tangu ibrahimu hatta daud vizazi kumi na vine na tangu daud hatta uhamisho ule wa babel vizazi kumi na vine na tangu uhamisho ule wa babel hatta kristo vizazi kumi na vine
18,MAT,1,SWZZB1921,na kuzaliwa kwake yesu kristo kulikuwa hivi mariamu mama yake alipoposwa na yusuf kabla hawajakaribiana alionekana ana mimba kwa uweza wa roho mtakatifu
19,MAT,1,SWZZB1921,nae yusuf mumewe kwa kuwa mtu wa haki asitake kumwaibisha aliazimu kumwacha kwa siri
20,MAT,1,SWZZB1921,alipokuwa akifikiri haya malaika wa bwana akamtokea katika udoto akisema yusuf mwana wa daud usikhofu kumchukua mariamu mke wako maana mimba yake ni kwa uweza wa roho mtakatifu
21,MAT,1,SWZZB1921,nae atazaa mtoto mwanamume nawe utamwita jina lake yesu maana ndiye atakaewaokoa watu wake na dhambi zao
22,MAT,1,SWZZB1921,haya yote yamekuwa illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akinena
23,MAT,1,SWZZB1921,angalia mwanamke bikira atachukua mimba nae atazaa mwana
24,MAT,1,SWZZB1921,na watamwita jina lake immanuel
25,MAT,1,SWZZB1921,tafsiri yake mungu kati yetu
26,MAT,1,SWZZB1921,yusuf alipoamka katika usingizi akatenda kama malaika wa bwana alivyomwagiza
27,MAT,1,SWZZB1921,akamchukua mkewe asimjue kamwe hatta alipomzaa mwanawe wa kifungua mimba akainwita jina lake yesu
28,MAT,2,SWZZB1921,alipozaliwa yesu katika bethlehemu ya yahudi zamani za mfalme herode majusi wa mashariki walifika yerusalemi
29,MAT,2,SWZZB1921,wakinena yuko wapi yeye aliyezaliwa mfalme wa wayahudi kwa maana tuliiona nyola yake mashariki nasi tumekuja kumsujudu
30,MAT,2,SWZZB1921,mfalme herode aliposikia haya akafadhaika na yerusalemi pia pamoja nae
31,MAT,2,SWZZB1921,akakusanya makuhani wakuu wote na waandishi wa watu akatafuta khabari kwao kristo azaliwa wapi
32,MAT,2,SWZZB1921,nao wakamwambia katika bethlehemu ya yahudi kwa maana ndivyo ilivyoandikwa na nabii
33,MAT,2,SWZZB1921,na wewe bethlehemu wa inchi ya yuda
34,MAT,2,SWZZB1921,huwi mdogo kamwe katika majumbe ya yuda
35,MAT,2,SWZZB1921,kwa kuwa kwako atatoka liwali
36,MAT,2,SWZZB1921,atakaewachunga watu wangu israeli
37,MAT,2,SWZZB1921,kisha herode akawaita majusi kwa faragha akapata kwao hakika ya muda ile nyota ilipoonekana
38,MAT,2,SWZZB1921,akawapeleka bethlehemu akasema shikeni njia mkahoji sana mambo ya mtoto mkiisha kumwona nileteeni khabari illi nami nije nimsujudie
39,MAT,2,SWZZB1921,nao waliposikia maneno ya mfalme wakashika njia na tazama ile nyota waliyoiona mashariki ikawatangulia hatta ikaenda ikasimama juu ya mahali alipokuwapo mtoto
40,MAT,2,SWZZB1921,walipoiona ile nyota wakafurahi furaha kuliwa mno
41,MAT,2,SWZZB1921,wakaingia nyumbani wakamwona mtoto pamoja na mariamu mama yake wakaanguka wakasujudu nao walipokwisha kufungua hazina zao wakamtolea tumi dhahabu uvumba na manemane
42,MAT,2,SWZZB1921,nao wakiisha kuonywa katika ndoto wasimrudie herode wakaenda zao kwao kwa njia nyingine
43,MAT,2,SWZZB1921,na hawo walipokwisha kwenda zao malaika wu bwami akamtokea yusuf katika ndoto akiuena ondoka umchukue mtoto na mama yake ukimbilie misri ukakae huko mpaka nikuambiapo kwa maana herode anataka kumtafuta mtoto amwangamize
44,MAT,2,SWZZB1921,akaondoka akamchukua mtoto na mama yake usiku akaenda zake hatta misri
45,MAT,2,SWZZB1921,akawa huko mpaka alipokufa herode illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akisema kutoka misri nalimwita mwaua wangu
46,MAT,2,SWZZB1921,bassi herode akiona ya kuwa amedhihakiwa na majusi akaghadhabika sana akatuma watu kuwaua watoto wote wanawaume waliokuwa bethlehemu na viungani mwake mwote tangu wa miaka miwili na waliopungua kwa muda aliouhakiki kwa majusi
47,MAT,2,SWZZB1921,ndipo lilipotimia neno lililonenwa na nabii yeremia akisema
48,MAT,2,SWZZB1921,sauti ilisikiwa rama
49,MAT,2,SWZZB1921,kilio na kulalama na maombolezo
50,MAT,2,SWZZB1921,rahel akiwalilia watoto wake
51,MAT,2,SWZZB1921,asikubali kufarijiwa maana hawako
52,MAT,2,SWZZB1921,hatta alipofariki herode malaika wa bwana akamtokea yusuf katika ndoto huko misri akinena
53,MAT,2,SWZZB1921,ondoka umchukue mtoto na mama yake ushike njia kwenda inchi ya israeli kwa maana wamekufa walioilafuta roho ya mtoto
54,MAT,2,SWZZB1921,akaondoka akamchukua mtoto na mama yake akatika inchi ya israeli
