,book,chapt,version,text
0,MAT,1,SWZZB1921,kitabu eba ukoo wa yesu kristo mwana wa daud mwana wa ibrahimu
1,MAT,1,SWZZB1921,ibrahimu alimzaa isaak isaak akamzaa yakob yakob akamzaa yuda na ndugu zake yuda na tamar wakamzaa parez na zara parez akamzaa esrom esrom akamzaa aram aram akamzaa aminadab aminadab akamzaa nahashon nahashon akamzaa salmon salmon na rahab wakamzaa boaz boaz na ruth wakamzaa obed obed akamzaa yese yese akamzaa mfalme daud
2,MAT,1,SWZZB1921,mfalme daud na mke wa uria wakamzaa suleman suleman akamzaa rehoboam rehoboam akamzaa abia abia akamzaa asa asa akamzaa yehoshafat yehoshafat akamzaa yoram yoram akamzaa uzia uzia akamzaa yotham yotham akamzaa ahaz ahaz akamzaa hezekia hezekia akamzaa manasse manasse akamzaa amon amon akamzaa yosia yosia akamzaa yekonia na ndugu zake wakati wa uhamisho wa babel
3,MAT,1,SWZZB1921,na haada ya uhamisho ule wa babel yekonia akamzaa shealtiel shealtiel akamzaa zerubbabel zerubbabel akamzaa ahihud ahihud akamzaa eliakim eliakim akamzaa azor azor akamzaa sadok sadok akamzaa ahim ahim akamzaa eliud eliud akamzaa eleazar eleazar akamzaa mattan mattan akamzaa yakob yakob akamzaa yusuf mumewe mariamu aliyemzaa yesu aitwae kristo
4,MAT,1,SWZZB1921,bassi vizazi vyote tangu ibrahimu hatta daud vizazi kumi na vine na tangu daud hatta uhamisho ule wa babel vizazi kumi na vine na tangu uhamisho ule wa babel hatta kristo vizazi kumi na vine
5,MAT,1,SWZZB1921,mariamu mama yake alipoposwa na yusuf kabla hawajakaribiana alionekana ana mimba kwa uweza wa roho mtakatifu
6,MAT,1,SWZZB1921,nae yusuf mumewe kwa kuwa mtu wa haki asitake kumwaibisha aliazimu kumwacha kwa siri
7,MAT,1,SWZZB1921,alipokuwa akifikiri haya malaika wa bwana akamtokea katika udoto akisema yusuf mwana wa daud usikhofu kumchukua mariamu mke wako maana mimba yake ni kwa uweza wa roho mtakatifu
8,MAT,1,SWZZB1921,nae atazaa mtoto mwanamume nawe utamwita jina lake yesu maana ndiye atakaewaokoa watu wake na dhambi zao
9,MAT,1,SWZZB1921,haya yote yamekuwa illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akinena angalia mwanamke bikira atachukua mimba nae atazaa mwana na watamwita jina lake immanuel tafsiri yake mungu kati yetu
10,MAT,1,SWZZB1921,yusuf alipoamka katika usingizi akatenda kama malaika wa bwana alivyomwagiza akamchukua mkewe asimjue kamwe hatta alipomzaa mwanawe wa kifungua mimba akainwita jina lake yesu
11,MAT,2,SWZZB1921,alipozaliwa yesu katika bethlehemu ya yahudi zamani za mfalme herode majusi wa mashariki walifika yerusalemi wakinena yuko wapi yeye aliyezaliwa mfalme wa wayahudi
12,MAT,2,SWZZB1921,kwa maana tuliiona nyola yake mashariki nasi tumekuja kumsujudu
13,MAT,2,SWZZB1921,mfalme herode aliposikia haya akafadhaika na yerusalemi pia pamoja nae
14,MAT,2,SWZZB1921,akakusanya makuhani wakuu wote na waandishi wa watu akatafuta khabari kwao kristo azaliwa wapi
15,MAT,2,SWZZB1921,nao wakamwambia katika bethlehemu ya yahudi kwa maana ndivyo ilivyoandikwa na nabii na wewe bethlehemu wa inchi ya yuda huwi mdogo kamwe katika majumbe ya yuda kwa kuwa kwako atatoka liwali atakaewachunga watu wangu israeli
16,MAT,2,SWZZB1921,kisha herode akawaita majusi kwa faragha akapata kwao hakika ya muda ile nyota ilipoonekana
17,MAT,2,SWZZB1921,akawapeleka bethlehemu akasema shikeni njia mkahoji sana mambo ya mtoto mkiisha kumwona nileteeni khabari illi nami nije nimsujudie
18,MAT,2,SWZZB1921,nao waliposikia maneno ya mfalme wakashika njia na tazama ile nyota waliyoiona mashariki ikawatangulia hatta ikaenda ikasimama juu ya mahali alipokuwapo mtoto
