,book,chapt,version,text
0,MAT,1,TCL02,ibrahim oglu davut oglu isa mesihin soy kaydi soyledir ibrahim ishakin babasiydi ishak yakupun babasiydi yakup yahuda ve kardeslerinin babasiydi yahuda tamardan dogan peresle zerahin babasiydi peres hesronun babasiydi hesron ramin babasiydi ram amminadavin babasiydi amminadav nahsonun babasiydi nahson salmonun babasiydi salmon rahavdan dogan boazin babasiydi boaz ruttan dogan ovetin babasiydi ovet isayin babasiydi isay kral davutun babasiydi davut uriyanin karisindan dogan suleymanin babasiydi suleyman rehavamin babasiydi rehavam aviyanin babasiydi aviya asanin babasiydi asa yehosafatin babasiydi yehosafat yehoramin babasiydi yehoram uzziyanin babasiydi uzziya yotamin babasiydi yotam ahazin babasiydi ahaz hizkiyanin babasiydi hizkiya manassenin babasiydi manasse amonun babasiydi amon yosiyanin babasiydi yosiya babil surgunu sirasinda dogan yehoyakinle kardeslerinin babasiydi yehoyakin babil surgununden sonra dogan sealtielin babasiydi sealtiel zerubbabilin babasiydi zerubbabil avihutun babasiydi avihut elyakimin babasiydi elyakim azorun babasiydi azor sadokun babasiydi sadok ahimin babasiydi ahim elihutun babasiydi elihut elazarin babasiydi elazar mattanin babasiydi mattan yakupun babasiydi yakup meryemin kocasi yusufun babasiydi
1,MAT,1,TCL02,meryemden mesih diye taninan isa dogdu
2,MAT,1,TCL02,buna gore ibrahimden davuta kadar toplam on dort kusak davuttan babil surgunune kadar on dort kusak babil surgununden mesihe kadar on dort kusak vardir
3,MAT,1,TCL02,isa mesihin dogumu soyle oldu annesi meryem yusufla nisanliydi
4,MAT,1,TCL02,ama birlikte olmalarindan once meryemin kutsal ruhtan gebe oldugu anlasildi
5,MAT,1,TCL02,nisanlisi yusuf dogru bir adam oldugu ve onu herkesin onunde utandirmak istemedigi icin ondan sessizce ayrilmak niyetindeydi
6,MAT,1,TCL02,ama boyle dusunmesi uzerine rabbin bir melegi ruyada ona gorunerek soyle dedi davut oglu yusuf meryemi kendine es olarak almaktan korkma
7,MAT,1,TCL02,cunku onun rahminde olusan kutsal ruhtandir
8,MAT,1,TCL02,butun bunlar rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu iste kiz gebe kalip bir ogul doguracak adini immanuel koyacaklar
9,MAT,1,TCL02,yusuf uyaninca rabbin meleginin buyruguna uydu ve meryemi es olarak yanina aldi
10,MAT,1,TCL02,ama oglunu doguruncaya dek yusuf ona dokunmadi
11,MAT,2,TCL02,isanin kral hirodes devrinde yahudiyenin beytlehem kentinde dogmasindan sonra bazi yildizbilimciler dogudan yerusalim e gelip soyle dediler yahudilerin krali olarak dogan cocuk nerede
12,MAT,2,TCL02,doguda onun yildizini gorduk ve ona tapinmaya geldik
