,book,chapt,version,text
0,MAT,1,USNT,here is tha femlie line o jesus christ tha sinn o davit an o abraham abraham wus tha faither o isaac isaac tha faither o jacob jacob tha faither o judah an his brithers
1,MAT,1,USNT,an judah wus tha faither o perez an zerah an thair mither wus tamar
2,MAT,1,USNT,perez wus tha faither o hezron hezron tha faither o ram
3,MAT,1,USNT,ram wus tha faither o amminadab amminadab tha faither o nahshon an nahshon tha faither o salmon
4,MAT,1,USNT,salmon wus tha faither o boaz an tha mither o boaz wus rahab
5,MAT,1,USNT,boaz wus tha faither o obed an tha mither o obed wus ruth
6,MAT,1,USNT,obed wus tha faither o jesse an jesse tha faither o king davit
7,MAT,1,USNT,davit wus tha faither o solomon bi hir that wus yinst tha wife o uriah
8,MAT,1,USNT,solomon wus tha faither o rehoboam rehoboam tha faither o abijah abijah tha faither o asa asa tha faither o jehoshaphat jehoshaphat tha faither o jehoram jehoram tha faither o uzziah
9,MAT,1,USNT,uzziah wus tha faither o jotham jotham tha faither o ahaz ahaz tha faither o hezekiah
10,MAT,1,USNT,hezekiah wus tha faither o manasseh manasseh tha faither o amon an amon tha faither o josiah
11,MAT,1,USNT,josiah wus tha faither o jeconiah an his brithers
12,MAT,1,USNT,that wus roon aboot tha time the wur cairriet aff tae babylon
13,MAT,1,USNT,an efter the wur cairriet awa tae babylon jeconiah becum tha faither o shealtiel an shealtiel tha faither o zerubbabel
14,MAT,1,USNT,zerubbabel wus tha faither o abiud abiud tha faither o eliakim an eliakim tha faither o azor
15,MAT,1,USNT,azor wus tha faither o zadok zadok tha faither o akim an akim tha faither o eliud
16,MAT,1,USNT,eliud wus tha faither o eleazar eleazar tha faither o matthan an matthan tha faither o jacob
17,MAT,1,USNT,an jacob wus tha faither o joseph an joseph wus merriet tae mary
18,MAT,1,USNT,an mary wus tha mither o jesus tha yin caad christ
19,MAT,1,USNT,that made fowerteen generations in aa frae abraham tae davit fowerteen frae davit til the wur cairriet awa tae babylon an anither fowerteen frae that tae tha cumin o christ
20,MAT,1,USNT,an this is hoo tha birth o jesus christ cum aboot his mither mary wus promist tae joseph but afore the cum thegither she fun oot she wus wi a wean
21,MAT,1,USNT,an it wus bi tha halie spirit
22,MAT,1,USNT,noo joseph hir husban wus a dacent man an he didnae want hir tae be affrontit sae he thocht tae senn hir awa on tha quait
