,first,second,label
0,"Jedus Christ Kin People  Luke :-  Dis yah de people wa dey write down say been kin ta Jedus Christ, fom way back ta Abraham time.","Jedus come out fom King David fambly, an King David come out fom Abraham fambly.",1
1,"Jedus come out fom King David fambly, an King David come out fom Abraham fambly.",Abraham been de fada ob Isaac.,1
2,Abraham been de fada ob Isaac.,Isaac been de fada ob Jacob.,1
3,Isaac been de fada ob Jacob.,Jacob been de fada ob Judah an e broda dem.,1
4,Jacob been de fada ob Judah an e broda dem.,"Judah been de fada ob Perez an Zerah, an dey modda been Tamar.",1
5,"Judah been de fada ob Perez an Zerah, an dey modda been Tamar.",Perez been de fada ob Hezron.,1
6,Perez been de fada ob Hezron.,Hezron been de fada ob Ram.,1
7,Hezron been de fada ob Ram.,Ram been de fada ob Amminadab.,1
8,Ram been de fada ob Amminadab.,Amminadab been de fada ob Nahshon.,1
9,Amminadab been de fada ob Nahshon.,Nahshon been de fada ob Salmon.,1
10,Nahshon been de fada ob Salmon.,"Salmon been de fada ob Boaz, an e modda been Rahab.",1
11,"Salmon been de fada ob Boaz, an e modda been Rahab.","Boaz been de fada ob Obed, an e modda been Ruth.",1
12,"Boaz been de fada ob Obed, an e modda been Ruth.",Obed been de fada ob Jesse.,1
13,Obed been de fada ob Jesse.,Jesse been de fada ob King David.,1
14,Jesse been de fada ob King David.,"David been de fada ob Solomon, an e modda been Uriah wife.",1
15,"David been de fada ob Solomon, an e modda been Uriah wife.",Solomon been de fada ob Rehoboam.,1
16,Solomon been de fada ob Rehoboam.,Rehoboam been de fada ob Abijah.,1
17,Rehoboam been de fada ob Abijah.,Abijah been de fada ob Asa.,1
18,Abijah been de fada ob Asa.,Asa been de fada ob Jehoshaphat.,1
19,Asa been de fada ob Jehoshaphat.,Jehoshaphat been de fada ob Joram.,1
20,Jehoshaphat been de fada ob Joram.,Joram been de fada ob Uzziah.,1
21,Joram been de fada ob Uzziah.,Uzziah been de fada ob Jotham.,1
22,Uzziah been de fada ob Jotham.,Jotham been de fada ob Ahaz.,1
23,Jotham been de fada ob Ahaz.,Ahaz been de fada ob Hezekiah.,1
24,Ahaz been de fada ob Hezekiah.,Hezekiah been de fada ob Manasseh.,1
25,Hezekiah been de fada ob Manasseh.,Manasseh been de fada ob Amon.,1
26,Manasseh been de fada ob Amon.,Amon been de fada ob Josiah.,1
27,Amon been de fada ob Josiah.,Josiah been de fada ob Jechoniah an e broda dem.,1
28,Josiah been de fada ob Jechoniah an e broda dem.,Dey been bon wen de people fom Babylon come een pon de Israel people an cyaa um off wid um ta Babylon an pit um een slabery.,1
29,Dey been bon wen de people fom Babylon come een pon de Israel people an cyaa um off wid um ta Babylon an pit um een slabery.,"Atta dey enemy dem pit um een slabery an cyaa um off ta Babylon, Shealtiel been bon.",1
30,"Atta dey enemy dem pit um een slabery an cyaa um off ta Babylon, Shealtiel been bon.",Jechoniah been de fada ob Shealtiel.,1
31,Jechoniah been de fada ob Shealtiel.,Shealtiel been de fada ob Zerubbabel.,1
32,Shealtiel been de fada ob Zerubbabel.,Zerubbabel been de fada ob Abiud.,1
33,Zerubbabel been de fada ob Abiud.,Abiud been de fada ob Eliakim.,1
34,Abiud been de fada ob Eliakim.,Eliakim been de fada ob Azor.,1
35,Eliakim been de fada ob Azor.,Azor been de fada ob Zadok.,1
36,Azor been de fada ob Zadok.,Zadok been de fada ob Achim.,1
37,Zadok been de fada ob Achim.,Achim been de fada ob Eliud.,1
38,Achim been de fada ob Eliud.,Eliud been de fada ob Eleazar.,1
39,Eliud been de fada ob Eleazar.,Eleazar been de fada ob Matthan.,1
40,Eleazar been de fada ob Matthan.,Mattah been de fada ob Jacob.,1
41,Mattah been de fada ob Jacob.,Jacob been de fada ob Joseph.,1
42,Jacob been de fada ob Joseph.,"Joseph been Mary husban, an Jedus, wa dey call Christ, been Mary son.",1
43,"Joseph been Mary husban, an Jedus, wa dey call Christ, been Mary son.","So den, dey been foteen generation  fom Abraham time ta King David time.",1
44,"So den, dey been foteen generation  fom Abraham time ta King David time.",An dey been foteen generation fom King David time ta de time wen de people fom Babylon pit um een slabery an cyaa um off ta Babylon.,1
45,An dey been foteen generation fom King David time ta de time wen de people fom Babylon pit um een slabery an cyaa um off ta Babylon.,An dey been foteen generation fom den ta de time wen Jedus Christ bon.,1
46,An dey been foteen generation fom den ta de time wen Jedus Christ bon.,Jedus Christ Bon  Luke :-  Now dis yah wa happen wen Jedus Christ bon.,1
47,Jedus Christ Bon  Luke :-  Now dis yah wa happen wen Jedus Christ bon.,Jedus modda Mary been gage fa marry Joseph.,1
48,Jedus modda Mary been gage fa marry Joseph.,"Bot, fo dey git marry an Joseph cyaa um fa lib wid um, dey find out dat Mary been speckin.",1
49,"Bot, fo dey git marry an Joseph cyaa um fa lib wid um, dey find out dat Mary been speckin.",An dat been de powa ob de Holy Sperit wa mek dat happen.,1
50,An dat been de powa ob de Holy Sperit wa mek dat happen.,"Now Joseph wa been gage fa marry Mary, e been a man wa waak scraight wid God, an e ain been wahn fa see Mary come ta no open shame.",1
51,"Now Joseph wa been gage fa marry Mary, e been a man wa waak scraight wid God, an e ain been wahn fa see Mary come ta no open shame.",So Joseph mek op e mind fa paat wid Mary an keep um hush op.,1
52,So Joseph mek op e mind fa paat wid Mary an keep um hush op.,"E beena study haad bout wa e gwine do, wen de Lawd sen a angel ta um een a dream.",1
53,"E beena study haad bout wa e gwine do, wen de Lawd sen a angel ta um een a dream.","De angel tell um say, “Joseph, ya wa come out fom King David fambly, mus dohn be scaid fa marry Mary.",1
54,"De angel tell um say, “Joseph, ya wa come out fom King David fambly, mus dohn be scaid fa marry Mary.","Cause de chile wa e speckin, dat wa de Holy Sperit mek happen.",1
55,"Cause de chile wa e speckin, dat wa de Holy Sperit mek happen.","E gwine hab son, an ya mus gim de name Jedus, cause e gwine sabe e people fom dey sin.”  Now all dis happen so dat wa de Lawd done tell de prophet say gwine happen, e happen fa true.",1
56,"E gwine hab son, an ya mus gim de name Jedus, cause e gwine sabe e people fom dey sin.”  Now all dis happen so dat wa de Lawd done tell de prophet say gwine happen, e happen fa true.","E say, “One nyoung ooman dat ain neba know no man, e gwine be wid chile.",1
57,"E say, “One nyoung ooman dat ain neba know no man, e gwine be wid chile.","E gwine hab son, an dey gwine call de chile Emmanuel.” (Dat mean fa say, God right yah wid we.)  So wen Joseph wake op, e done wa de Lawd angel chaage um fa do.",1
58,"E gwine hab son, an dey gwine call de chile Emmanuel.” (Dat mean fa say, God right yah wid we.)  So wen Joseph wake op, e done wa de Lawd angel chaage um fa do.",E gone an marry Mary.,1
59,E gone an marry Mary.,Bot Joseph neba tetch Mary til e done hab e son.,1
60,Bot Joseph neba tetch Mary til e done hab e son.,An Joseph name de chile Jedus.,1
61,An Joseph name de chile Jedus.,"Now Jedus been bon een Betlem town, een Judea, jurin de same time wen Herod been king.",1
62,"Now Jedus been bon een Betlem town, een Judea, jurin de same time wen Herod been king.","Atta Jedus been bon, some wise man dem dat study bout de staa dem come ta Jerusalem fom weh dey been een de east.",1
63,"Atta Jedus been bon, some wise man dem dat study bout de staa dem come ta Jerusalem fom weh dey been een de east.","An dey aks say, “Weh de chile da, wa bon fa be de Jew people king?",1
64,"An dey aks say, “Weh de chile da, wa bon fa be de Jew people king?","We beena see de staa wa tell bout um een de east, an we come fa woshup um op.”  Wen King Herod yeh dat, e been opsot fa true.",1
65,"We beena see de staa wa tell bout um een de east, an we come fa woshup um op.”  Wen King Herod yeh dat, e been opsot fa true.",An ebrybody een Jerusalem been opsot too.,1
66,An ebrybody een Jerusalem been opsot too.,E call togeda all de leada dem ob de Jew priest dem an de Jew Law teacha dem.,1
67,E call togeda all de leada dem ob de Jew priest dem an de Jew Law teacha dem.,E aks um say.,1
68,E aks um say.,"Weh de Messiah gwine be bon at?”  Dey tell King Herod say, “E gwine be bon een Betlem town een Judea.",1
69,"Weh de Messiah gwine be bon at?”  Dey tell King Herod say, “E gwine be bon een Betlem town een Judea.","Cause de prophet write say,  ‘Betlem een Judah lan, ya sompin fa sho  mongst dem oda town dey een Judah.",1
70,"Cause de prophet write say,  ‘Betlem een Judah lan, ya sompin fa sho  mongst dem oda town dey een Judah.",Cause one ob ya people gwine be a big rula.,1
71,Cause one ob ya people gwine be a big rula.,"E gwine rule oba me Israel people,  same like a shephud da lead e sheep.’ ”  So King Herod sen fa de man dem dat done come fom de east fa meet wid um, bot e ain tell nobody bout de meetin.",1
72,"E gwine rule oba me Israel people,  same like a shephud da lead e sheep.’ ”  So King Herod sen fa de man dem dat done come fom de east fa meet wid um, bot e ain tell nobody bout de meetin.",Den Herod aks dem man fa tell um de zact time wen dey fus see dat staa.,1
73,Den Herod aks dem man fa tell um de zact time wen dey fus see dat staa.,"E tell um say, “Oona mus go ta Betlem an look roun good fa de chile.",1
74,"E tell um say, “Oona mus go ta Betlem an look roun good fa de chile.","Wen oona find um, mus come back an leh me know, so dat A kin go mesef fa woshup um op too.”  Atta dem man yeh wa de king say, dey gone on, an dey see de same staa dat dey beena see wen dey been back een de east.",1
75,"Wen oona find um, mus come back an leh me know, so dat A kin go mesef fa woshup um op too.”  Atta dem man yeh wa de king say, dey gone on, an dey see de same staa dat dey beena see wen dey been back een de east.","Dey folla dat staa til dey git ta de place weh de chile been, an den dat staa ain gone no foda.",1
76,"Dey folla dat staa til dey git ta de place weh de chile been, an den dat staa ain gone no foda.","Wen de man dem fom de east see dat staa dey, dey been too glad.",1
77,"Wen de man dem fom de east see dat staa dey, dey been too glad.",Dey been glad til dey ain know wa fa do.,1
78,Dey been glad til dey ain know wa fa do.,"Dey gone eenta de house, an dey see de chile dey wid e modda, Mary.",1
79,"Dey gone eenta de house, an dey see de chile dey wid e modda, Mary.",Den dey kneel down fo de chile an woshup um op.,1
80,Den dey kneel down fo de chile an woshup um op.,An dey open op dey bag an tek out de rich ting dey beena cyaa long wid um fa gii de chile.,1
81,An dey open op dey bag an tek out de rich ting dey beena cyaa long wid um fa gii de chile.,"Dey gim gole, frankincense, an myrrh.",1
82,"Dey gim gole, frankincense, an myrrh.","Now den, de Lawd come ta dem man een a dream an waan um, tell um say, “Mus dohn go back fa tell King Herod nottin.” So dey gone noda way back ta weh dey come fom.",1
83,"Now den, de Lawd come ta dem man een a dream an waan um, tell um say, “Mus dohn go back fa tell King Herod nottin.” So dey gone noda way back ta weh dey come fom.","Joseph Cyaa Jedus an Mary ta Egypt  Atta de man dem fom de east done gone, de Lawd sen one angel een a dream fa waan Joseph.",1
84,"Joseph Cyaa Jedus an Mary ta Egypt  Atta de man dem fom de east done gone, de Lawd sen one angel een a dream fa waan Joseph.","De angel tell um say, “King Herod gwine come look fa de chile, fa kill um.",1
85,"De angel tell um say, “King Herod gwine come look fa de chile, fa kill um.","Ya mus git op, tek de chile an e modda an ron way right now ta Egypt lan.",1
86,"Ya mus git op, tek de chile an e modda an ron way right now ta Egypt lan.","Stay dey til A tell oona fa come back fom dey.”  So Joseph git op, e tek de chile an e modda an gone een de night time ta Egypt lan.",1
87,"Stay dey til A tell oona fa come back fom dey.”  So Joseph git op, e tek de chile an e modda an gone een de night time ta Egypt lan.",E stay dey til King Herod been dead.,1
88,E stay dey til King Herod been dead.,"Wa de Lawd been tell de prophet fa say gwine happen, e happen fa true.",1
89,"Wa de Lawd been tell de prophet fa say gwine happen, e happen fa true.","E been say, “A call me Son fa come out fom Egypt lan.”  Dey Kill All de Boy Chullun een Betlem  Wen King Herod find out dat de man dem fom de east done fool um good, e been mad down.",1
90,"E been say, “A call me Son fa come out fom Egypt lan.”  Dey Kill All de Boy Chullun een Betlem  Wen King Herod find out dat de man dem fom de east done fool um good, e been mad down.","E gii orda ta e sodja dem say, “Mus kill all de boy chullun een Betlem an een de whole arie roun bout.",1
91,"E gii orda ta e sodja dem say, “Mus kill all de boy chullun een Betlem an een de whole arie roun bout.",Mus kill all dem two yeah ole an nyounga.” De king done dat cause ob wa dem man fom de east done tell um bout de time wen dey fus beena see de staa.,1
92,Mus kill all dem two yeah ole an nyounga.” De king done dat cause ob wa dem man fom de east done tell um bout de time wen dey fus beena see de staa.,Dis mek wa de prophet Jeremiah done say come true.,1
93,Dis mek wa de prophet Jeremiah done say come true.,"E say,  “Dey yeh a nise da come outta Ramah,  dey yeh somebody da weep an wail.",1
94,"E say,  “Dey yeh a nise da come outta Ramah,  dey yeh somebody da weep an wail.",Dat been Rachel da cry fa e chullun.,1
95,Dat been Rachel da cry fa e chullun.,"Ain nobody kin mek um stop fa cry,  cause e chullun done git kill op.”  Joseph, Mary an Jedus Come Outta Egypt  Atta Herod done dead, de Lawd sen e angel een a dream ta Joseph dey een Egypt lan.",1
96,"Ain nobody kin mek um stop fa cry,  cause e chullun done git kill op.”  Joseph, Mary an Jedus Come Outta Egypt  Atta Herod done dead, de Lawd sen e angel een a dream ta Joseph dey een Egypt lan.","E tell um say, “Mus git op an tek de chile an e modda an gone back ta Israel lan, cause dem dat beena try fa kill de chile done dead.” So den Joseph git op an tek de chile an e modda an gone back ta Israel.",1
97,"E tell um say, “Mus git op an tek de chile an e modda an gone back ta Israel lan, cause dem dat beena try fa kill de chile done dead.” So den Joseph git op an tek de chile an e modda an gone back ta Israel.","Bot wen Joseph yeh say dat Archelaus been tek e fada Herod place fa rule een Judea, e been scaid fa go dey fa lib.",1
98,"Bot wen Joseph yeh say dat Archelaus been tek e fada Herod place fa rule een Judea, e been scaid fa go dey fa lib.","De Lawd sen e angel fa waan Joseph, tell um een a dream wa fa do.",1
99,"De Lawd sen e angel fa waan Joseph, tell um een a dream wa fa do.",So Joseph gone ta de arie call Galilee.,1
100,So Joseph gone ta de arie call Galilee.,E gone fa lib een one town dey name Nazareth.,1
101,E gone fa lib een one town dey name Nazareth.,"So wa de prophet dem done say bout Jedus, e come true.",1
102,"So wa de prophet dem done say bout Jedus, e come true.","Een dat time, John wa Bactize come ta de wildaness een Judea, an e staat fa preach dey.",1
103,"Een dat time, John wa Bactize come ta de wildaness een Judea, an e staat fa preach dey.","E tell um say, “Oona mus change oona sinful way an dohn do um no mo.",1
104,"E tell um say, “Oona mus change oona sinful way an dohn do um no mo.","Cause de time mos yah wen God gwine rule oba we!” John been de man wa de prophet Isaiah beena taak bout wen e say,  “Somebody da holla een de wildaness say,  ‘Oona mus cleah de road weh de Lawd gwine come shru.",1
105,"Cause de time mos yah wen God gwine rule oba we!” John been de man wa de prophet Isaiah beena taak bout wen e say,  “Somebody da holla een de wildaness say,  ‘Oona mus cleah de road weh de Lawd gwine come shru.","Mek de pat scraight fa um fa waak!’ ”  John cloes been mek wid camel hair, an de belt roun e wais been mek wid animal hide.",1
106,"Mek de pat scraight fa um fa waak!’ ”  John cloes been mek wid camel hair, an de belt roun e wais been mek wid animal hide.",E beena nyam locust an wile honey.,1
107,E beena nyam locust an wile honey.,"A whole heapa people come fa yeh um, fom Jerusalem, fom all ob Judea, an fom all de whole arie close ta de Jerden Riba.",1
108,"A whole heapa people come fa yeh um, fom Jerusalem, fom all ob Judea, an fom all de whole arie close ta de Jerden Riba.","Dey beena tell all de sinful ting dat dey done done, an dey aks God fa fagib um.",1
109,"Dey beena tell all de sinful ting dat dey done done, an dey aks God fa fagib um.",Den John beena bactize um een de Jerden Riba.,1
110,Den John beena bactize um een de Jerden Riba.,Heapa de Pharisee an de Sadducee dem beena come fa hab John bactize um.,1
111,Heapa de Pharisee an de Sadducee dem beena come fa hab John bactize um.,"Wen John shim, e tell um say, “Oona wickity, jes like snake!",1
112,"Wen John shim, e tell um say, “Oona wickity, jes like snake!","Who tell oona dat ef oona git bactize, oona kin git way fom de jedgiment wa God gwine sen fa punish oona?",1
113,"Who tell oona dat ef oona git bactize, oona kin git way fom de jedgiment wa God gwine sen fa punish oona?",Oona mus do dem ting wa show oona done change oona way fa true.,1
114,Oona mus do dem ting wa show oona done change oona way fa true.,"An oona mus dohn tink say, ‘We de chullun ob Abraham.’ Dat ain gwine sabe oona.",1
115,"An oona mus dohn tink say, ‘We de chullun ob Abraham.’ Dat ain gwine sabe oona.","A da tell oona, God able fa tek dem stone yah an ton um eenta Abraham chullun!",1
116,"A da tell oona, God able fa tek dem stone yah an ton um eenta Abraham chullun!","Now de ax ta de foot ob de tree, ready fa cut um.",1
117,"Now de ax ta de foot ob de tree, ready fa cut um.","Ebry tree wa ain beah good fruit, God gwine cut um down an chunk um een de fire.",1
118,"Ebry tree wa ain beah good fruit, God gwine cut um down an chunk um een de fire.",A da bactize oona wid wata fa show dat oona done change oona sinful way.,1
119,A da bactize oona wid wata fa show dat oona done change oona sinful way.,Bot one man wa hab heap mo tority den me gwine come.,1
120,Bot one man wa hab heap mo tority den me gwine come.,A ain fit fa eben tote e shoe.,1
121,A ain fit fa eben tote e shoe.,E gwine bactize oona wid de Holy Sperit an wid fire.,1
122,E gwine bactize oona wid de Holy Sperit an wid fire.,E gwine jedge de people an separate um op like a faama wa hab e pitfork een e han fa separate de chaff fom de wheat.,1
123,E gwine jedge de people an separate um op like a faama wa hab e pitfork een e han fa separate de chaff fom de wheat.,E gwine geda de good wheat an pit um een e baan.,1
124,E gwine geda de good wheat an pit um een e baan.,"Bot de chaff, e gwine bun um een de ebalastin fire.”  John Bactize Jedus  Mark :-; Luke :-  Den Jedus come fom Galilee an gone ta de Jerden Riba.",1
125,"Bot de chaff, e gwine bun um een de ebalastin fire.”  John Bactize Jedus  Mark :-; Luke :-  Den Jedus come fom Galilee an gone ta de Jerden Riba.",E gone fa hab John bactize um.,1
126,E gone fa hab John bactize um.,Bot John ain wahn fa gree fa bactize Jedus.,1
127,Bot John ain wahn fa gree fa bactize Jedus.,"E tell Jedus say, “A oughta hab ya bactize me.",1
128,"E tell Jedus say, “A oughta hab ya bactize me.","Ya ain oughta come fa me fa bactize ya, ainty?”  Jedus tell John say, “Leh we do um de way A say fa now.",1
129,"Ya ain oughta come fa me fa bactize ya, ainty?”  Jedus tell John say, “Leh we do um de way A say fa now.",E fittin fa we fa do all wa God tell we fa do.” So den John gree fa do wa Jedus say.,1
130,E fittin fa we fa do all wa God tell we fa do.” So den John gree fa do wa Jedus say.,"Atta John done bactize Jedus, Jedus come op outta de wata.",1
131,"Atta John done bactize Jedus, Jedus come op outta de wata.",Jes den God open op de eliment.,1
132,Jes den God open op de eliment.,An Jedus see God Sperit da come down like a dob an light pon um.,1
133,An Jedus see God Sperit da come down like a dob an light pon um.,"Den dey yeh a boice fom heaben say, “Dis yah me own Son wa A da lob.",1
134,"Den dey yeh a boice fom heaben say, “Dis yah me own Son wa A da lob.","Atta dat, de Holy Sperit lead Jedus eenta de wildaness, weh de Debil try fa mek um do sompin e ain oughta do.",1
135,"Atta dat, de Holy Sperit lead Jedus eenta de wildaness, weh de Debil try fa mek um do sompin e ain oughta do.","Wen Jedus ain nyam nottin fa foty day an foty night, e been hongry down.",1
136,"Wen Jedus ain nyam nottin fa foty day an foty night, e been hongry down.","De Debil, wa try fa mek people do ebil ting, come ta Jedus dey an tell um say, “Since ya God Son, chaage dese rock yah fa ton eenta bread.”  Jedus ansa um say, “Dey done write down een God Book say, ‘E tek mo den sompin fa nyam fa mek people lib fa true.",1
137,"De Debil, wa try fa mek people do ebil ting, come ta Jedus dey an tell um say, “Since ya God Son, chaage dese rock yah fa ton eenta bread.”  Jedus ansa um say, “Dey done write down een God Book say, ‘E tek mo den sompin fa nyam fa mek people lib fa true.",E tek ebry wod dat come outta God mout.’ ”  Den de Debil cyaa Jedus ta de holy city Jerusalem.,1
138,E tek ebry wod dat come outta God mout.’ ”  Den de Debil cyaa Jedus ta de holy city Jerusalem.,E pit um way op pontop de mos high paat ob God House.,1
139,E pit um way op pontop de mos high paat ob God House.,"E tell Jedus say, “Since ya God Son, shrow yasef down fom yah.",1
