,first,second,label
0,Dis book tell bout Jesus an his ancesta guys.,"He da Christ Guy, da Spesho Guy God Wen Sen.",1
1,"He da Christ Guy, da Spesho Guy God Wen Sen.","He from King David ohana, an David, he from Abraham ohana.",1
2,"He from King David ohana, an David, he from Abraham ohana.",Dis Jesus ohana lis.,1
3,Dis Jesus ohana lis.,"Get fourteen faddahs from Abraham to David: Abraham, he Isaac faddah.",1
4,"Get fourteen faddahs from Abraham to David: Abraham, he Isaac faddah.","Isaac, he Jacob faddah.",1
5,"Isaac, he Jacob faddah.","Jacob, he Judah faddah, an all Judah braddahs, he dea faddah too.",1
6,"Jacob, he Judah faddah, an all Judah braddahs, he dea faddah too.","Judah, he Perez an Zerah faddah, an Tamar, she dea muddah.",1
7,"Judah, he Perez an Zerah faddah, an Tamar, she dea muddah.","Perez, he Hezron faddah.",1
8,"Perez, he Hezron faddah.","Hezron, he Ram faddah.",1
9,"Hezron, he Ram faddah.","Ram, he Aminadab faddah.",1
10,"Ram, he Aminadab faddah.","Aminadab, he Nashon faddah.",1
11,"Aminadab, he Nashon faddah.","Nashon, he Salmon faddah.",1
12,"Nashon, he Salmon faddah.","Salmon, he Boaz faddah, an Rahab, she Boaz muddah.",1
13,"Salmon, he Boaz faddah, an Rahab, she Boaz muddah.","Boaz, he Obed faddah, an Ruth, she Obed muddah.",1
14,"Boaz, he Obed faddah, an Ruth, she Obed muddah.","Obed, he Jesse faddah.",1
15,"Obed, he Jesse faddah.","An Jesse, he King David faddah.",1
16,"An Jesse, he King David faddah.","Den had fourteen faddahs from David till dey come prisonas Babylon side: David, he Solomon faddah.",1
17,"Den had fourteen faddahs from David till dey come prisonas Babylon side: David, he Solomon faddah.","An Solomon muddah Batsheba, befo dat she Uriah wife.",1
18,"An Solomon muddah Batsheba, befo dat she Uriah wife.","Solomon, he Rehoboam faddah.",1
19,"Solomon, he Rehoboam faddah.","Rehoboam, he Abijah faddah.",1
20,"Rehoboam, he Abijah faddah.","Abijah, he Asa faddah.",1
21,"Abijah, he Asa faddah.","Asa, he Jehoshafat faddah.",1
22,"Asa, he Jehoshafat faddah.","Jehoshafat, he Joram faddah.",1
23,"Jehoshafat, he Joram faddah.","Joram, he Uzziah faddah.",1
24,"Joram, he Uzziah faddah.","Uzziah, he Jotham faddah.",1
25,"Uzziah, he Jotham faddah.","Jotham, he Ahaz faddah.",1
26,"Jotham, he Ahaz faddah.","Ahaz, he Hezekiah faddah.",1
27,"Ahaz, he Hezekiah faddah.","Hezekiah, he Manasseh faddah.",1
28,"Hezekiah, he Manasseh faddah.","Manasseh, he Amos faddah.",1
29,"Manasseh, he Amos faddah.","Amos, he Josiah faddah.",1
30,"Amos, he Josiah faddah.","Josiah, he Koniah faddah, an Koniah braddahs too.",1
31,"Josiah, he Koniah faddah, an Koniah braddahs too.","Was dat time wen da Babylon armies wen make prisonas all da Jew guys, an take um away Babylon side.",1
