,first,second,label
0,Dis book tell bout Jesus an his ancesta guys.,"Zebedee, dea faddah.",0
1,"He da Christ Guy, da Spesho Guy God Wen Sen.","But Jesus tell um, “One guy dat talk fo God get choke respeck.",0
2,"He from King David ohana, an David, he from Abraham ohana.","Da guys dat work fo da owna go by him an tell, ‘Eh boss, da seeds you wen plant inside da field, was good, o wat?",0
3,Dis Jesus ohana lis.,"But now, I goin show proof to you guys—I goin make dis sick guy come strong.”  Dass why he tell da guy, “Eh, get up!",0
4,"Get fourteen faddahs from Abraham to David: Abraham, he Isaac faddah.","Eliakim, he Azor faddah.",0
5,"Isaac, he Jacob faddah.","If da right eye make you do bad kine stuff lidat, dig um out, an throw um away!",0
6,"Jacob, he Judah faddah, an all Judah braddahs, he dea faddah too.","Me, da main stone.",0
7,"Judah, he Perez an Zerah faddah, an Tamar, she dea muddah.",Dass fo shua.,0
8,"Perez, he Hezron faddah.",Den Jesus go way from dea.,0
9,"Hezron, he Ram faddah.",I goin go ova dea fo pray.”  He take Peter an da two Zebedee boys wit him.,0
10,"Ram, he Aminadab faddah.","We goin mahke!” But he tell, “How come you guys sked?",0
11,"Aminadab, he Nashon faddah.","But if dey talk bad bout da Good An Spesho Spirit, he no goin hemo da shame fo dat an let um go.",0
12,"Nashon, he Salmon faddah.","But dey sked da peopo, cuz da peopo figga he one guy dat talk fo God.",0
13,"Salmon, he Boaz faddah, an Rahab, she Boaz muddah.","But whoeva can handle an hang in dea till all dis pau, dey da ones dat goin come out okay.",0
14,"Boaz, he Obed faddah, an Ruth, she Obed muddah.",Dass jalike da seed dat fall down by da trail.,0
15,"Obed, he Jesse faddah.",I goin come on top da clouds inside da sky.,0
16,"An Jesse, he King David faddah.","Dey tell, “No good we put dis money inside da place wea da peopo give money fo da Temple cuz dis blood money.”  Az why dey figga lidis: “We go buy da field from da guy dat make clay pots, aah?",0
17,"Den had fourteen faddahs from David till dey come prisonas Babylon side: David, he Solomon faddah.","An I tell you dis too: wen he find um, he feel mo good inside fo da one sheep he wen find, den fo da ninety-nine sheeps dat neva get lost.",0
18,"An Solomon muddah Batsheba, befo dat she Uriah wife.",Firs you gotta take da big two by four outa yoa eye.,0
19,"Solomon, he Rehoboam faddah.","Da bad kine spirits beg Jesus, “Wen you goin make us let go da guy, we like go inside da pigs an take um ova.”  He tell um, “Go.” So dey let go da guys, an take ova da pigs.",0
20,"Rehoboam, he Abijah faddah.",No way!,0
21,"Abijah, he Asa faddah.","Dey goin kill me, an afta dat, day numba three, I goin come back alive.” Dat make Jesus guys come real sad.",0
22,"Asa, he Jehoshafat faddah.","Dey tell Jesus, “Eh you, da Christ Guy!",0
23,"Jehoshafat, he Joram faddah.",Cuz get guys ova hea dat try fo make odda guys do bad kine stuff!,0
24,"Joram, he Uzziah faddah.",Den da army guys burn up da whole town.,0
25,"Uzziah, he Jotham faddah.","Dat mean da wahine goin be his nex braddah wife.) Da nex braddah marry her, an den he mahke, an neva get kids.",0
26,"Jotham, he Ahaz faddah.","But had Pharisee guys ova dea dat see um do dat, an dey tell Jesus, “Eh, how come!",0
27,"Ahaz, he Hezekiah faddah.","Neva have notting lidat eva happen befo time, not even from wen God make da world till now, an no goin get notting lidat eva goin happen one mo time.",0
28,"Hezekiah, he Manasseh faddah.","No can pick da grape o da fig from da kine tree wit thorns, aah?",0
29,"Manasseh, he Amos faddah.","Get anodda guy dat find um, an den he bury um one mo time.",0
30,"Amos, he Josiah faddah.","Neva have notting lidat eva happen befo time, not even from wen God make da world till now, an no goin get notting lidat eva goin happen one mo time.",0
31,"Josiah, he Koniah faddah, an Koniah braddahs too.","Den dey all go da odda side a da lake, an come by Gennesaret town.",0
32,"Was dat time wen da Babylon armies wen make prisonas all da Jew guys, an take um away Babylon side.","Dey tell, “Eh Govna, us guys no foget, wen dat fake guy still alive, he tell, ‘Afta three days I goin come back alive one mo time.’ Az why us guys figga, try put some guards in front da tomb fo three days, fo his guys no come an steal his body.",0
33,"Afta dey take um away Babylon side, had fourteen faddahs: Koniah, he Shealtiel faddah.","Cuz David tell,   “ ‘Da One In Charge,  He tell my Boss,  “Go come ova hea, sit down!",0
34,"Shealtiel, he Zerubbabel faddah.",You goin go dea cuz wen I was hungry you guys neva give me food.,0
35,"Zerubbabel, he Abiud faddah.","No matta I gotta mahke wit you, no way I goin tell I donno you!” An all da odda guys tell da same ting.",0
36,"Abiud, he Eliakim faddah.",Lissen up!,0
37,"Eliakim, he Azor faddah.","If somebody go aks you guys, ‘Eh, how come you guys stay do dat?’ tell him, ‘Da Boss Jesus need um.’ An right den an dea da guy goin let da donkeys go.” Dass wat da guy dat talk fo God long time befo time tell goin happen,   “Go tell Zion town,  Eh, look!",0
38,"Azor, he Zadok faddah.",Wot!,0
39,"Zadok, he Akim faddah.","Den he tell um, “Go home, now.” An he climb inside one boat, an go Magadan side.",0
40,"Akim, he Eliud faddah.",An get guys dat like beef fo take um ova.,0
41,"Eliud, he Eleazar faddah.","Dey stay hea wit me three days awready, an dey no mo notting fo eat.",0
42,"Eleazar, he Mattan faddah.","Poho fo one guy get eryting inside dis world, but da guy end up cut off from God foeva, an no mo da real kine life inside.",0
43,"Mattan, he Jacob faddah.",Had guys John Da Baptiza Guy was dea teacha.,0
44,"Jacob, he Joseph faddah.","But I tell you guys dis: Wen God make da world, dat time no was lidat.",0
45,"An Joseph, he Mary husban.",Dass right!,0
46,"Mary born Jesus, da one dey call da Christ Guy, da Spesho Guy God Wen Sen.","Joram, he Uzziah faddah.",0
47,"So, da lis fo da faddahs from Abraham till King David, get fourteen faddahs, one afta da odda, an from King David till dey come prisonas Babylon side, get fourteen faddahs, an from wen dey prisonas Babylon side till Jesus, da Christ Guy, get fourteen faddahs.",I neva come fo wipe out da Rules From God.,0
48,"Befo Mary born Jesus, da Spesho Guy God Wen Sen, dis happen.","An all da guys dat stay  In da dark place wea peopo goin mahke,  Da light come fo dem.”   Dass wen Jesus start fo teach da peopo.",0
49,"Mary, she make ready fo marry Joseph.","Me, da main stone.",0
50,"But befo dey marry, da Good An Spesho Spirit make her get hapai.","I wen bring um ova hea by da guys you stay teach, but dey no can make him come good.”  Jesus tell, “You guys!",0
51,"Joseph, da guy dat goin come her husban, he one guy dat do da right ting erytime, an he no like make her come shame in front da peopo.","Outa da mout a da bebes an da small kids,  You let dem tell all da kine good stuff bout you.’ ”  Den he go way from dem, an go Betany, da small town outside Jerusalem, an stay ova dea.",0
52,"So he figga, “I no goin marry her, but I no goin tell nobody.”  But wen he stay figga lidat, right den an dea, wen he stay dreaming, one angel messenja guy from Da One In Charge come by him.","I wen go wea nobody know me, an you guys tell, ‘Eh, come stay oua house.’ I neva had clotheses, an you guys give me clotheses.",0
53,"Da angel guy tell, “Eh Joseph!",Jalike erybody know wea get someting mahke wen da scavenja birds come togedda ova dea.,0
54,You from King David ohana.,"Az Beelzebul, da Devil.",0
55,"No sked take Mary fo come yoa wife, cuz she hapai from God Spirit dat stay good an spesho.",Dass right!,0
56,"She goin born one boy, an you goin name um Jesus, cuz he goin get his peopo outa da kine bad stuff dey do.” All dis happen jalike Isaiah wen tell, da guy dat talk fo God long time befo time,   “Lissen up!",Try tink!,0
57,"One young wahine  Who neva sleep wit nobody,  Goin get hapai.","Den dis happen: one a Jesus guys grab his sword an wack one guy dat work fo da Main Pries Guy, an cut off one ear.",0
58,She goin born one boy.,"But whoeva swea to God, an he tell, “I swea by da gif offering on top da altar,” dat guy gotta do um.’ Wassamatta you guys?!",0
59,"Dey goin name him Emmanuel.”  (“Emmanuel” mean, “God stay hea now wit us guys.”)  Joseph wake up an he do wat da angel guy from Da One In Charge tell him fo do.",Try tink!,0
60,"He take Mary home, fo come his wife.",She get one feva.,0
61,But he neva sleep wit her befo she born her boy.,"Wen da time come, he sen his worka guys fo tell all da peopo he tell fo come, fo come awready.",0
62,An he name him Jesus.,"Da world an da sky goin go way, but da tings I tell no goin go way foeva.",0
63,"Jesus, he born Betlehem town, Judea side.","Yeah, you my Faddah, an dass how you like um happen.”   Den Jesus tell dem, “My Faddah in da sky give me eryting, you know.",0
64,"Herod, he da king dat time.","You guys make big tombs fo da guys dat wen talk fo God, an fix up da tombs fo da guys dat wen erytime do da right ting.",0
65,An you know wat?,"An dey yell, “Wat you like do to us, Jesus?",0
66,Had dese smart guys dat know plenny bout da stars.,"But not suppose to do dat kine, cuz da Rules From God tell dat ony da pries guys can eat um.",0
67,"Dey come Jerusalem town from one far place, from da east side.","Dey Nail Jesus On Top One Cross Fo Kill Um  (Mark :-; Luke :-; John :-; Songs :-, ; :; :; Isaiah :; Sad Song :)  Wen dey stay go out from Jerusalem, dey meet one guy name Simon from Cyrene town.",0
68,"Dey tell, “Wea da boy dat born, da King fo da Jews?","Bumbye, da time goin come wen dey goin take away da guy dat stay get married, an den, dat time, his frenz goin skip food.",0
69,"We wen spock one star come up da east side dat show dat he born awready, an we come hea fo go down in front him an show him plenny respeck.” Wen King Herod hear dat, he come all shook up an sked.",Take um awready.’ Cuz I was hungry an you guys give me food.,0
70,"All da peopo inside Jerusalem, dey all come shook up an sked too.","Da angel guy tell him, “Eh Joseph!",0
71,Den Herod tell all da Main Pries guys an all da teacha guys dat teach da Rules From God to da peopo fo come by him.,"Den she goin come back alive.”  Jesus go wit him, an da guys he stay teach go too.",0
72,"He tell, “Try tell me wea God Spesho Guy goin born.” Dey tell um, “He goin born Betlehem, Judea side.","Den he come real sad inside, an all dat bodda him real plenny.",0
73,Cuz da guy Micah wen tell dis :   “ ‘Eh!,"God in da sky, he give um da right?",0
74,"You Betlehem guys, ova dea Judah side!","You guys goin hear da war dat stay by us guys, an you guys goin hear bout da wars dat stay all ova da odda places.",0
75,All da leadas inside Judah  Tink Betlehem importan.,"If you like live to da max foeva, you know da Rules From God?",0
76,Cuz from dea goin come one leada.,"Da God dat stay alive fo real kine, you his Boy.”  Jesus tell, “Eh, John boy Simon!",0
77,"He goin take kea God peopo,  Da Israel peopo.’ ”  Den Herod tell da guys dat know plenny bout da stars fo come by him.","An I tell dat guy, ‘Go come,’ an he come.",0
78,"Dey come, but dey neva tell nobody.","An Solomon muddah Batsheba, befo dat she Uriah wife.",0
79,He find out from dem wat time da star show up inside da sky.,I come hea now fo split up peopo.,0
80,Den he sen um Betlehem.,"Da good stuff dat guy do, he goin do good stuff hundred times moa, anodda guy sixty times moa, an anodda guy thirty times moa.”  Da Weeds Story  Jesus tell anodda story fo teach da peopo.",0
81,"He tell, “Go!",Try give us some!,0
82,Look all ova da place till you find da boy.,But still had guys dat not shua yet.,0
83,Den come back ova hea an tell me.,"Dey tell, “Poho she throw way her money lidat!",0
84,"Cuz I like go dea fo go down in front him an show him respeck too.”  Afta dey hear wat da king tell um fo do, dey go.",Us guys wen give up eryting we get fo go wit you.,0
85,An you know wat?,"Dey jalike da kids dat stay sit inside da open market place, an yell to dea frenz,  “ ‘Eh!",0
86,"Da same star, da one dey see befo, wen dey stay da east side, dat star go in front dem, an stop right ova da place wea da boy stay.","Dey tell, “He stay talk lidat cuz we neva bring da food.”  Jesus know wat dey stay talking bout, an he tell, “Eh!",0
