,first,second,label
0,"Jesus Christ wey dem born for David and Abraham family, naim story bi dis.",But Pita follow dem go rish di High Priest yard.,0
1,"Abraham born Isaak,  Isaak kon born Jakob.","Den Jesus tell en disciples, “I tell una true word, e go hard for pesin wey get money well-well to enter God Kingdom!",0
2,"Na Jakob born Judah and en brodas,  Judah born Perez and Zera ,  Perez born Hezron and Hezron born Ram,  Ram na Amminadab papa,  Amminadab born Nashon,  Nashon kon born Salmon,  Salmon born Boaz ,  na Boaz bi Obed papa ,  Obed kon born Jesse,  Jesse born David wey bi Israel pipol king.","But if una nor forgive odas, una Papa sef nor go forgive una.”  Tishing About Fasting  “Wen una dey fast, make una nor skwiz una face like pipol wey dey pritend, so dat pipol go si sey dem dey fast.",0
3,"David born Solomon ,  Solomon born Rehoboam,  Rehoboam naim bi Abijah papa  and Abijah kon born Asa,  Asa born Jehoshafat,  Jehoshafat kon born Joram,  Joram born Uzzaya,  Uzzaya born Jotam,  Jotam kon born Ahaz, wey born Hezekaya,  Hezekaya born Manasseh,  Manasseh naim bi Amnon papa  and na Amon born Josaya.","Wen three oklok won rish, Jesus Christ kon shaut, “Eli, Eli, lema Sabaktani?” wey mean, “My God, My God, wetin make yu abandon mi?”  Some of di pipol wey hear di word kon sey, “Dis Man dey koll Elijah make e kom help am.”  At wons, one of dem run go bring sponge kon soak am for wine wey don sawa, put am for stik, den kon give Jesus make e drink.",0
4,Josaya born Jekonaya and en brodas for di time wey dem karry Israel pipol go bi slave for Babilon.,"But na make una for guide unasef against wetin di Farisee and Sadusi pipol dey tish!” Den di disciples kon know sey nor bi bikos of bread make am dey warn dem, but na bikos of di tins wey di Farisee and Sadusi pipol dey tish.",0
5,"Afta dem karry Israel pipol go Babilon,  Jekonaya kon born Shealtiel,  Shealtiel kon bi Zerubabel papa,  Zerubabel born Abiud,  Abiud naim bi Eliakim papa,  Eliakim kon born Azor,  Azor born Zadok,  Zadok naim bi Akim papa,  Akim kon born Eliud,  Eliud born Eleazar wey bi Matan papa,  Matan kon born Jakob,  Jakob born Josef wey bi Mary husband, dis Mary naim bi Jesus Christ mama.","But pesin wey nor get anytin, even di small one wey e get, dem go take am from am.",0
6,"So, from Abraham go rish David time, na fourteen generashon dey and from David time go rish wen dem karry Israel pipol go Babilon, na fourteen too and from dat time go rish wen dem born Jesus Christ, na fourteen generashon e bi.","But wen e hear sey Arkelaus dey rule for Judea, afta Herod en papa don die, Josef kon fear to go der.",0
7,Dem Born Jesus Christ  Dis na how dem take born Jesus Christ.,"Jesus Sey Pita Go Deny Am  Den Jesus kon tell dem, “Dis nite all of una go run leave mi, bikos God word sey,  “ ‘I go kill di shepad  and di sheep go skata.’  But afta God don raiz mi up from deat, I go-go Galilee, go wait for una.”  Pita kon ansa am, “If odas run leave yu, mi, I nor go ever leave yu!”  Jesus kon tell am, “I tell yu di trut, for dis nite, before fawol go do ‘Kukuruku’, yu go deny mi three times.”  Pita still ansa, “Even if I go die, I nor go ever deny yu.” And all di disciples still tok di same tin.",0
8,"Wen Mary en mama don ready to marry Josef, before dem bigin sleep togeda, Mary kon si sey e don get belle with Holy Spirit pawa.","Make una nor karry any money follow body, or karry bag or estra dress, sandal or walkin stik, bikos di pipol wey una go meet, go give una evritin wey una wont.",0
9,"Josef wey won marry am, na pesin wey dey fear God well-well and bikos e nor won disgrace am, e kon tink for en mind sey e nor go marry Mary again.","Di pesin wey won sell mi, don dey kom!”  Dem Arrest Jesus  As Jesus still dey tok, Judas wey bi one of di disciples, kon kom.",0
10,"As e dey tink how e go take leave am, God angel show ensef to am for dream kon tell am sey, “Josef, David pikin, make yu nor fear to marry Mary, bikos di pikin wey dey en belle, na Holy Spirit gi-am.","E go bad for una wey dey tish di law and una Farisee pipol, una wey dey pritend!",0
11,"E go born boy and yu go koll am ‘Jesus,’ bikos e go save en pipol from dia sin.”  Dis tins go happen as God profet tok: “Si!","Make una tell am, ‘Di tisha sey, “My time don rish.",0
12,"Di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am, ‘Emmanuel’ wey mean, ‘God dey with us.’ ”  Wen Josef wake-up, e do wetin God angel tell am.","Bikos of mi, pipol for difren town wey nor know God, go hate una.",0
13,"So, e kon marry Mary, but e nor sleep with am until Mary born di pikin.",Wetin I go sey dis time pipol bi like?,0
14,"Den e kon name am, Jesus.","Bikos of dis, una shidren go judge una.",0
15,"Afta dem born Jesus for Betlehem wey dey Judea, for di time wey Herod bi king, some wise men from east kon go Jerusalem dey ask, “Where di Jew king wey dem just born?","Make una nor give dog tins wey dey holy or trow yor gold give pig, bikos dem go mash am with dia leg, turn face yu, den kon tear yu to pieces.",0
16,"Wi si di star wey tok about am, so wi kom woship am.”  Wetin dem tok so, vex King Herod and Jerusalem pipol.",Abi I nor fit use wetin bi my own as I like?,0
17,"So, di king gada all di priest oga dem and di pipol wey sabi di law kon ask dem, “Where una tink sey dem go for born Christ?” Dem kon ansa, “Na for Betlehem, wey dey Judea, just as Profet Isaya rite sey:  “ ‘Betlehem pipol,  una wey small pass for all di pipol wey dey rule Judah,  na from among una di pesin  wey go lead all my pipol for Israel,  go from kom.’ ”  Den Herod koll di wise men go korna, make dem for tell am wen dem si di star.","So if anybody tell una sey, ‘Look, Christ dey inside bush,’ make una nor go, or ‘Look, e dey inside house,’ make una nor bilive.",0
18,"E kon sey, “Make una go look for di pikin well-well.","Di oda one seize di savants, beat dem anyhow and kill some.",0
19,"Wen una don si am, make una kom tell mi, so dat mi too, go-go woship am.”  Wen di king tok finish, di wise men kon dey go and di star wey dem si before, kon dey lead dem until e stop on-top di house where di pikin dey.","Make Una Nor Worry  “So I tell una, make una nor worry about una life, wetin una go chop or drink and wetin una go wear for body.",0
20,"Wen dem si di star, dem kon dey happy.","Wetin make yu nor sorry for anoda savant like yu, just as I sorry for yu?’ With vexnashon, di king kon give di savant to soja make dem sofa am well-well, until e pay evritin wey e dey whole.",0
21,"Dem enter di house, si di pikin with en mama kon knee down woship am.","I tell una true word, dem don already get dia reward.",0
22,"Den dem open dia bag kon gi-am some gifts wey bi, gold, frankincense and myrrh.",God Kingdom bi like wen ten virgins karry dia lamps go meet man wey won marry wife.,0
23,"Bikos God warn dem for dream make dem nor go back go meet Herod, dem kon pass anoda road go dia house.","Any tree wey nor bear good fruit, dem go kut am down kon trow am inside fire.",0
24,"Josef And En Family Run Go Egypt  Wen di wise men don go, God angel kon tell Josef for dream, “Get up, karry di pikin and en mama run go Egypt, make una stay der until I go tell yu wetin una go do, bikos Herod won kill di pikin.” Dat same nite, Josef wake-up, karry di pikin and en mama kon run go Egypt.","But bikos of wetin won happen, belle nor sweet am.",0
25,Dem stay der till Herod die.,"En disciples kon dey plok di korn chop, bikos dem dey hongry.",0
