,first,second,label
0,"Jesus Christ Family  Jesus Christ wey dem born for David and Abraham family, naim story bi dis.","My dota nor well, bikos demon dey trobol am!”  But Jesus nor tok.",0
1,"Abraham born Isaak,  Isaak kon born Jakob.","But dem nor si anytin to take hold am, even doh many pipol kom lie against am.",0
2,"Na Jakob born Judah and en brodas,  Judah born Perez and Zera ,  Perez born Hezron and Hezron born Ram,  Ram na Amminadab papa,  Amminadab born Nashon,  Nashon kon born Salmon,  Salmon born Boaz ,  na Boaz bi Obed papa ,  Obed kon born Jesse,  Jesse born David wey bi Israel pipol king.","Jesus kon warn dem sey, “Make una nor tell anybody wetin happen so.” But dem kon go evriwhere, bigin tok about di tin wey Jesus do for dem.",0
3,"David born Solomon ,  Solomon born Rehoboam,  Rehoboam naim bi Abijah papa  and Abijah kon born Asa,  Asa born Jehoshafat,  Jehoshafat kon born Joram,  Joram born Uzzaya,  Uzzaya born Jotam,  Jotam kon born Ahaz, wey born Hezekaya,  Hezekaya born Manasseh,  Manasseh naim bi Amnon papa  and na Amon born Josaya.","I tell una true word, dem don already get dia reward.",0
4,Josaya born Jekonaya and en brodas for di time wey dem karry Israel pipol go bi slave for Babilon.,Some seed fall for shuku-shuku.,0
5,"Afta dem karry Israel pipol go Babilon,  Jekonaya kon born Shealtiel,  Shealtiel kon bi Zerubabel papa,  Zerubabel born Abiud,  Abiud naim bi Eliakim papa,  Eliakim kon born Azor,  Azor born Zadok,  Zadok naim bi Akim papa,  Akim kon born Eliud,  Eliud born Eleazar wey bi Matan papa,  Matan kon born Jakob,  Jakob born Josef wey bi Mary husband, dis Mary naim bi Jesus Christ mama.","Bikos anybody wey dey karry swod, na swod go kill-am.",0
6,"So, from Abraham go rish David time, na fourteen generashon dey and from David time go rish wen dem karry Israel pipol go Babilon, na fourteen too and from dat time go rish wen dem born Jesus Christ, na fourteen generashon e bi.",But make una first do di good tins wey God wont and evry oda tin go bi una own.,0
7,Dem Born Jesus Christ  Dis na how dem take born Jesus Christ.,"And if di pipol inside di house welkom una, make una peace stay with dem, but if dem nor welkom una, una peace go kom back to una.",0
8,"Wen Mary en mama don ready to marry Josef, before dem bigin sleep togeda, Mary kon si sey e don get belle with Holy Spirit pawa.","But I tell yu, from naw go, yu go si Man Pikin sidan for God rite hand dey kom down for kloud from heaven.”  Den di High Priest tear en klot kon sey, “E don tok against God!",0
9,"Josef wey won marry am, na pesin wey dey fear God well-well and bikos e nor won disgrace am, e kon tink for en mind sey e nor go marry Mary again.","Di oda one seize di savants, beat dem anyhow and kill some.",0
10,"As e dey tink how e go take leave am, God angel show ensef to am for dream kon tell am sey, “Josef, David pikin, make yu nor fear to marry Mary, bikos di pikin wey dey en belle, na Holy Spirit gi-am.","I tell una true word, pipol for dis generashon go sofa di ponishment for dis tins wey una do!”  God Go Judge Israel  “O!",0
11,"E go born boy and yu go koll am ‘Jesus,’ bikos e go save en pipol from dia sin.”  Dis tins go happen as God profet tok: “Si!","So if yu wont enter heaven, make yu keep God kommandments.”  Di man kon ask, “Wish one for di kommandment?”  Jesus ansa, “Make yu nor kill, nor sleep with pesin wey nor bi yor wife, nor tif, nor tok wetin yor eye nor si, respet yor papa and mama and make yu love yor neighbour as yu love yorsef.”  Di yong man ansa, “I dey obey all dis law with my heart.",0
12,"Di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am, ‘Emmanuel’ wey mean, ‘God dey with us.’ ”  Wen Josef wake-up, e do wetin God angel tell am.","Di demons kon hala, “God Pikin, make yu leave us o-o, abi yu kom sofa us wen time neva rish?”  For where dem dey, plenty pig dey chop near der.",0
13,"So, e kon marry Mary, but e nor sleep with am until Mary born di pikin.","Devil kon tell am, “I go give yu all dis tins, if yu go bow down woship mi.”  Jesus ansa, “Komot here, devil!",0
14,"Den e kon name am, Jesus.","I tell una true word, dem don already get dia reward.",0
15,"Wise Men Kom Salot Jesus  Afta dem born Jesus for Betlehem wey dey Judea, for di time wey Herod bi king, some wise men from east kon go Jerusalem dey ask, “Where di Jew king wey dem just born?","So di savants go di strits kon gada all di pipol wey dem si, both bad and good, kom di marriage and di hall kon full.",0
16,"Wi si di star wey tok about am, so wi kom woship am.”  Wetin dem tok so, vex King Herod and Jerusalem pipol.","Again, God Kingdom bi like net for sea wey katch difren-difren fish.",0
17,"So, di king gada all di priest oga dem and di pipol wey sabi di law kon ask dem, “Where una tink sey dem go for born Christ?” Dem kon ansa, “Na for Betlehem, wey dey Judea, just as Profet Isaya rite sey:  “ ‘Betlehem pipol,  una wey small pass for all di pipol wey dey rule Judah,  na from among una di pesin  wey go lead all my pipol for Israel,  go from kom.’ ”  Den Herod koll di wise men go korna, make dem for tell am wen dem si di star.","Di Yong Man Wey Get Money  One man kom meet Jesus, ask am, “Tisha, wish good tin I go do make I for fit enter God Kingdom?”  Jesus ansa am, “Why yu dey ask mi about wetin good?",0
18,"E kon sey, “Make una go look for di pikin well-well.","Wen dem si di star, dem kon dey happy.",0
19,"Wen una don si am, make una kom tell mi, so dat mi too, go-go woship am.”  Wen di king tok finish, di wise men kon dey go and di star wey dem si before, kon dey lead dem until e stop on-top di house where di pikin dey.",Di Ten Virgins Parabol  “God Kingdom bi like wen ten virgins karry dia lamps go meet man wey won marry wife.,0
20,"Wen dem si di star, dem kon dey happy.","Wahala dey for dis world, bikos of di sin wey pipol dey kommit!",0
21,"Dem enter di house, si di pikin with en mama kon knee down woship am.",Una bi snake!,0
22,"Den dem open dia bag kon gi-am some gifts wey bi, gold, frankincense and myrrh.","One girl wey bi savant kon tell am, “Yorsef bin dey with Jesus Christ wey kom from Galilee.”  But Pita deny am for evribody front kon sey: “I nor know wetin yu dey tok about!”  Wen e komot go outside, anoda girl wey bi savant si am kon tell di pipol wey dey der, “Dis man sef dey with Jesus wey kom from Nazaret.”  Pita kon swear deny again, “I nor know di man!”  Afta sometaim, pipol wey stand for der, kom meet Pita tell am, “Yu really bi one of dem, even di way yu dey tok show sey yu dey with am!”  As e hear dis one, Pita kon dey swear, “I nor know di man!”  Dat same time, fawol kon make, “Kukuruku.” Den Pita kon remember wetin Jesus tell am, “Before fawol go make ‘Kukuruku’, yu go deny mi three times.” So Pita go outside bigin kry.",0
