,first,second,label
0,CHAPTIR ANE.,The Forebears and Nativitie oʼ Christ.,1
1,The Forebears and Nativitie oʼ Christ.,"The buik oʼ the generation oʼ Jesus the Christ, Dauvidʼs son, the son oʼ Abʼram.",1
2,"The buik oʼ the generation oʼ Jesus the Christ, Dauvidʼs son, the son oʼ Abʼram.",Abʼram begat Isaac; and Isaac begat Jaucob; and Jaucob begat Judah and his brethren.,1
3,Abʼram begat Isaac; and Isaac begat Jaucob; and Jaucob begat Judah and his brethren.,And Judah begat Pharez and Zarah oʼ Tamar; and Pharez begat Esrom; and Esrom begat Aram.,1
4,And Judah begat Pharez and Zarah oʼ Tamar; and Pharez begat Esrom; and Esrom begat Aram.,And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon.,1
5,And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon.,"And Salmon begat Boaz, oʼ Rahab; and Boaz begat Obed, oʼ Ruth; and Obed begat Jesse.",1
6,"And Salmon begat Boaz, oʼ Rahab; and Boaz begat Obed, oʼ Ruth; and Obed begat Jesse.","And Jesse begat Dauvid the king; and Dauvid the king begat Solomon, oʼ her wha was Uriahʼs.",1
7,"And Jesse begat Dauvid the king; and Dauvid the king begat Solomon, oʼ her wha was Uriahʼs.",And Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa.,1
8,And Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa.,And Asa begat Jehosaphat; and Jehosaphat begat Jehoram; and Jehoram begat Uzziah.,1
9,And Asa begat Jehosaphat; and Jehosaphat begat Jehoram; and Jehoram begat Uzziah.,And Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah.,1
10,And Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah.,And Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah.,1
11,And Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah.,"And Josiah begat Jehoiachin and his brethren, nar‐haun the time they war carryʼt awaʼ to Babylon.",1
12,"And Josiah begat Jehoiachin and his brethren, nar‐haun the time they war carryʼt awaʼ to Babylon.","And eftir they cam to Babylon, Jehoiachin begat Salathiel; and Salathiel begat Zerubbabel.",1
