,first,second,label
0,CHAPTIR ANE.,"For as iʼ thae days afore the Flude, they war feastin and drinkin, marryin and giean in wedlock, to the vera day Noah gaed intil the ark,  “And kent na till the Flude cam, and soopit them aʼ awa; sae sal be the comin oʼ the Son oʼ Man.",0
1,The Forebears and Nativitie oʼ Christ.,"And frae John Baptistʼs days the Kingdom oʼ Heeven is in the way oʼ bein reived, and the reiverst ak it by main strenʼth!",0
2,"The buik oʼ the generation oʼ Jesus the Christ, Dauvidʼs son, the son oʼ Abʼram.","ye gied me twa talents; see, I hae gotten twa ither talents!’  “His lord said, ‘Weel dune, gude and leal servant!",0
3,Abʼram begat Isaac; and Isaac begat Jaucob; and Jaucob begat Judah and his brethren.,it is guid for us to be here!,0
4,And Judah begat Pharez and Zarah oʼ Tamar; and Pharez begat Esrom; and Esrom begat Aram.,"But Jesus said, “Lat the wee bairns come to me, and dinna forbid them; for sic anes mak up the Kingdom oʼ Heeven!”  And he pat his hauns on them; and gaed awa.",0
5,And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon.,And tent ye!,0
6,"And Salmon begat Boaz, oʼ Rahab; and Boaz begat Obed, oʼ Ruth; and Obed begat Jesse.","And Jesus, whan he was bapteezʼt, gaed up straucht frae the watir, and lo!",0
7,"And Jesse begat Dauvid the king; and Dauvid the king begat Solomon, oʼ her wha was Uriahʼs.","Look weel at the lilies oʼ the lea, hoo they growe; they toil‐na, nor spin;  “And yet say I, that Solomon in aʼ his glorie was‐na buskit braw like ane oʼ thae!",0
8,And Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa.,"And it cam aboot, as he was at meat iʼ the hoose, that behauld!",0
9,And Asa begat Jehosaphat; and Jehosaphat begat Jehoram; and Jehoram begat Uzziah.,"Wae comes till ye, Bethsaida!",0
