,first,second,label
0,"Tha Forefaithers o Jesus tha Messiah  Here ïs tha femlie line o Jesus Christ, tha sinn o Davit an o Abraham:  Abraham wus tha faither o Isaac, Isaac tha faither o Jacob, Jacob tha faither o Judah an hïs brithers.","An thair wus a hale thrang o fowk gethert, tha maist o thaim spreedin thair claes on tha róad, while ithers sneddit brenches aff tha trees, an the' strewed thaim on tha pad fer hïm tae ride ower.",0
1,"An Judah wus tha faither o Perez an Zerah, an thair mither wus Tamar.","Whan haird times an trouble cums acause o God's wurd, he jist gies up thair an then.",0
2,"Perez wus tha faither o Hezron, Hezron tha faither o Ram.","Fer saed she til hirsel, “If A can jist touch hïs cloke, A wull be made weel agane.” Jesus turnt roon an saen hir.",0
3,"Ram wus tha faither o Amminadab, Amminadab tha faither o Nahshon, an Nahshon tha faither o Salmon.","Love fer yer enemies  Yis hae heerd that ït wus saed, ‘Love yer nighber an hait yer enemie.’ But A tell ye: Love yer enemies an pray fer thaim that traits ye ïll, that ye micht be childèr o yer Faither ïn heiven.",0
4,"Salmon wus tha faither o Boaz, an tha mither o Boaz wus Rahab.","Sae, whaiver maks lïttle o thairsels an becums laik thïs wean ïs tha maist impoartin ïn tha Kïngdom o Heiven.",0
5,"Boaz wus tha faither o Obed, an tha mither o Obed wus Ruth.","If oniebodie says ocht tae ye, tell hïm ‘tha Loard haes need o thaim’, an he'll senn thaim richt awa.” Thïs cum aboot fer tae fülfill whut wus spauk throu tha proaphit:  “Say tae tha dochtèr o Zion,  ‘Luk see, yer kïng ïs on hïs wye tae ye,  gentle an ridin on a cuddie,  on a cowlt, tha foal o a cuddie.’ ”  Tha follaers gan awa an daen as the' wur bïd.",0
6,"Obed wus tha faither o Jesse, an Jesse tha faither o Kïng Davit.","Sae he left thaim, an he gan awa agane an prayed tha thurd time, sayin tha same thïng.",0
7,"Davit wus tha faither o Solomon, bi hir that wus yinst tha wife o Uriah.","An oniebodie that says, ‘Ye oul fool!’ wull be rinnin tha risk o hell fire.",0
8,"Solomon wus tha faither o Rehoboam, Rehoboam tha faither o Abijah, Abijah tha faither o Asa, Asa tha faither o Jehoshaphat, Jehoshaphat tha faither o Jehoram, Jehoram tha faither o Uzziah.","The' cum tae ye lukkin laik hairmless sheep, but on tha inside the'r naethin but a paak o wolfs.",0
9,"Uzziah wus tha faither o Jotham, Jotham tha faither o Ahaz, Ahaz tha faither o Hezekiah.","But whaniver that sarvint gaed oot, he cum on yin o hïs fella sarvints that owed hïm twarthie thoosan pun.",0
10,"Hezekiah wus tha faither o Manasseh, Manasseh tha faither o Amon, an Amon tha faither o Josiah.","An whaniver the' heerd Jesus wus passin bye, the' cryed oot, “Loard, Sinn o Davit, tak peetie on iz!” Tha thrang chackt thaim an toul thaim tae be quait, but the' guldèrt aa tha mair, sayin, “Loard, Sinn o Davit, tak peetie on iz!” Whaniver he heerd thaim, Jesus stapt.",0
11,Josiah wus tha faither o Jeconiah an hïs brithers.,"An then Jesus toul thaim, “Thïs verie nicht al o yis wull faa awa on accoont o me, fer as ït's writ: ‘A wull strike tha shepherd, an tha sheep o tha flock wull be scattèrt.’ But eftèr A hae ris frae tha deid, A'll tak tha foreróad o ye ïntae Galilee.” An Petèr spauk oot, “Tha mair tha rest'll faa awa becas o ye, A niver wull!” “A tell ye tha truith,” Jesus saed bak, “thïs verie nicht, afore tha roostèr craas, ye'll say thrie times ower that ye dïnnae ken me.” But Petèr spauk oot agane, “E'en ïf A hae tae dee alang wi ye, A wull niver deny ye!” An aa tha ither follaers vood tha same.",0
12,That wus roon aboot tha time the' wur cairriet aff tae Babylon.,"Thair's naethin covert ower that'll no cum tae licht, ner hïd that'll no be kent.",0
13,"An eftèr the' wur cairriet awa tae Babylon, Jeconiah becum tha faither o Shealtiel, an Shealtiel tha faither o Zerubbabel.","Tha weeds stans fer tha childèr o tha wïckit yin, an tha enemie that sows thaim ïs tha Deil.",0
14,"Zerubbabel wus tha faither o Abiud, Abiud tha faither o Eliakim, an Eliakim tha faither o Azor.",Yit no yin o thaim wull faa tae tha grun wioot yer Faither knowin ït.,0
15,"Azor wus tha faither o Zadok, Zadok tha faither o Akim, an Akim tha faither o Eliud.","Then Jesus saed tae hïm, “Luk here, mine ye dïnnae tell oniebodie.",0
16,"Eliud wus tha faither o Eleazar, Eleazar tha faither o Matthan, an Matthan tha faither o Jacob.","Jesus foretells hïs deith  Frae that time on Jesus stairtit tae mak ït clear tae hïs follaers that he maun gae tae Jerusalem, an he maun suffer monies a thïng at tha hans o tha eldèrs, tha heid preeshts an tha maistèrs o tha Laa.",0
17,"An Jacob wus tha faither o Joseph, an Joseph wus merriet tae Mary.",Sae whut am A tae dae wi Jesus that's caad tha Christ?” Pilate axt.,0
18,"An Mary wus tha mither o Jesus, tha Yin caad Christ.","Luk, yer Hoose haes bin forsook, an noo ït's empie.",0
19,"That made fowerteen genèrations ïn aa frae Abraham tae Davit, fowerteen frae Davit til the' wur cairriet awa tae Babylon, an anither fowerteen frae that tae tha cumin o Christ.","Thair wull be dirths, [plagues] an irthquakes ïn monie pairts.",0
20,"Jesus tha Messiah ïs boarn  An thïs ïs hoo tha birth o Jesus Christ cum aboot: hïs mither Mary wus promist tae Joseph, but afore the' cum thegither, she fun oot she wus wi a wean.","Luk, A hae toul ye aforehan, sae as ye'll know.",0
21,An ït wus bi tha Halie Spïrit.,"Monies a yin'll say tae me on tha Day o Reckonin, ‘Loard, Loard, dïd we no proaphesy ïn yer name, an ïn yer name dïd we no drive oot ïll spïrits an dae a hale lock o mïracles?’ Then A wull tell thaim strecht, ‘A niver knowed ye.",0
22,"Noo Joseph hir husban wus a dacent man an he dïdnae want hir tae be affrontit, sae he thocht tae senn hir awa on tha quait.","If a blin man taks anither blin man bi tha airm, tha baith o thaim wull faa ïntae tha sheuch.” Petèr saed tae Jesus, “Tell iz whut that ither parable wus aboot.” “Ir yous slow on tha uptake tae?” Jesus axt thaim.",0
23,"He wus thïnkin aboot aa thïs, whan lo an behoul, an angel o tha Loard appeart tae hïm ïn a draim an saed, “Joseph, sinn o Davit, dïnnae be feart tae tak Mary fer yer wife, fer tha wean she's cairryin ïs o tha Halie Spïrit.","A paralysed man made bettèr  Jesus climmed ïntae a bóat, sailed ower tha ither side an cum tae hïs ain toon.",0
