,first,second,label
0,"Tha Forefaithers o Jesus tha Messiah  Here ïs tha femlie line o Jesus Christ, tha sinn o Davit an o Abraham:  Abraham wus tha faither o Isaac, Isaac tha faither o Jacob, Jacob tha faither o Judah an hïs brithers.","An Judah wus tha faither o Perez an Zerah, an thair mither wus Tamar.",1
1,"An Judah wus tha faither o Perez an Zerah, an thair mither wus Tamar.","Perez wus tha faither o Hezron, Hezron tha faither o Ram.",1
2,"Perez wus tha faither o Hezron, Hezron tha faither o Ram.","Ram wus tha faither o Amminadab, Amminadab tha faither o Nahshon, an Nahshon tha faither o Salmon.",1
3,"Ram wus tha faither o Amminadab, Amminadab tha faither o Nahshon, an Nahshon tha faither o Salmon.","Salmon wus tha faither o Boaz, an tha mither o Boaz wus Rahab.",1
4,"Salmon wus tha faither o Boaz, an tha mither o Boaz wus Rahab.","Boaz wus tha faither o Obed, an tha mither o Obed wus Ruth.",1
5,"Boaz wus tha faither o Obed, an tha mither o Obed wus Ruth.","Obed wus tha faither o Jesse, an Jesse tha faither o Kïng Davit.",1
6,"Obed wus tha faither o Jesse, an Jesse tha faither o Kïng Davit.","Davit wus tha faither o Solomon, bi hir that wus yinst tha wife o Uriah.",1
7,"Davit wus tha faither o Solomon, bi hir that wus yinst tha wife o Uriah.","Solomon wus tha faither o Rehoboam, Rehoboam tha faither o Abijah, Abijah tha faither o Asa, Asa tha faither o Jehoshaphat, Jehoshaphat tha faither o Jehoram, Jehoram tha faither o Uzziah.",1
8,"Solomon wus tha faither o Rehoboam, Rehoboam tha faither o Abijah, Abijah tha faither o Asa, Asa tha faither o Jehoshaphat, Jehoshaphat tha faither o Jehoram, Jehoram tha faither o Uzziah.","Uzziah wus tha faither o Jotham, Jotham tha faither o Ahaz, Ahaz tha faither o Hezekiah.",1
9,"Uzziah wus tha faither o Jotham, Jotham tha faither o Ahaz, Ahaz tha faither o Hezekiah.","Hezekiah wus tha faither o Manasseh, Manasseh tha faither o Amon, an Amon tha faither o Josiah.",1
10,"Hezekiah wus tha faither o Manasseh, Manasseh tha faither o Amon, an Amon tha faither o Josiah.",Josiah wus tha faither o Jeconiah an hïs brithers.,1
11,Josiah wus tha faither o Jeconiah an hïs brithers.,That wus roon aboot tha time the' wur cairriet aff tae Babylon.,1
12,That wus roon aboot tha time the' wur cairriet aff tae Babylon.,"An eftèr the' wur cairriet awa tae Babylon, Jeconiah becum tha faither o Shealtiel, an Shealtiel tha faither o Zerubbabel.",1
13,"An eftèr the' wur cairriet awa tae Babylon, Jeconiah becum tha faither o Shealtiel, an Shealtiel tha faither o Zerubbabel.","Zerubbabel wus tha faither o Abiud, Abiud tha faither o Eliakim, an Eliakim tha faither o Azor.",1
14,"Zerubbabel wus tha faither o Abiud, Abiud tha faither o Eliakim, an Eliakim tha faither o Azor.","Azor wus tha faither o Zadok, Zadok tha faither o Akim, an Akim tha faither o Eliud.",1
15,"Azor wus tha faither o Zadok, Zadok tha faither o Akim, an Akim tha faither o Eliud.","Eliud wus tha faither o Eleazar, Eleazar tha faither o Matthan, an Matthan tha faither o Jacob.",1
16,"Eliud wus tha faither o Eleazar, Eleazar tha faither o Matthan, an Matthan tha faither o Jacob.","An Jacob wus tha faither o Joseph, an Joseph wus merriet tae Mary.",1
17,"An Jacob wus tha faither o Joseph, an Joseph wus merriet tae Mary.","An Mary wus tha mither o Jesus, tha Yin caad Christ.",1
18,"An Mary wus tha mither o Jesus, tha Yin caad Christ.","That made fowerteen genèrations ïn aa frae Abraham tae Davit, fowerteen frae Davit til the' wur cairriet awa tae Babylon, an anither fowerteen frae that tae tha cumin o Christ.",1
