,book,chapt,version,text,second,label
0,MAT,1,BZJ,dis da di buk a di famili chree a jeezas krais weh kohn dong fahn aybraham ahn king dayvid famili lain,jaykop son dehn dami jooda ahn ih breda dehn,0
1,MAT,1,BZJ,jaykop son dehn dami jooda ahn ih breda dehn,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar,0
2,MAT,1,BZJ,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar,salmon son dami bowaz ahn fi hihn ma dami rayhab,0
3,MAT,1,BZJ,salmon son dami bowaz ahn fi hihn ma dami rayhab,bowaz son dami obed ahn fi hihn ma dami root,0
4,MAT,1,BZJ,bowaz son dami obed ahn fi hihn ma dami root,obed son dami jesi jesi son dami king dayvid,0
5,MAT,1,BZJ,obed son dami jesi jesi son dami king dayvid,dayvid son dami salaman ahn fi hihn ma dami uraiya waif,0
6,MAT,1,BZJ,dayvid son dami salaman ahn fi hihn ma dami uraiya waif,josaiya son dami jekonaiya ahn ih breda dehn,0
7,MAT,1,BZJ,josaiya son dami jekonaiya ahn ih breda dehn,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv,0
8,MAT,1,BZJ,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel,0
9,MAT,1,BZJ,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel,ahn dehn kaal jeezas di krais,0
10,MAT,1,BZJ,ahn dehn kaal jeezas di krais,soh fahn aybraham tu dayvid da foateen jenarayshan,0
11,MAT,1,BZJ,soh fahn aybraham tu dayvid da foateen jenarayshan,den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan,0
12,MAT,1,BZJ,den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan,0
13,MAT,1,BZJ,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan,dis da how jeezas krais mi baan,0
14,MAT,1,BZJ,dis da how jeezas krais mi baan,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant,0
15,MAT,1,BZJ,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa,0
16,MAT,1,BZJ,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri,0
17,MAT,1,BZJ,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri,da baybi weh deh eena ih beli da fahn di hoali spirit,0
18,MAT,1,BZJ,da baybi weh deh eena ih beli da fahn di hoali spirit,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin,0
19,MAT,1,BZJ,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo,0
20,MAT,1,BZJ,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo,ih mi seh wahn verjin wahn ga wahn lee baybi bwai ahn dehn wahn kaal ahn imanyuwel weh meen gaad deh wid wi,0
