,book,chapt,version,text,second,label
0,MAT,1,BZJ,dis da di buk a di famili chree a jeezas krais weh kohn dong fahn aybraham ahn king dayvid famili lain,ahn di tong da wahn faiya tu,1
1,MAT,1,BZJ,jaykop son dehn dami jooda ahn ih breda dehn,ah di tel unu di chroot eniway eena di hoal werl weh dehn preech dis gud nyooz dehn wahn memba shee ahn taak bowt weh shee mi du,1
2,MAT,1,BZJ,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar,di sain seh dis da jeezas di king a di jooz ,1
3,MAT,1,BZJ,salmon son dami bowaz ahn fi hihn ma dami rayhab,ai tank gaad dat ai taak eena tongz moa dahn aala unu,1
4,MAT,1,BZJ,bowaz son dami obed ahn fi hihn ma dami root,chros gaad ahn chros mee tu,1
5,MAT,1,BZJ,obed son dami jesi jesi son dami king dayvid,gaad pik mee fi serv di cherch ahn soh ih sen mi fi goh preech fi hihn hoal mesij tu unu,1
6,MAT,1,BZJ,dayvid son dami salaman ahn fi hihn ma dami uraiya waif,jeezas ansa dehn seh if ai prayz op mai oanself dat noh meen notn,1
7,MAT,1,BZJ,josaiya son dami jekonaiya ahn ih breda dehn,dehn rang bowt sin kaa dehn rifyooz fi bileev eena mee,1
8,MAT,1,BZJ,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv,di hoali spirit shoa wi dat di moas hoali plays neva mi wahn oapm op tu di peepl dehn az lang az dehn stil midi yooz di fos room wid aala di roolz ahn regulayshanz fi wership,1
9,MAT,1,BZJ,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel,kaiyafas neva seh dat rait soh bot laik how hihn dami di hai prees da yaa gaad mi mek hihn seh heda taim dat jeezas mi wahn ded fi di nayshan,1
10,MAT,1,BZJ,ahn dehn kaal jeezas di krais,rong chree aklak wahn aftanoon kaaneelyos geh wahn vizhan fahn gaad,1
11,MAT,1,BZJ,soh fahn aybraham tu dayvid da foateen jenarayshan,now eenak dami sebm jenarayshan afta adam ahn hihn mi prafesai bowt dehn peepl ya,1
12,MAT,1,BZJ,den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan,dis taim now peeta midi fala ahn fahn faar ahn ih gaahn rait eena di hai prees yaad,1
13,MAT,1,BZJ,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan,gaad mi ga beta tingz plan fi wee tingz weh dehn mi wahn benifit fram tu,1
14,MAT,1,BZJ,dis da how jeezas krais mi baan,wen ah stan fronta mi faada ahn ih aynjel dehn ah wahn seh dat dehn bilangz tu mee fi chroo,1
15,MAT,1,BZJ,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant,ih staat tu tel dehn seh dat ih mi wahn hafu sofa lata ting,1
16,MAT,1,BZJ,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa,soh unu mos kanfes unu sin dehn tu wan anada ahn pray fi wan anada soh dat unu wahn ku geh heel,1
17,MAT,1,BZJ,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri,di apasl dehn kaal ahn baanabas weh meen sohnbadi weh inkorij ada peepl hihn sel wahn pees a lan weh ih oan ahn bring di moni kohn gi di apasl dehn,1
18,MAT,1,BZJ,da baybi weh deh eena ih beli da fahn di hoali spirit,bot jeezas dizerv moa aana dahn moaziz jos laik how di persn weh bil wahn hows dizerv moa aana dan di hows ihself,1
19,MAT,1,BZJ,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin,greet aal di bileeva dehn wid wahn hoali kis,1
20,MAT,1,BZJ,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo,dis da di terd taim ah di kohn luk fi unu,1
21,MAT,1,BZJ,ih mi seh wahn verjin wahn ga wahn lee baybi bwai ahn dehn wahn kaal ahn imanyuwel weh meen gaad deh wid wi,now tink bowt di peepl a izrel dehn wen dehn eet di ting dehn weh sakrifais tu gaad aala dehn di tek paat eena di wership da di alta,1
22,MAT,1,BZJ,soh wen joazef wayk op ih du evriting weh di aynjel mi tel ahn fi du,dehn stobant ahn kyaahn laan ataal,1
23,MAT,1,BZJ,ih tek mayri ahn marid tu ahn,den jeezas neva mek nobadi gaahn wid ahn eksep peeta ahn jaymz ahn jaymz breda weh nayhn jan,1
24,MAT,1,BZJ,bot hihn ahn mayri neva sleep tugeda til afta di baybi baan ahn wen di baybi baan joazef naym ahn jeezas,bot ai di tel unu weh di lisn tu mi fi lov yu enimi dehn ahn enibadi weh hayt unu chreet dehn gud,1
25,MAT,2,BZJ,now jeezas mi baan da wahn tong eena judeeya weh nayhn betlihem wen herod dami king,kohn kohn eet di flesh a aal peepldehn wan weh free ahn dehn wan weh da slayv fahn di smaalis tu di bigis,1
26,MAT,2,BZJ,wahn lee wail afta jeezas mi baan sohn waiz man weh stodi di staar dehn kohn fahn sohn konchri weh deh ees fahn jeroosalem ahn dehn midi aks wehpaa di baybi deh weh baan weh da king a di jooish peepl dehn,soh if sohnbadi stay weh fahn du dehn ting weh noh rait dehn wahn bee laik wan a dehn fansi goal dish,1
27,MAT,2,BZJ,wen wi mi deh da fi wee konchri wee si di staar weh dami di sain dat hihn mi wahn baan soh wi kohn kohn wership ahn,az ih du dat di breez stap bloa ahn evriting geh kyaam kyaam,1
28,MAT,2,BZJ,wen king herod yehr dis hihn ahn aala di teecha dehn a di laa ahn evribadi da jeroosalem staat tu wori fi chroo chroo,lee layta sohnbadi els si ahn ahn seh yoo da wan a jeezas disaipl dehn tu,1
29,MAT,2,BZJ,ih kaal aala di cheef prees dehn ahn aala di teecha dehn a di laa ahn aks dehn seh da wehpaa dis krais fi baan,soh da hoo dis man weh ai di yehr dehnya schraynj stoari bowt now,1
30,MAT,2,BZJ,dehn ansa ahn seh da betlihem eena judeeya,pahn di en too peepl kohn fronta di kongsl ahn seh dis man seh ai ku brok dong gaad templ ahn bil it bak eena chree dayz,1
31,MAT,2,BZJ,dis da weh di prafit dehn mi rait fahn lang taim ahn yoo betlihem tong weh deh eena judeeya yoo da noh no smaal taim tong monks di big taim tong dehn da judeeya kaa wahn king wahn kohn fahn owta yu ahn da king wahn leed mi peepl a izrel laik wahn shepad,bot jeezas heel evri wan a dehn,1
32,MAT,2,BZJ,soh herod gaan ahn hoal wahn seekrit meetn wid di waiz man dehn fi chrai fain owt fahn dehn weh taim dehn mi fos si di staar,bot wen yu get oal yu wahn schrech owt yu han dehn ahn den sohnbadi els wahn put aan yu kloaz fi yu ahn kehr yu weh yu noh waahn goh,1
33,MAT,2,BZJ,den ih sen dehn da betlihem ahn dis da weh ih tel dehn fi du unu goh ahn luk fi di pikni til unu fain ahn,den unu fi han da man oava tu saytan eevn if ih badi geh dischrai soh dat ih spirit ku bee sayv pahn di day wen di laad wahn kohn bak,1
34,MAT,2,BZJ,wen unu fain ahn unu mek ah noa wehpaa ih deh soh dat ai ku wership ahn tu,unu noh fi seh notn hatful weh noh wahn du nobadi no gud,1
35,MAT,2,BZJ,afta herod don taak tu dehn dehn gaan,now di pramis weh gaad mi mek dat wi ku geh da res weh ih mi aafa wi stil gud soh wi mos kyaaful dat non a unu noh mis owt pan it,1
36,MAT,2,BZJ,pahn di way dehn si di staar agen da mi di sayhn staar weh dehn mi si fos wichpaa dehn mi kohn fram,ah noh ga no way weh big nof fi hoal aala mi krap,1
37,MAT,2,BZJ,ahn di staar leed dehn di hoal way til ih stap rait oava wehpaa di baybi mi deh,soh di atariti dehn in chaaj mek jayson ahn di ada bileeva dehn pay bayl ahn den dehn let dehn goh,1
38,MAT,2,BZJ,wel dehn mi oanli glad fi si di staar,obay dehn wan weh deh oava unu ahn put unuself anda dehn kaa da dehn di wach oava unu soal ahn dehn haftu ansa tu gaad,1
39,MAT,2,BZJ,dehn gaan eena di hows ahn si di baybi wid ih ma weh dami mayri,gaad mek evriting rait fi evribadi if dehn oanli bileev eena krais,1
40,MAT,2,BZJ,den dehn neel dong ahn wership di baybi,lang laas wahn king weh neva noa joazef ataal midi rool da eejip,1
