,book,chapt,version,text,second,label,identifier
0,MAT,1,BZJ,dis da di buk a di famili chree a jeezas krais weh kohn dong fahn aybraham ahn king dayvid famili lain,jaykop son dehn dami jooda ahn ih breda dehn,0,MAT.1
1,MAT,1,BZJ,jaykop son dehn dami jooda ahn ih breda dehn,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar,0,MAT.1
2,MAT,1,BZJ,jooda son dehn dami payres ahn zera ahn fi dehn ma dami taymar,salmon son dami bowaz ahn fi hihn ma dami rayhab,0,MAT.1
3,MAT,1,BZJ,salmon son dami bowaz ahn fi hihn ma dami rayhab,bowaz son dami obed ahn fi hihn ma dami root,0,MAT.1
4,MAT,1,BZJ,bowaz son dami obed ahn fi hihn ma dami root,obed son dami jesi jesi son dami king dayvid,0,MAT.1
5,MAT,1,BZJ,obed son dami jesi jesi son dami king dayvid,dayvid son dami salaman ahn fi hihn ma dami uraiya waif,0,MAT.1
6,MAT,1,BZJ,dayvid son dami salaman ahn fi hihn ma dami uraiya waif,josaiya son dami jekonaiya ahn ih breda dehn,0,MAT.1
7,MAT,1,BZJ,josaiya son dami jekonaiya ahn ih breda dehn,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv,0,MAT.1
8,MAT,1,BZJ,dehn mi baan rong di taim wen di peepl dehn fahn babilan mi kyapcha dehn wan fahn izrel ahn ton dehn intu slayv,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel,0,MAT.1
9,MAT,1,BZJ,now afta dehn kyapcha dehn jekonaiya son dami sheyaltyel,ahn dehn kaal jeezas di krais,0,MAT.1
10,MAT,1,BZJ,ahn dehn kaal jeezas di krais,soh dis da how aala wi reech shoa sayf sayfwan,1,MAT.1
11,MAT,1,BZJ,soh fahn aybraham tu dayvid da foateen jenarayshan,memba seh dat da di laad krais yu reeli di serv ahn da hihn wahn riwaad yu,1,MAT.1
12,MAT,1,BZJ,den fahn dayvid tu di taim wen izrel mi ton slayv da babilan da foateen jenarayshan,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan,0,MAT.1
13,MAT,1,BZJ,ahn fahn da taim tu di taim a jeezas da wahn nada foateen jenarayshan,dis da how jeezas krais mi baan,0,MAT.1
14,MAT,1,BZJ,dis da how jeezas krais mi baan,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant,0,MAT.1
15,MAT,1,BZJ,ih ma mayri mi sopoas tu marid tu joazef bot bifoa dehn ku geh marid di hoali spirit mek ih geh pregnant,den jeezas seh ahn unu stil noh andastan,1,MAT.1
16,MAT,1,BZJ,now joazef weh mayri mi fi marid tu dami wahn raichos man ahn ih neva waahn shaym mayri fronta evribadi soh ih mek op ih main fi lef ahn widowt nobadi noa,den ih bring dehn owta di sel ahn aks dehn seh mista da weh ah ku du fi geh sayv,1,MAT.1
17,MAT,1,BZJ,now wail joazef stil midi tink bowt it wahn aynjel fahn di laad kohn tu ahn eena wahn jreem ahn tel ahn seh joazef yoo weh kohn fahn dayvid famili lain noh frayd fi marid tu mayri,da baybi weh deh eena ih beli da fahn di hoali spirit,0,MAT.1
18,MAT,1,BZJ,da baybi weh deh eena ih beli da fahn di hoali spirit,dyaa misa tiyofilos eena di fos leta weh ah mi rait tu yu ah mi tel yu bowt aala di ting dehn weh jeezas mi du ahn weh ih mi teech fahn di taim ih mi staat ih werk til di day ih gaan op da hevn,1,MAT.1
19,MAT,1,BZJ,shee wahn ga wahn son ahn yu fi naym ahn jeezas weh meen gaad sayv kaa da hihn wahn sayv ih peepl dehn fahn dehn sin,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo,0,MAT.1
20,MAT,1,BZJ,aala dis hapm soh dat weh gaad mi seh fahn lang taim chroo ih prafit dehn kuda mi kohn chroo,ih mi seh wahn verjin wahn ga wahn lee baybi bwai ahn dehn wahn kaal ahn imanyuwel weh meen gaad deh wid wi,0,MAT.1
21,MAT,1,BZJ,ih mi seh wahn verjin wahn ga wahn lee baybi bwai ahn dehn wahn kaal ahn imanyuwel weh meen gaad deh wid wi,soh den nobadi shuda boas bowt weh peepl ku du kaa notn noh deh weh noh bilangz tu unu,1,MAT.1
22,MAT,1,BZJ,soh wen joazef wayk op ih du evriting weh di aynjel mi tel ahn fi du,ih tek mayri ahn marid tu ahn,0,MAT.1
23,MAT,1,BZJ,ih tek mayri ahn marid tu ahn,ahn unu tu weh deh da roam deh monks dehn wan weh gaad kaal fi bilangz tu jeezas krais,1,MAT.1
24,MAT,1,BZJ,bot hihn ahn mayri neva sleep tugeda til afta di baybi baan ahn wen di baybi baan joazef naym ahn jeezas,now jeezas mi baan da wahn tong eena judeeya weh nayhn betlihem wen herod dami king,0,MAT.1
25,MAT,2,BZJ,now jeezas mi baan da wahn tong eena judeeya weh nayhn betlihem wen herod dami king,wahn lee wail afta jeezas mi baan sohn waiz man weh stodi di staar dehn kohn fahn sohn konchri weh deh ees fahn jeroosalem ahn dehn midi aks wehpaa di baybi deh weh baan weh da king a di jooish peepl dehn,0,MAT.2
26,MAT,2,BZJ,wahn lee wail afta jeezas mi baan sohn waiz man weh stodi di staar dehn kohn fahn sohn konchri weh deh ees fahn jeroosalem ahn dehn midi aks wehpaa di baybi deh weh baan weh da king a di jooish peepl dehn,wen wi mi deh da fi wee konchri wee si di staar weh dami di sain dat hihn mi wahn baan soh wi kohn kohn wership ahn,0,MAT.2
27,MAT,2,BZJ,wen wi mi deh da fi wee konchri wee si di staar weh dami di sain dat hihn mi wahn baan soh wi kohn kohn wership ahn,afta dat jeezas ahn ih disaipl dehn gaahn da wahn neks spat eena judeeya,1,MAT.2
28,MAT,2,BZJ,wen king herod yehr dis hihn ahn aala di teecha dehn a di laa ahn evribadi da jeroosalem staat tu wori fi chroo chroo,ih kaal aala di cheef prees dehn ahn aala di teecha dehn a di laa ahn aks dehn seh da wehpaa dis krais fi baan,0,MAT.2
29,MAT,2,BZJ,ih kaal aala di cheef prees dehn ahn aala di teecha dehn a di laa ahn aks dehn seh da wehpaa dis krais fi baan,ih neva ways no taim fi staat preech eena di jooish meetn plays dehn dat jeezas da di son a gaad,1,MAT.2
30,MAT,2,BZJ,dehn ansa ahn seh da betlihem eena judeeya,dis da weh di prafit dehn mi rait fahn lang taim ahn yoo betlihem tong weh deh eena judeeya yoo da noh no smaal taim tong monks di big taim tong dehn da judeeya kaa wahn king wahn kohn fahn owta yu ahn da king wahn leed mi peepl a izrel laik wahn shepad,0,MAT.2
31,MAT,2,BZJ,dis da weh di prafit dehn mi rait fahn lang taim ahn yoo betlihem tong weh deh eena judeeya yoo da noh no smaal taim tong monks di big taim tong dehn da judeeya kaa wahn king wahn kohn fahn owta yu ahn da king wahn leed mi peepl a izrel laik wahn shepad,soh herod gaan ahn hoal wahn seekrit meetn wid di waiz man dehn fi chrai fain owt fahn dehn weh taim dehn mi fos si di staar,0,MAT.2
32,MAT,2,BZJ,soh herod gaan ahn hoal wahn seekrit meetn wid di waiz man dehn fi chrai fain owt fahn dehn weh taim dehn mi fos si di staar,den ih sen dehn da betlihem ahn dis da weh ih tel dehn fi du unu goh ahn luk fi di pikni til unu fain ahn,0,MAT.2
33,MAT,2,BZJ,den ih sen dehn da betlihem ahn dis da weh ih tel dehn fi du unu goh ahn luk fi di pikni til unu fain ahn,dehn ting weh wi ku si noh laas lang bot dehn ting weh wi kyaahn si wahn laas fareva ahn eva,1,MAT.2
34,MAT,2,BZJ,wen unu fain ahn unu mek ah noa wehpaa ih deh soh dat ai ku wership ahn tu,afta herod don taak tu dehn dehn gaan,0,MAT.2
35,MAT,2,BZJ,afta herod don taak tu dehn dehn gaan,pahn di way dehn si di staar agen da mi di sayhn staar weh dehn mi si fos wichpaa dehn mi kohn fram,0,MAT.2
36,MAT,2,BZJ,pahn di way dehn si di staar agen da mi di sayhn staar weh dehn mi si fos wichpaa dehn mi kohn fram,noh mek nobadi fool unu nobadi kyaahn tek gaad mek papishoh,1,MAT.2
37,MAT,2,BZJ,ahn di staar leed dehn di hoal way til ih stap rait oava wehpaa di baybi mi deh,unu mos stap geh beks eezi,1,MAT.2
38,MAT,2,BZJ,wel dehn mi oanli glad fi si di staar,di peepl dehn weh bilangz tu dis werl ga badi jos laik adam hoofa badi mi mek owta dos,1,MAT.2
39,MAT,2,BZJ,dehn gaan eena di hows ahn si di baybi wid ih ma weh dami mayri,yu shoa mi seh yu ku handl lee bit a ting soh ah wahn put yu in chaaj a lat moa ting,1,MAT.2
40,MAT,2,BZJ,den dehn neel dong ahn wership di baybi,unu noh fi ga notn fi du wid notn weh doti,1,MAT.2
41,MAT,2,BZJ,afta dat dehn oapm dehn ekspensiv gif ahn gi ahn goal ahn frankinsens ahn mer,paal ahn sailas gaahn da derbi fos ahn den da lischra wichpaa dehn meet wahn bileeva weh nayhn timoti,1,MAT.2
42,MAT,2,BZJ,afta dat dehn gaahn bak da dehn oan konchri bai wahn nada rowt kaa gaad waan dehn eena wahn jreem noh fi goh bak tu herod,afta dehn don gaan wahn aynjel fahn di laad taak tu joazef eena wahn jreem ahn tel ahn seh get op tek di pikni ahn ih ma ahn goh da eejip,0,MAT.2
43,MAT,2,BZJ,afta dehn don gaan wahn aynjel fahn di laad taak tu joazef eena wahn jreem ahn tel ahn seh get op tek di pikni ahn ih ma ahn goh da eejip,soh how yoo ku seh dat dehn wahn lif op di son a man,1,MAT.2
44,MAT,2,BZJ,stay deh til ah tel yu wen fi lef kaa herod di luk fi di pikni fi kil ahn,soh joazef get op joorin di nait ahn kehr ih waif ahn pikni ahn ih gaahn da eejip ahn ih stay deh til herod ded,0,MAT.2
45,MAT,2,BZJ,soh joazef get op joorin di nait ahn kehr ih waif ahn pikni ahn ih gaahn da eejip ahn ih stay deh til herod ded,soh weh di prafit mi seh kohn chroo,0,MAT.2
46,MAT,2,BZJ,soh weh di prafit mi seh kohn chroo,den afta ih moov saal ih put dayvid az dehn king,1,MAT.2
47,MAT,2,BZJ,ih mi seh ah kaal mi son owta eejip,wen herod fain owt dat di waiz man dehn mi chrik ahn ih mi beks no miks,0,MAT.2
48,MAT,2,BZJ,wen herod fain owt dat di waiz man dehn mi chrik ahn ih mi beks no miks,ah pray dat gaad gi unu lata mersi ahn pees ahn lov,1,MAT.2
49,MAT,2,BZJ,ih gi aadaz fi kil aala di lee bwai pikni dehn weh mi too yaaz ahn anda weh mi liv da betlihem ahn aal di ada tong dehn weh mi deh rong deh,ih du dat kaa di waiz man dehn mi tel ahn dat da mi too yaaz sins dehn mi fos si di staar,0,MAT.2
