,book,chapt,version,text,second,label
0,MAT,1,EAB,abrahamen eta daviden ondorengo den jesus mesiasen arbasoen zerrenda abrahamek isaak sortu zuen isaakek jakob jakobek juda eta honen anaiak judak fares eta zara tamarrengandik faresek esrom esromek aram aramek aminadab aminadabek naason naasonek salmon salmonek booz rahabengandik boozek obed rutengandik obedek jese eta jesek david erregea,davidek salomon sortu zuen uriasen emazte izanarengandik salomonek roboam roboamek abia abiak asaf asafek josafat josafatek joram joramek ozias oziasek joatam joatamek akaz akazek ezekias ezekiasek manases manasesek amon amonek josias eta josiasek jekonias eta honen anaiak israeldarrak babiloniara erbesteratu zituzten garaian,0
1,MAT,1,EAB,davidek salomon sortu zuen uriasen emazte izanarengandik salomonek roboam roboamek abia abiak asaf asafek josafat josafatek joram joramek ozias oziasek joatam joatamek akaz akazek ezekias ezekiasek manases manasesek amon amonek josias eta josiasek jekonias eta honen anaiak israeldarrak babiloniara erbesteratu zituzten garaian,babiloniako erbestealdiaren ondoren jekoniasek salatiel sortu zuen salatielek zorobabel zorobabelek abiud abiudek eliakim eliakimek azor azorrek sadok sadokek akim akimek eliud eliudek eleazar eleazarrek matan matanek jakob eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana,0
2,MAT,1,EAB,babiloniako erbestealdiaren ondoren jekoniasek salatiel sortu zuen salatielek zorobabel zorobabelek abiud abiudek eliakim eliakimek azor azorrek sadok sadokek akim akimek eliud eliudek eleazar eleazarrek matan matanek jakob eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana,hona beraz zenbat gizaldi guztira abrahamengandik davidengana hamalau davidengandik babiloniako erbestealdira beste hamalau eta babiloniako erbestealditik mesiasengana beste hamalau,0
3,MAT,1,EAB,hona beraz zenbat gizaldi guztira abrahamengandik davidengana hamalau davidengandik babiloniako erbestealdira beste hamalau eta babiloniako erbestealditik mesiasengana beste hamalau,jesus mesiasen sortzea honela gertatu zen maria jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez,0
4,MAT,1,EAB,jesus mesiasen sortzea honela gertatu zen maria jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen,0
5,MAT,1,EAB,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen,asmo horrekin zebilela jaunaren aingerua agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator,0
6,MAT,1,EAB,asmo horrekin zebilela jaunaren aingerua agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator,semea izango du eta zuk jesus ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik,0
7,MAT,1,EAB,semea izango du eta zuk jesus ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik,hau guztia jaunak profetaren bidez esana bete zedin gertatu zen hara birjinak haurdun gertatu eta semea izango du eta emmanuel jarriko dio izena emmanuel izenak jainkoa gurekin esan nahi du,0
8,MAT,1,EAB,hau guztia jaunak profetaren bidez esana bete zedin gertatu zen hara birjinak haurdun gertatu eta semea izango du eta emmanuel jarriko dio izena emmanuel izenak jainkoa gurekin esan nahi du,esnatzean jaunaren aingeruak agindua egin zuen josek eta maria emaztetzat hartu zuen,0
9,MAT,1,EAB,esnatzean jaunaren aingeruak agindua egin zuen josek eta maria emaztetzat hartu zuen,eta ez zuten ezkontzaharremanik izan mariak semea izan zuen arte eta josek jesus izena ipini zion,0
