,book,chapt,version,text,second,label,identifier
0,MAT,1,EAB,abrahamen eta daviden ondorengo den jesus mesiasen arbasoen zerrenda abrahamek isaak sortu zuen isaakek jakob jakobek juda eta honen anaiak judak fares eta zara tamarrengandik faresek esrom esromek aram aramek aminadab aminadabek naason naasonek salmon salmonek booz rahabengandik boozek obed rutengandik obedek jese eta jesek david erregea,hiru bider gertatu zen hori eta ondoren dena zerura jaso zuten,1,MAT.1
1,MAT,1,EAB,davidek salomon sortu zuen uriasen emazte izanarengandik salomonek roboam roboamek abia abiak asaf asafek josafat josafatek joram joramek ozias oziasek joatam joatamek akaz akazek ezekias ezekiasek manases manasesek amon amonek josias eta josiasek jekonias eta honen anaiak israeldarrak babiloniara erbesteratu zituzten garaian,babiloniako erbestealdiaren ondoren jekoniasek salatiel sortu zuen salatielek zorobabel zorobabelek abiud abiudek eliakim eliakimek azor azorrek sadok sadokek akim akimek eliud eliudek eleazar eleazarrek matan matanek jakob eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana,0,MAT.1
2,MAT,1,EAB,babiloniako erbestealdiaren ondoren jekoniasek salatiel sortu zuen salatielek zorobabel zorobabelek abiud abiudek eliakim eliakimek azor azorrek sadok sadokek akim akimek eliud eliudek eleazar eleazarrek matan matanek jakob eta jakobek jose mariaren senarra eta mariagandik jaio zen jesus mesias deritzana,goraintziak nire ahaide eta kartzelalagun androniko eta juniari apostoluen artean ospetsuak dira eta kristorengan nik baino lehen sinetsi zutenak,1,MAT.1
3,MAT,1,EAB,hona beraz zenbat gizaldi guztira abrahamengandik davidengana hamalau davidengandik babiloniako erbestealdira beste hamalau eta babiloniako erbestealditik mesiasengana beste hamalau,jesus mesiasen sortzea honela gertatu zen maria jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez,0,MAT.1
4,MAT,1,EAB,jesus mesiasen sortzea honela gertatu zen maria jesusen ama joserekin ezkontzeko hitzemana zegoen eta elkarrekin bizitzen hasi aurretik haurdun gertatu zen espiritu santuaren egitez,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen,0,MAT.1
5,MAT,1,EAB,jose mariaren senarra gizon zuzena zen ez zuen hura salatu nahi eta isilean uztea erabaki zuen,asmo horrekin zebilela jaunaren aingerua agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator,0,MAT.1
6,MAT,1,EAB,asmo horrekin zebilela jaunaren aingerua agertu zitzaion ametsetan eta esan zion jose daviden ondorengoa ez izan beldurrik maria zeure emaztetzat hartzeko harengan sortua espiritu santuarengandik baitator,semea izango du eta zuk jesus ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik,0,MAT.1
7,MAT,1,EAB,semea izango du eta zuk jesus ezarriko diozu izena berak askatuko baitu bere herria bekatuetatik,jesusek haien gogoetak igarririk besoelbarriari esan zion jaiki eta atera zaitez erdira,1,MAT.1
8,MAT,1,EAB,hau guztia jaunak profetaren bidez esana bete zedin gertatu zen hara birjinak haurdun gertatu eta semea izango du eta emmanuel jarriko dio izena emmanuel izenak jainkoa gurekin esan nahi du,jesusek saduzearrak hitzik gabe utzi zituela jakitean fariseuak elkarrekin bildu ziren eta beraietako legegizon batek galdetu zion jesusi azpikeriaz maisu zein da legeko agindurik nagusiena,1,MAT.1
9,MAT,1,EAB,esnatzean jaunaren aingeruak agindua egin zuen josek eta maria emaztetzat hartu zuen,eta ez zuten ezkontzaharremanik izan mariak semea izan zuen arte eta josek jesus izena ipini zion,0,MAT.1
10,MAT,1,EAB,eta ez zuten ezkontzaharremanik izan mariak semea izan zuen arte eta josek jesus izena ipini zion,jesus judeako belen herrian jaio zen herodes erregearen garaian,0,MAT.1
11,MAT,2,EAB,jesus judeako belen herrian jaio zen herodes erregearen garaian,badakigu legeak dioen guztia legepean daudenentzat esaten duela denen ahoak itxi daitezen eta mundu osoa jainkoaren aurrean errudun ager dadin,1,MAT.2
12,MAT,2,EAB,jesus jaio ondoren sortaldeko jakintsu batzuk azaldu ziren jerusalemen galdezka non da juduen errege jaioberria,lehenik bere anaia simonekin egin zuen topo eta esan zion mesias aurkitu diagu mesiasek kristo hau da gantzutu esan nahi du,1,MAT.2
13,MAT,2,EAB,haren izarra ikusi dugu sortaldean eta gurtzera gatoz,berri honekin larritu egin zen herodes erregea baita jerusalem hiri osoa ere,0,MAT.2
14,MAT,2,EAB,berri honekin larritu egin zen herodes erregea baita jerusalem hiri osoa ere,gero zoazte bizkor ikasleei esatera hildakoen artetik piztua da eta zuen aurretik joango da galileara han ikusiko duzue,1,MAT.2
15,MAT,2,EAB,orduan herriko apaizburu eta legemaisu guztiak bildu eta mesias non jaiotzekoa zen galdetu zien,haiek erantzun zioten judeako belenen honela idatzi baitzuen profetak eta zu judako belen ez zara ez judako hirietan txikiena zuregandik aterako baita buruzagia israel nire herria gobernatuko duena orduan herodesek jakintsuak isilean deiturik izarra noiz agertu zitzaien jakin zuen zehatz,0,MAT.2
16,MAT,2,EAB,haiek erantzun zioten judeako belenen honela idatzi baitzuen profetak eta zu judako belen ez zara ez judako hirietan txikiena zuregandik aterako baita buruzagia israel nire herria gobernatuko duena orduan herodesek jakintsuak isilean deiturik izarra noiz agertu zitzaien jakin zuen zehatz,gero belenera bidali zituen esanez zoazte eta jakin xuxen haurraren berri eta aurkitu ondoren adierazi niri neu ere gurtzera joan nadin,0,MAT.2
17,MAT,2,EAB,gero belenera bidali zituen esanez zoazte eta jakin xuxen haurraren berri eta aurkitu ondoren adierazi niri neu ere gurtzera joan nadin,zuen artean handien izan nahi duena izan bedi zuen zerbitzari,1,MAT.2
18,MAT,2,EAB,bidean sortaldean ikusitako izarra agertu zitzaien eta biziki poztu ziren,orduan piztia ikusi nuen eta munduko erregeak beren gudarosteekin zaldizkoaren eta honen gudarostearen aurka gudu egiteko bilduak,1,MAT.2
19,MAT,2,EAB,izarra aurretik joan zitzaien haurra zegoen toki gainean gelditu arte,etxean sarturik haurra ikusi zuten maria bere amarekin eta ahuspezturik gurtu ondoren beren kutxatilak zabalduz eskuerakutsiak eskaini zizkioten urrea intsentsua eta mirra gero herodesengana ez itzultzeko oharra ametsetan harturik beste bide batetik itzuli ziren beren herrialdera,0,MAT.2
20,MAT,2,EAB,etxean sarturik haurra ikusi zuten maria bere amarekin eta ahuspezturik gurtu ondoren beren kutxatilak zabalduz eskuerakutsiak eskaini zizkioten urrea intsentsua eta mirra gero herodesengana ez itzultzeko oharra ametsetan harturik beste bide batetik itzuli ziren beren herrialdera,deabruak simon iskarioteren seme judasi sartua zion buruan jesus saltzeko asmoa,1,MAT.2
21,MAT,2,EAB,jakintsuek alde egin ondoren jaunaren aingerua agertu zitzaion ametsetan joseri eta esan zion jaiki hartu haurra eta ama eta zoaz ihesi egiptora,egon han nik esan arte haurraren bila ibiliko baita herodes hilarazteko,0,MAT.2
22,MAT,2,EAB,egon han nik esan arte haurraren bila ibiliko baita herodes hilarazteko,hartu zituen beraz josek haurra eta ama gauez eta egiptora alde egin zuen,0,MAT.2
23,MAT,2,EAB,hartu zituen beraz josek haurra eta ama gauez eta egiptora alde egin zuen,nik senideok ezin izan nizuen hitz egin espiritua dutenei bezala pertsona heldugabeei bezala baizik kristaumailan umetxo direnei bezala,1,MAT.2
24,MAT,2,EAB,horrela jaunak profetaren bidez esana bete zen egiptotik etortzeko dei egin nion neure semeari,lauso bitez haien begiak ez dezaten ikus makur bekie bizkarra betiko,1,MAT.2
25,MAT,2,EAB,herodes erregea jakintsuek engainatu egin zutela oharturik biziki haserretu zen eta belenen eta inguruetan bi urtez azpiko haur guztiak hiltzeko agindu zuen jakintsuek adierazitako denbora kontuan harturik,hara atean nauzu deika norbaitek nire ahotsa entzuten badu eta atea irekitzen harenean sartuko naiz eta elkarrekin afalduko dugu,1,MAT.2
