,book,chapt,version,text,second,label
0,MAT,1,GUL,dis yah de people wa dey write down say been kin ta jedus christ fom way back ta abraham time,de law dey so nobody kin say e ain know wa right fa do an so all de people een de whole wol gwine haffa ansa ta god fa wa dey done,1
1,MAT,1,GUL,jedus come out fom king david fambly an king david come out fom abraham fambly,oona done yeh bout stephanas an e fambly,1
2,MAT,1,GUL,abraham been de fada ob isaac,jedus say well den oona mus gii caesar dat wa blongst ta caesar an gii god wa blongst ta god,1
3,MAT,1,GUL,isaac been de fada ob jacob,stay way fom foolish taak wa ain got nottin fa do wid god cause dat jes gwine mek people stop fa folla god mo an mo,1
4,MAT,1,GUL,jacob been de fada ob judah an e broda dem,an e tell um say jes one ting lef wa ya ain done yet,1
5,MAT,1,GUL,judah been de fada ob perez an zerah an dey modda been tamar,cause wen e still stanop scronga fa god atta dat trial god gwine gim de true life wa ain gwine neba end,1
6,MAT,1,GUL,perez been de fada ob hezron,an dem tority gwine kill some ob oona,1
7,MAT,1,GUL,hezron been de fada ob ram,dey name um op til dey been full op fa true,1
8,MAT,1,GUL,ram been de fada ob amminadab,bot oona done ton um eenta place weh de tief dem da hide wen de jew priest leada dem an de jew law teacha dem yeh wa jedus beena say dey staat fa look fa way fa kill um,1
9,MAT,1,GUL,amminadab been de fada ob nahshon,bot ef oona da do all wa de law say dat ain tall de same as wen a poson da trus een god,1
10,MAT,1,GUL,nahshon been de fada ob salmon,a ain wot nuff eben fa loose de shoe dat e weah pon e foot bredren oona wa abraham chullun chullun an oona mongst we wa ain no jew bot da woshup god listen op dis message bout sabation god sen um fa we de people dat lib een jerusalem an dey leada dem ain been know who dat jedus da,1
11,MAT,1,GUL,salmon been de fada ob boaz an e modda been rahab,god ain sen e son eenta de wol fa condemn um,1
12,MAT,1,GUL,boaz been de fada ob obed an e modda been ruth,cause ef e do dat dat wine gwine buss open de ole bottle,1
13,MAT,1,GUL,obed been de fada ob jesse,dey say weh dis man git dis sense an de powa fa do dem miracle yah,1
14,MAT,1,GUL,jesse been de fada ob king david,cause de jew dem wa lib een dem place dey all been know dat timothy fada a greek man,1
15,MAT,1,GUL,david been de fada ob solomon an e modda been uriah wife,now dat oona know dat oona gwine be heppy fa true ef oona do dat jes like a done tell oona fa do,1
16,MAT,1,GUL,solomon been de fada ob rehoboam,e been a man wa wahn fa please god,1
17,MAT,1,GUL,rehoboam been de fada ob abijah,so den tell we who dat wa knock ya now den peter beena seddown outside een de head man yaad,1
18,MAT,1,GUL,abijah been de fada ob asa,dey peter see heapa people all geda togeda,1
19,MAT,1,GUL,asa been de fada ob jehoshaphat,bot dey write een god book say sin da rule all de wol so dat god gwine gii dem wa trus een jedus christ wa e promise fa gim,1
20,MAT,1,GUL,jehoshaphat been de fada ob joram,den jedus come fom galilee an gone ta de jerden riba,1
21,MAT,1,GUL,joram been de fada ob uzziah,de leada dem ob de priest dem dey gii me de tority an a done chunk heapa god people een de jailhouse,1
22,MAT,1,GUL,uzziah been de fada ob jotham,dat cup wa e beena tek wen e gii people e wine fa drink leh um full dat cup wid wine wa two time mo bitta den e own wine an gii ta um mek um drink,1
23,MAT,1,GUL,jotham been de fada ob ahaz,wen a beena write ta oona me haat been hebby an a beena warry bad,1
24,MAT,1,GUL,ahaz been de fada ob hezekiah,bot wen e yah wid we e ain look like e got no powa tall an e taak ain mount ta nottin,1
25,MAT,1,GUL,hezekiah been de fada ob manasseh,people like dem kind yah dey fit fa git hona fom oona,1
26,MAT,1,GUL,manasseh been de fada ob amon,e been hole een e han de key fa open de deep hole wa ain got no bottom an e been hole one big hebby chain too,1
27,MAT,1,GUL,amon been de fada ob josiah,jes like e hab mussy pon oona now e kin hab mussy pon dem too,1
28,MAT,1,GUL,josiah been de fada ob jechoniah an e broda dem,an a da pray dat god mek de powa ob jedus christ wok een oona so dat oona gwine be wa e wahn oona fa be,1
29,MAT,1,GUL,dey been bon wen de people fom babylon come een pon de israel people an cyaa um off wid um ta babylon an pit um een slabery,a da aks oona fa gim haaty welcome cause e blongst ta de lawd an dat de way people wa blongst ta de lawd oughta welcome one noda,1
30,MAT,1,GUL,atta dey enemy dem pit um een slabery an cyaa um off ta babylon shealtiel been bon,oona done been loss een sin daak like de daak ob de night,1
31,MAT,1,GUL,jechoniah been de fada ob shealtiel,dey ansa um say some people say ya john wa bactize,1
32,MAT,1,GUL,shealtiel been de fada ob zerubbabel,de ethiopia man beena read fom god wod weh de prophet done write dis yah e been a sheep dat dey lead fa go kill um e been like a lamb dat ain cry out wen dey da cut e wool,1
33,MAT,1,GUL,zerubbabel been de fada ob abiud,wen christ gone shru de tent e gone eenside de place weh god dey mo den any oda place,1
34,MAT,1,GUL,abiud been de fada ob eliakim,peter ain been know wa fa say e an de oda two ciple dem scaid neah ta det,1
35,MAT,1,GUL,eliakim been de fada ob azor,an all dem ting dey een e book dey good fa mek we laan wa true an fa mek we know dem ting dat we da do wa ain right,1
36,MAT,1,GUL,azor been de fada ob zadok,an de sodja dem wa beena gyaad de tomb dey tremble cause dey scaid an dey faddown jes like dey dead man dem,1
37,MAT,1,GUL,zadok been de fada ob achim,atta mary see jedus e gone ta dem people wa beena folla longside um,1
38,MAT,1,GUL,achim been de fada ob eliud,de las ting a got fa tell oona oona mus all gree mongst oonasef wid one haat togeda,1
39,MAT,1,GUL,eliud been de fada ob eleazar,de holy sperit an de bride say come leh all dem wa yeh dem wod ya say come leh all dem wa tosty come,1
