,book,chapt,version,text,second,label
0,MAT,1,HPB,dis book tell bout jesus an his ancesta guys,da nex res day almos all da peopo inside da town come fo hear paul tell wat da one in charge tell,1
1,MAT,1,HPB,he da christ guy da spesho guy god wen sen,odda times da peopo wen make same kine to yoa frenz an you guys wen stay tight wit yoa frenz,1
2,MAT,1,HPB,he from king david ohana an david he from abraham ohana,you guys goin see but you guys no goin see fo real,1
3,MAT,1,HPB,get fourteen faddahs from abraham to david abraham he isaac faddah,den da peopo start fo beg jesus fo go way from dea,1
4,MAT,1,HPB,jacob he judah faddah an all judah braddahs he dea faddah too,wen dey ack lidat dey no undastan notting,1
5,MAT,1,HPB,judah he perez an zerah faddah an tamar she dea muddah,no way da ohana dat go agains each odda no can stay strong,1
6,MAT,1,HPB,salmon he boaz faddah an rahab she boaz muddah,abraham he wen trus god da time god wen tes him,1
7,MAT,1,HPB,boaz he obed faddah an ruth she obed muddah,wen dat happen you guys goin know wea i stay,1
8,MAT,1,HPB,an jesse he king david faddah,afta he tell um fo go he go up on top da mountain fo pray,1
9,MAT,1,HPB,den had fourteen faddahs from david till dey come prisonas babylon side david he solomon faddah,den da jew guys tell look how plenny love an aloha he get fo lazarus but some a dem tell eh dis guy wen make da blind guys see,1
10,MAT,1,HPB,an solomon muddah batsheba befo dat she uriah wife,he tell da guy dat plow da groun an da guy dat take da junks outa da wheat o barley wen dey work dey still yet gotta wait fo eat,1
11,MAT,1,HPB,josiah he koniah faddah an koniah braddahs too,but da guys you stay teach dey stay eat an drink,1
12,MAT,1,HPB,was dat time wen da babylon armies wen make prisonas all da jew guys an take um away babylon side,so you know whoeva hear wat i tell um fo do an go do um he jalike one smart guy dat make one plan den he build his house on top solid rock,1
13,MAT,1,HPB,afta dey take um away babylon side had fourteen faddahs koniah he shealtiel faddah,wen we mahke same ting we no mahke fo ony us too,1
14,MAT,1,HPB,mary born jesus da one dey call da christ guy da spesho guy god wen sen,so den go fo broke fo god all da guys in da race dey stay do ony wat da coach tell um fo do aah,1
15,MAT,1,HPB,so da lis fo da faddahs from abraham till king david get fourteen faddahs one afta da odda an from king david till dey come prisonas babylon side get fourteen faddahs an from wen dey prisonas babylon side till jesus da christ guy get fourteen faddahs,da guy tell you da one in charge i trus you an he go down on his knees in front jesus,1
16,MAT,1,HPB,befo mary born jesus da spesho guy god wen sen dis happen,same ting wit da spesho guys dat jesus wen sen all ova da place,1
17,MAT,1,HPB,mary she make ready fo marry joseph,an da mout jalike one fire,1
18,MAT,1,HPB,but befo dey marry da good an spesho spirit make her get hapai,he find some guys dat tell yeah we work fo you fo one day fo one silva denarius coin,1
19,MAT,1,HPB,joseph da guy dat goin come her husban he one guy dat do da right ting erytime an he no like make her come shame in front da peopo,i get odda sheeps too dat no come from dis place,1
20,MAT,1,HPB,so he figga i no goin marry her but i no goin tell nobody,eh no go bus up da kine stuff god stay do fo oua braddahs an sistahs jus cuz you like eat any kine food,1
21,MAT,1,HPB,but wen he stay figga lidat right den an dea wen he stay dreaming one angel messenja guy from da one in charge come by him,da peopo god wen pick befo time he tell um fo come be his guys,1
22,MAT,1,HPB,da angel guy tell eh joseph you from king david ohana,jesus tell you guys figga i one crook o wat,1
23,MAT,1,HPB,no sked take mary fo come yoa wife cuz she hapai from god spirit dat stay good an spesho,jesus see da sky broke open an spock god spirit come down on top him jalike one dove,1
24,MAT,1,HPB,she goin born one boy an you goin name um jesus cuz he goin get his peopo outa da kine bad stuff dey do,az why dey stay sked an shaking all ova wot you pupule o wat if you trus god but den you no do good tings az no good,1
25,MAT,1,HPB,all dis happen jalike isaiah wen tell da guy dat talk fo god long time befo time lissen up one young wahine who neva sleep wit nobody goin get hapai,dey ony tink bout wass good fo dem,1
26,MAT,1,HPB,emmanuel mean god stay hea now wit us guys joseph wake up an he do wat da angel guy from da one in charge tell him fo do,so wen us guys suffa dat show dat jesus still stay alive now,1
27,MAT,1,HPB,he take mary home fo come his wife,cuz a god spirit christ wen go teach da spirits dat stay inside one place jalike one prison,1
28,MAT,1,HPB,but he neva sleep wit her befo she born her boy,dat time dey goin spock me da fo real kine guy stay coming inside one cloud wit plenny powa an i goin be real awesome,1
29,MAT,2,HPB,jesus he born betlehem town judea side,jesus turn an tell um sistahs from jerusalem no cry fo me,1
30,MAT,2,HPB,herod he da king dat time,da earth an da sky disappea from him an nobody eva see dem no moa,1
31,MAT,2,HPB,had dese smart guys dat know plenny bout da stars,ova dea da guys goin cry real hard an grind dea teet cuz dey so huhu an futless,1
32,MAT,2,HPB,dey come jerusalem town from one far place from da east side,all dat stuff i stay tell you guys az why i go down on top my knees an pray to da faddah,1
33,MAT,2,HPB,dey tell wea da boy dat born da king fo da jews,dat time us goin get back wat we wen do wen we wen stay inside dis world,1
34,MAT,2,HPB,we wen spock one star come up da east side dat show dat he born awready an we come hea fo go down in front him an show him plenny respeck,dey tell eh wat dis guy stay talk bout,1
35,MAT,2,HPB,wen king herod hear dat he come all shook up an sked,az right cuz dat help um plenny,1
36,MAT,2,HPB,all da peopo inside jerusalem dey all come shook up an sked too,he stay use erybody fo do wat he like,1
37,MAT,2,HPB,den herod tell all da main pries guys an all da teacha guys dat teach da rules from god to da peopo fo come by him,he tell oua rules tell we gotta lissen da guy firs an find out wat he wen do,1
38,MAT,2,HPB,he tell try tell me wea god spesho guy goin born,den erybody goin know dat you stay good now an you can pray wit da odda peopo,1
