,book,chapt,version,text,second,label,identifier
0,MAT,1,HPB,dis book tell bout jesus an his ancesta guys,wen all dat stuff start fo happen stan up tall an look up,1,MAT.1
1,MAT,1,HPB,he da christ guy da spesho guy god wen sen,dass jalike dey goin go inside god place thru da gate az me,1,MAT.1
2,MAT,1,HPB,he from king david ohana an david he from abraham ohana,get fourteen faddahs from abraham to david abraham he isaac faddah,0,MAT.1
3,MAT,1,HPB,get fourteen faddahs from abraham to david abraham he isaac faddah,an he goin tell you guys bout da stuff dat goin happen bumbye,1,MAT.1
4,MAT,1,HPB,jacob he judah faddah an all judah braddahs he dea faddah too,judah he perez an zerah faddah an tamar she dea muddah,0,MAT.1
5,MAT,1,HPB,judah he perez an zerah faddah an tamar she dea muddah,wen dey come outa da watta right den an dea da good an spesho spirit a da one in charge take philip away,1,MAT.1
6,MAT,1,HPB,salmon he boaz faddah an rahab she boaz muddah,boaz he obed faddah an ruth she obed muddah,0,MAT.1
7,MAT,1,HPB,boaz he obed faddah an ruth she obed muddah,dey no wash dea hands dat way befo dey eat jesus tell um da guy isaiah wen talk fo god long time befo time an fo shua he talk bout you guys cuz you guys tell one ting an do anodda,1,MAT.1
8,MAT,1,HPB,an jesse he king david faddah,az why plenny jew guys an peopo dass not jew guys trus da good stuff bout jesus,1,MAT.1
9,MAT,1,HPB,den had fourteen faddahs from david till dey come prisonas babylon side david he solomon faddah,an solomon muddah batsheba befo dat she uriah wife,0,MAT.1
10,MAT,1,HPB,an solomon muddah batsheba befo dat she uriah wife,josiah he koniah faddah an koniah braddahs too,0,MAT.1
11,MAT,1,HPB,josiah he koniah faddah an koniah braddahs too,was dat time wen da babylon armies wen make prisonas all da jew guys an take um away babylon side,0,MAT.1
12,MAT,1,HPB,was dat time wen da babylon armies wen make prisonas all da jew guys an take um away babylon side,no get piloot cuz den you goin go wild an make shame,1,MAT.1
13,MAT,1,HPB,afta dey take um away babylon side had fourteen faddahs koniah he shealtiel faddah,mary born jesus da one dey call da christ guy da spesho guy god wen sen,0,MAT.1
14,MAT,1,HPB,mary born jesus da one dey call da christ guy da spesho guy god wen sen,so da lis fo da faddahs from abraham till king david get fourteen faddahs one afta da odda an from king david till dey come prisonas babylon side get fourteen faddahs an from wen dey prisonas babylon side till jesus da christ guy get fourteen faddahs,0,MAT.1
15,MAT,1,HPB,so da lis fo da faddahs from abraham till king david get fourteen faddahs one afta da odda an from king david till dey come prisonas babylon side get fourteen faddahs an from wen dey prisonas babylon side till jesus da christ guy get fourteen faddahs,da guy get da kine sores all ova,1,MAT.1
16,MAT,1,HPB,befo mary born jesus da spesho guy god wen sen dis happen,mary she make ready fo marry joseph,0,MAT.1
17,MAT,1,HPB,mary she make ready fo marry joseph,he get da key fo da deep dark hole an one big heavy chain in his hand,1,MAT.1
18,MAT,1,HPB,but befo dey marry da good an spesho spirit make her get hapai,joseph da guy dat goin come her husban he one guy dat do da right ting erytime an he no like make her come shame in front da peopo,0,MAT.1
19,MAT,1,HPB,joseph da guy dat goin come her husban he one guy dat do da right ting erytime an he no like make her come shame in front da peopo,tell da older guys inside da church dat all dem gotta stay in charge a wat dey do,1,MAT.1
20,MAT,1,HPB,so he figga i no goin marry her but i no goin tell nobody,but wen he stay figga lidat right den an dea wen he stay dreaming one angel messenja guy from da one in charge come by him,0,MAT.1
21,MAT,1,HPB,but wen he stay figga lidat right den an dea wen he stay dreaming one angel messenja guy from da one in charge come by him,you tell me an den i tell you guys wat right i get fo do dis kine stuff,1,MAT.1
22,MAT,1,HPB,da angel guy tell eh joseph you from king david ohana,no sked take mary fo come yoa wife cuz she hapai from god spirit dat stay good an spesho,0,MAT.1
23,MAT,1,HPB,no sked take mary fo come yoa wife cuz she hapai from god spirit dat stay good an spesho,she goin born one boy an you goin name um jesus cuz he goin get his peopo outa da kine bad stuff dey do,0,MAT.1
24,MAT,1,HPB,she goin born one boy an you goin name um jesus cuz he goin get his peopo outa da kine bad stuff dey do,an he da main leada guy fo make shua you guys no come pilau inside,1,MAT.1
25,MAT,1,HPB,all dis happen jalike isaiah wen tell da guy dat talk fo god long time befo time lissen up one young wahine who neva sleep wit nobody goin get hapai,emmanuel mean god stay hea now wit us guys joseph wake up an he do wat da angel guy from da one in charge tell him fo do,0,MAT.1
26,MAT,1,HPB,emmanuel mean god stay hea now wit us guys joseph wake up an he do wat da angel guy from da one in charge tell him fo do,dey inside da boat wit dea faddah an dey stay fixing da nets,1,MAT.1
27,MAT,1,HPB,he take mary home fo come his wife,but he neva sleep wit her befo she born her boy,0,MAT.1
28,MAT,1,HPB,but he neva sleep wit her befo she born her boy,jesus he born betlehem town judea side,0,MAT.1
29,MAT,2,HPB,jesus he born betlehem town judea side,john goin be one importan guy da way da one in charge see um,1,MAT.2
30,MAT,2,HPB,herod he da king dat time,had dese smart guys dat know plenny bout da stars,0,MAT.2
31,MAT,2,HPB,had dese smart guys dat know plenny bout da stars,dey come jerusalem town from one far place from da east side,0,MAT.2
32,MAT,2,HPB,dey come jerusalem town from one far place from da east side,befo time had plenny guys dat come pries,1,MAT.2
33,MAT,2,HPB,dey tell wea da boy dat born da king fo da jews,we wen spock one star come up da east side dat show dat he born awready an we come hea fo go down in front him an show him plenny respeck,0,MAT.2
34,MAT,2,HPB,we wen spock one star come up da east side dat show dat he born awready an we come hea fo go down in front him an show him plenny respeck,da angel guy go measure wit da stick how big da town an he find out was 1500 mile,1,MAT.2
35,MAT,2,HPB,wen king herod hear dat he come all shook up an sked,dey goin bring you guys in front kings an govnas,1,MAT.2
36,MAT,2,HPB,all da peopo inside jerusalem dey all come shook up an sked too,den herod tell all da main pries guys an all da teacha guys dat teach da rules from god to da peopo fo come by him,0,MAT.2
37,MAT,2,HPB,den herod tell all da main pries guys an all da teacha guys dat teach da rules from god to da peopo fo come by him,he tell try tell me wea god spesho guy goin born,0,MAT.2
38,MAT,2,HPB,he tell try tell me wea god spesho guy goin born,all you guys stay tight wit me no matta i one prisona,1,MAT.2
39,MAT,2,HPB,dey tell um he goin born betlehem judea side,so da peopo split in half cuz a jesus,1,MAT.2
40,MAT,2,HPB,cuz da guy micah wen tell dis he one guy dat talk fo god long time befo time eh you betlehem guys ova dea judah side all da leadas inside judah tink betlehem importan,cuz from dea goin come one leada,0,MAT.2
41,MAT,2,HPB,cuz from dea goin come one leada,az why i wen write you guys befo time fo see if you guys goin do da right ting an do eryting i tell you fo do,1,MAT.2
42,MAT,2,HPB,he goin take kea god peopo da israel peopo,if god spirit stay tight wit you guys den he goin make yoa mahke bodies come back alive jalike how he wen make christ come back alive,1,MAT.2
43,MAT,2,HPB,den herod tell da guys dat know plenny bout da stars fo come by him,dey come but dey neva tell nobody,0,MAT.2
44,MAT,2,HPB,dey come but dey neva tell nobody,he find out from dem wat time da star show up inside da sky,0,MAT.2
45,MAT,2,HPB,he find out from dem wat time da star show up inside da sky,den dey come togedda wit da odda peopo dat trus jesus,1,MAT.2
46,MAT,2,HPB,he tell go look all ova da place till you find da boy,if he lissen den he goin come jalike yoa braddah one mo time,1,MAT.2
47,MAT,2,HPB,den come back ova hea an tell me,afta dat jesus walk aroun an he spock one guy dat wen born blind,1,MAT.2
48,MAT,2,HPB,cuz i like go dea fo go down in front him an show him respeck too,i tink dis ting i hear fo shua dass true fo shua if get presha fo you guys split up den can find out who lissen da one in charge an who no lissen da one in charge cuz wen you guys come togedda fo eat suppose to be fo no foget da one in charge az jesus,1,MAT.2
49,MAT,2,HPB,afta dey hear wat da king tell um fo do dey go,da same star da one dey see befo wen dey stay da east side dat star go in front dem an stop right ova da place wea da boy stay,0,MAT.2
50,MAT,2,HPB,da same star da one dey see befo wen dey stay da east side dat star go in front dem an stop right ova da place wea da boy stay,dey spock da star an dey feel real good inside,0,MAT.2
51,MAT,2,HPB,dey spock da star an dey feel real good inside,dey see da boy an his muddah mary,0,MAT.2
52,MAT,2,HPB,dey see da boy an his muddah mary,if somebody no mo christ spirit inside him dat guy not one christ guy,1,MAT.2
53,MAT,2,HPB,dey go down in front him an show him respeck,den dey take out dea rich stuffs an give um to jesus,0,MAT.2
54,MAT,2,HPB,den dey take out dea rich stuffs an give um to jesus,dey give um gold incense an spesho kine myrrh perfume,0,MAT.2
55,MAT,2,HPB,dey give um gold incense an spesho kine myrrh perfume,dass why god wen throw out da ol rules,1,MAT.2
56,MAT,2,HPB,afta dat dey get one dream from god,goin get two guys stay working inside one field,1,MAT.2
