,book,chapt,version,text,second,label
0,MAT,1,HUNB,jezus krisztusnak a david fianak az abraham fianak nemzetsegkonyve,ami tehat a balvanyaldozati hus eveset illeti tudjuk hogy nincs balvany a vilagon es hogy isten sincs mas csak egy,1
1,MAT,1,HUNB,abraham fia volt izsak izsake jakob jakob fiai pedig juda es testverei,tiberius csaszar uralkodasanak tizenotodik eveben amikor judea helytartoja poncius pilatus volt galilea negyedes fejedelme herodes iturea es trakhonitisz tartomanyanak negyedes fejedelme herodes testvere fulop abilene negyedes fejedelme pedig luszaniasz volt annas es kajafas fopapok idejen szolt az ur janoshoz zakarias fiahoz a pusztaban,1
2,MAT,1,HUNB,juda fia volt a tamartol szuletett faresz es zerah faresze heszron heszrone pedig aram,isten pedig huseges es nem hagy titeket erotokon felul kiserteni sot a kisertessel egyutt el fogja kesziteni a szabadulas utjat is hogy el birjatok azt viselni,1
3,MAT,1,HUNB,aram fia volt amminadab amminadabe nahson nahsone szalmon,esztelen amit vetsz nem kel eletre mig elobb el nem rothad es amit elvetsz azzal nem a leendo testet veted el hanem csak a magot talan buzaet vagy valami maset,1
4,MAT,1,HUNB,szalmon fia volt rahabtol boaz boaze ruthtol obed obede isai,fesztusz azonban azt felelte hogy pal cezareaban van orizetben o maga pedig hamarosan odautazik,1
5,MAT,1,HUNB,isai fia volt david a kiraly,ok lementek es imadkoztak ertuk hogy reszesuljenek a szentlelek ajandekaban mert meg egyikukre sem szallt ra csak meg voltak keresztelve az ur jezus nevere,1
6,MAT,1,HUNB,david fia volt salamon urias felesegetol,akik ugyanis torveny ismerete nelkul vetkeztek a torveny nelkul vesznek el es akik a torveny ismereteben vetkeztek azok a torveny alapjan kapjak meg majd az iteletet,1
7,MAT,1,HUNB,salamon fia volt roboam roboame abijja abijjae pedig asza,amikor lattak hogy milyen batran beszel peter es janos es felfogtak hogy ok irastudatlan es iskolazatlan emberek elcsodalkoztak,1
8,MAT,1,HUNB,asza fia volt josafat josafate joram jorame uzzijja,ettol fogva kereste az alkalmat hogy elarulja ot,1
9,MAT,1,HUNB,uzzijja fia volt jotam jotame ahaz ahaze ezekias,ezek ugyanis a bosszuallas napjai hogy beteljesedjek mindaz ami meg van irva,1
10,MAT,1,HUNB,ezekias fia volt manasse manasse fia volt amon amone josias,judas tehat maga melle vette a katonai csapatot a fopapoktol es a farizeusoktol kuldott templomi szolgakat es odament faklyakkal lampasokkal es fegyverekkel,1
11,MAT,1,HUNB,josias fia pedig jekonjas es testverei a babiloni fogsagbavitelkor,ezert elbucsuztam toluk es elmentem macedoniaba,1
