,book,chapt,version,text,second,label,identifier
0,MAT,1,HUNB,jezus krisztusnak a david fianak az abraham fianak nemzetsegkonyve,abraham fia volt izsak izsake jakob jakob fiai pedig juda es testverei,0,MAT.1
1,MAT,1,HUNB,abraham fia volt izsak izsake jakob jakob fiai pedig juda es testverei,juda fia volt a tamartol szuletett faresz es zerah faresze heszron heszrone pedig aram,0,MAT.1
2,MAT,1,HUNB,juda fia volt a tamartol szuletett faresz es zerah faresze heszron heszrone pedig aram,aram fia volt amminadab amminadabe nahson nahsone szalmon,0,MAT.1
3,MAT,1,HUNB,aram fia volt amminadab amminadabe nahson nahsone szalmon,szalmon fia volt rahabtol boaz boaze ruthtol obed obede isai,0,MAT.1
4,MAT,1,HUNB,szalmon fia volt rahabtol boaz boaze ruthtol obed obede isai,sok utest mertek rajuk majd bortonbe vetettek oket es megparancsoltak a bortonornek hogy gondosan orizze oket,1,MAT.1
5,MAT,1,HUNB,isai fia volt david a kiraly,ne felj attol amit el fogsz szenvedni,1,MAT.1
6,MAT,1,HUNB,david fia volt salamon urias felesegetol,talan bizony felismertek a vezetok hogy o a krisztus,1,MAT.1
7,MAT,1,HUNB,salamon fia volt roboam roboame abijja abijjae pedig asza,azutan igy szolt tanitvanyaihoz lehetetlen hogy botrankozasok ne essenek de jaj annak aki altal esnek,1,MAT.1
8,MAT,1,HUNB,asza fia volt josafat josafate joram jorame uzzijja,uzzijja fia volt jotam jotame ahaz ahaze ezekias,0,MAT.1
9,MAT,1,HUNB,uzzijja fia volt jotam jotame ahaz ahaze ezekias,ezekias fia volt manasse manasse fia volt amon amone josias,0,MAT.1
10,MAT,1,HUNB,ezekias fia volt manasse manasse fia volt amon amone josias,most mar tudom atyamfiai hogy tudatlansagbol cselekedtetek mint a ti eloljaroitok is,1,MAT.1
11,MAT,1,HUNB,josias fia pedig jekonjas es testverei a babiloni fogsagbavitelkor,a babiloni fogsagbavitel utan jekonjas fia volt sealtiel sealtiele zerubbabel,0,MAT.1
12,MAT,1,HUNB,a babiloni fogsagbavitel utan jekonjas fia volt sealtiel sealtiele zerubbabel,a paraznasag miatt azonban mindenkinek legyen sajat felesege es minden asszonynak sajat ferje,1,MAT.1
13,MAT,1,HUNB,zerubbabel fia volt abihud abihude eljakim eljakime pedig azzur,azzur fia volt cadok cadoke jakin jakine elihud,0,MAT.1
14,MAT,1,HUNB,azzur fia volt cadok cadoke jakin jakine elihud,elihud fia volt eleazar eleazare mattan mattane jakob,0,MAT.1
15,MAT,1,HUNB,elihud fia volt eleazar eleazare mattan mattane jakob,jakob fia volt jozsef annak a marianak ferje akitol jezus szuletett akit krisztusnak neveznek,0,MAT.1
16,MAT,1,HUNB,jakob fia volt jozsef annak a marianak ferje akitol jezus szuletett akit krisztusnak neveznek,a feleseg nem ura a maga testenek hanem a ferje s ugyanugy a ferj sem ura a maga testenek hanem a felesege,1,MAT.1
17,MAT,1,HUNB,osszesen tehat abrahamtol davidig tizennegy nemzedek davidtol a babiloni fogsagbavitelig is tizennegy nemzedek a babiloni fogsagbaviteltol krisztusig szinten tizennegy nemzedek,jezus krisztus szuletese pedig igy tortent,0,MAT.1
18,MAT,1,HUNB,jezus krisztus szuletese pedig igy tortent,anyja maria jegyese volt jozsefnek de mielott egybekeltek volna kitunt hogy aldott allapotban van a szentlelektol,0,MAT.1
19,MAT,1,HUNB,anyja maria jegyese volt jozsefnek de mielott egybekeltek volna kitunt hogy aldott allapotban van a szentlelektol,ferje jozsef igaz ember volt es nem akarta ot megszegyeniteni ezert elhatarozta hogy titokban bocsatja el,0,MAT.1
20,MAT,1,HUNB,ferje jozsef igaz ember volt es nem akarta ot megszegyeniteni ezert elhatarozta hogy titokban bocsatja el,kulonbsegek vannak a szolgalatokban is de az ur ugyanaz,1,MAT.1
21,MAT,1,HUNB,amikor azonban ezt vegiggondolta magaban ime az ur angyala megjelent neki almaban es ezt mondta jozsef david fia ne felj magadhoz venni felesegedet mariat mert ami benne fogant az a szentlelektol van,fiut fog szulni akit nevezz el jezusnak mert o szabaditja meg nepet buneibol,0,MAT.1
22,MAT,1,HUNB,fiut fog szulni akit nevezz el jezusnak mert o szabaditja meg nepet buneibol,mindez pedig azert tortent hogy beteljesedjek amit az ur mondott a profeta altal ime a szuz fogan meheben fiut szul akit immanuelnek neveznek ami azt jelenti velunk az isten,0,MAT.1
23,MAT,1,HUNB,mindez pedig azert tortent hogy beteljesedjek amit az ur mondott a profeta altal ime a szuz fogan meheben fiut szul akit immanuelnek neveznek ami azt jelenti velunk az isten,bizonysagot tettem zsidoknak is meg gorogoknek is az istenhez valo megteresrol es a mi urunkban jezusban valo hitrol,1,MAT.1
24,MAT,1,HUNB,jozsef pedig amikor felebredt almabol ugy cselekedett ahogyan az ur angyala parancsolta neki magahoz vette feleseget de nem erintette addig amig meg nem szulte fiat akit jezusnak nevezett el,aki azt mondja hogy a vilagossagban van de gyuloli a testveret az meg mindig a sotetsegben van,1,MAT.1
25,MAT,2,HUNB,amikor jezus megszuletett a judeai betlehemben herodes kiraly idejeben ime bolcsek erkeztek napkeletrol jeruzsalembe es ezt kerdeztek hol van a zsidok kiralya aki most szuletett,mert lattuk az o csillagat amikor feltunt es eljottunk hogy imadjuk ot,0,MAT.2
26,MAT,2,HUNB,mert lattuk az o csillagat amikor feltunt es eljottunk hogy imadjuk ot,mert meg van irva elvesztem a bolcsek bolcsesseget es az ertelmesek ertelmet elvetem,1,MAT.2
27,MAT,2,HUNB,amikor ezt herodes kiraly meghallotta nyugtalansag fogta el es vele egyutt az egesz jeruzsalemet,osszehivatta a nep valamennyi fopapjat es irastudojat es megkerdezte toluk hol kell megszuletnie a krisztusnak,0,MAT.2
28,MAT,2,HUNB,osszehivatta a nep valamennyi fopapjat es irastudojat es megkerdezte toluk hol kell megszuletnie a krisztusnak,hatalommal es erovel parancsol a tisztatalan lelkeknek es azok kimennek es elterjedt a hire mindenutt a kornyeken,1,MAT.2
29,MAT,2,HUNB,azok ezt mondtak neki a judeai betlehemben mert igy irta meg a profeta te pedig betlehem juda foldje semmikeppen sem vagy a legjelentektelenebb juda fejedelmi varosai kozott mert fejedelem szarmazik beloled aki legeltetni fogja nepemet izraelt,hogy kitunjek rolam oaltala nincsen sajat igazsagom a torveny alapjan hanem a krisztusba vetett hit altal van igazsagom istentol a hit alapjan hogy megismerjem ot es feltamadasa erejet valamint a szenvedeseiben valo reszesedest hasonlova leven az o halalahoz hogy valamikeppen eljussak a halottak kozul valo feltamadasra,1,MAT.2
30,MAT,2,HUNB,ekkor herodes titokban hivatta a bolcseket pontosan megkerdezte toluk a csillag feltunesenek idejet majd elkuldte oket betlehembe es ezt mondta menjetek el szerezzetek pontos ertesuleseket a gyermekrol mihelyt pedig megtalaljatok adjatok tudtomra hogy en is elmenjek es imadjam ot miutan meghallgattak a kiralyt elindultak es ime a csillag amelyet lattak feltunesekor elottuk ment amig meg nem erkeztek es akkor megallt a folott a hely folott ahol a gyermek volt,amikor meglattak a csillagot igen nagy volt az oromuk,0,MAT.2
31,MAT,2,HUNB,amikor meglattak a csillagot igen nagy volt az oromuk,bementek a hazba meglattak a gyermeket anyjaval mariaval es leborulva imadtak ot,0,MAT.2
32,MAT,2,HUNB,bementek a hazba meglattak a gyermeket anyjaval mariaval es leborulva imadtak ot,mert minden profeta es a torveny janos idejeig profetalt,1,MAT.2
33,MAT,2,HUNB,kinyitottak kincsesladaikat es ajandekokat adtak neki aranyat tomjent es mirhat,ti is tisztak vagytok de nem mind,1,MAT.2
34,MAT,2,HUNB,mivel azonban kijelentest kaptak alomban hogy ne menjenek vissza herodeshez mas uton tertek vissza hazajukba,aki pedig megtartja az o parancsolatait az obenne marad es o is abban es ezt hogy o bennunk van abbol tudjuk meg hogy a lelkebol adott nekunk,1,MAT.2
35,MAT,2,HUNB,miutan eltavoztak ime az ur angyala megjelent jozsefnek almaban es igy szolt kelj fel vedd a gyermeket es anyjat menekulj egyiptomba es maradj ott amig nem szolok neked mert herodes halalra fogja kerestetni a gyermeket,nezzetek a liliomokat mikent novekednek nem faradoznak nem is fonnak de mondom nektek hogy salamon teljes dicsosegeben sem oltozott ugy mint ezek kozul barmelyik,1,MAT.2
36,MAT,2,HUNB,o pedig felkelt vette a gyermeket es anyjat meg ejnek idejen es elment egyiptomba,ott volt herodes halalaig hogy beteljesedjek az amit az ur mondott a profeta altal egyiptombol hivtam el fiamat,0,MAT.2
37,MAT,2,HUNB,ott volt herodes halalaig hogy beteljesedjek az amit az ur mondott a profeta altal egyiptombol hivtam el fiamat,az ur megszolitotta ot latomasban ananias o igy valaszolt ime itt vagyok uram,1,MAT.2
38,MAT,2,HUNB,amikor herodes latta hogy a bolcsek tuljartak az eszen nagy haragra lobbant elkuldte embereit es megoletett betlehemben es annak egesz kornyeken minden ketesztendos es ennel fiatalabb fiugyermeket annak az idopontnak megfeleloen amelyet pontosan megtudott a bolcsektol,ezert ezt mondta neki uram te mindent tudsz te tudod hogy szeretlek teged,1,MAT.2
39,MAT,2,HUNB,ekkor teljesedett be az amit jeremias profetalt hang hallatszott ramaban nagy siras es jajgatas,rahel siratta gyermekeit es nem akart megvigasztalodni hogy mar nincsenek,0,MAT.2
40,MAT,2,HUNB,rahel siratta gyermekeit es nem akart megvigasztalodni hogy mar nincsenek,isten igeretet sem vonta ketsegbe hitetlenul sot megerosodott a hitben dicsoseget adva istennek es teljesen bizonyos volt afelol hogy amit isten iger azt meg is tudja tenni,1,MAT.2
