,book,chapt,version,text,second,label
0,MAT,1,JNT,dis a di lis a krais jiizas faada faada dem go bak,nou wen jiizas si wan big big kroud a piipl roun im im tel im falara dem se fi go uova di ada said a di liek,1
1,MAT,1,JNT,jiizas did kom fram dievid an iebriyam fambili,di wie dem so nof dem komiin laik san a siisaid,1
2,MAT,1,JNT,iebriyam did a aizak faada an aizak did a jiekob faada jiekob pikni dem a did juuda an juuda breda dem,dem tek out di prezent we dem did bring an gi di pikni guol frangkinsens an mor,1
3,MAT,1,JNT,juuda a did perez an ziira faada tamaar did a dem mada perez pikni a did ezran an ezran pikni a did ram,nuo man piipl we jres op iina dier kluoz an liv big laif liv iina palis,1
4,MAT,1,JNT,aminadab a did ram pikni an fi aminadab pikni a did nieshan an saman a did fi nieshan pikni,di man dem we did de de wid mi si di lait bot dem neva ier di vais we did a taak tu mi,1
5,MAT,1,JNT,saman a did buowaz faada im mada a did rieyab buowaz a did uobed faada ruut a did im mada,wen mi priich gad gud nyuuz bout jiizas tu unu mi did du it fi frii mi neva chaaj unu notn,1
6,MAT,1,JNT,jesi a did uobed pikni an jesi did a king dievid faada,an wen di liida fi di priis dem an di juu liida dem se im du aal kaina rang sitn im neehn ansa bak,1
7,MAT,1,JNT,dievid did a salaman faada a yuuraiya waif did a fi im mada salaman pikni a did reyobuom reyobuom a did abija faada an abija a did asa faada,bot yu si di piipl dem we gad kaal fi bi im pikni weda dem a juu ar dem a no juu da mesij de shuo ou gad powaful an ou im waiz,1
8,MAT,1,JNT,asa pikni a did jeyoshafat jeyoshafat a did fi juoram faada juoram pikni did a uziya,an no pie dem no main wen dem kom a tel unu bout no speshal uoli die we kom evri ier wen piipl worship gad ar bout di nyuu muun festival ar wan sabat die,1
9,MAT,1,JNT,uziya pikni a did juotam juotam a did fi ayaz faada an ayaz did a ezikaiya faada,uman mos kwaiyat demself mi no lou dem fi tiich iina choch ar fi ruul uova man,1
10,MAT,1,JNT,ezikaiya a did fi manase faada an manase a did ieman faada,kyari di sakrifais we muoziz laa se yu fi gi wen yu skin get beta,1
11,MAT,1,JNT,ieman pikni did a josaiya an josaiya a did fi jekonaiya faada plos im did av som ada bwai pikni,di res a di piipl dem we neva get kil fram di faiya di sumuok ar di solfa stil neva ton we fram dem wikidnis,1
12,MAT,1,JNT,dis a roun di taim wen di babiluoniyan dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan,an di piipl dem we se dem a juu bot dem a no juu mi nuo ou dem a tel aal saat a lai an a chat bad bout unu,1
13,MAT,1,JNT,afta da taim de jekonaiya did av shiyaltiyel an shiyaltiyel did get zeruubabel,di prafit dem did sorch out aad aad fi chrai an andastan di wie ou gad siev di piipl dem we chos iina im,1
14,MAT,1,JNT,zeruubabel pikni did a abiyud abiyud a did elaiyakim faada an elaiyakim did a fi azuor faada,so jiizas se tu im se yu se it yuself,1
15,MAT,1,JNT,azuor pikni did a zadak zadak pikni did a akim an akim did a eliyud faada,wi neehn kom tugeda an se a di naamal die pie mi fi gi unu,1
16,MAT,1,JNT,eliyud did a elieza faada elieza pikni did a matan matan a did fi jiekob faada an jiekob did a juozif faada dat a mieri ozban mieri we did av jiizas dat a krais jiizas,bot nof piipl si dem wen dem did a lef an figa out we dem did a go,1
17,MAT,1,JNT,so fram iebriyam go chriet baka dievid a fuotiin jinarieshan jiizas did av,jiizas se tu dem se a uufa picha an niem dis,1
18,MAT,1,JNT,an fram dievid taim op tu wen dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan a fuotiin jinarieshan jiizas did av deso tu an fram da taim de tu wen krais jiizas baan a fuotiin jinarieshan dat tu,memba se unu did ier se di wan we go gens gad wuda kom,1
19,MAT,1,JNT,dis a ou jiizas krais did baan,piipl we av lov iina dem aat no iizi fi get beks an dem no av op piipl iina dem aat,1
20,MAT,1,JNT,im mada mieri did jos ingiej fi marid juozif dem neehn kom liv tugeda yet laik ozban an waif bot dem fain se shi did av biebi iina beli an a di uoli spirit did put di biebi de,an wen im du dat im ombl imself an du aal we faada gad did waahn im fi du im aal gi op im laif pan di kraas,1
21,MAT,1,JNT,nou juozif di man we shi did ingiej fi marid im a did wan gud man we aalwiez du wa rait,mi tel unu dem sitn ya so dat unu kyan av piis iina unu aat kaa mi an unu a wan,1
22,MAT,1,JNT,im neehn waahn shiem ar infronta evribadi so im mek op im main fi lef ar anda di kwaiyat,im a did wan impuotant man,1
23,MAT,1,JNT,jos wen juozif did a tingk fi du dat wach ya nou wan a di laad ienjel dem no jriim im,fram nou aan di man we gad pik ago sidong a di rait an a gad we powaful,1
24,MAT,1,JNT,di ienjel se juozif dievid pikni no fried fi tek mieri an marid ar kaa di pikni we iina ar beli a di uoli spirit put im de,an im ton di wan we kyan du evriting we im sopuoz fi du fi eva,1
25,MAT,1,JNT,shi ago av wan bwai pikni an yu fi kaal im jiizas kaa im ago siev im piipl dem fram dem sin,kaaz a erad did ares jan chien im op an dash im iina prizn sieka eruodiyas we did marid wan taim tu im breda filip,1
26,MAT,1,JNT,nou aal a dem sitn ya apm fi mek wa di laad did tel di prafit fi se kom chuu,da badi de wi wi get wen wi riich a evn an it ago laas fi eva,1
27,MAT,1,JNT,di prafit did se lisn op di uman we neehn sliip wid no man ago get biebi a wan bwai shi ago av an dem ago kaal im imanyuwel,im biliiv se gad wuda mek im di faada fi nof difrant piipl fram aal uova di worl an dat it wuda apm siem laik ou it se iina gad wod,1
28,MAT,1,JNT,da niem de miin gad de ya wid wi,so di farisii dem se tu dem wan aneda se unu si se unu kyaahn du wan ting,1
29,MAT,1,JNT,den wen juozif wiek op im du jos wa di ienjel tel im fi du,wi shuo se wi a gad sorvant wen wi shuo piipl lov no mata uu dem bi ar we dem du wi aalwiez shuo dem lov,1
30,MAT,1,JNT,im tek mieri an go marid ar,bot im neva mek di diiman dem se notn kaaz dem did nuo uu im bi,1
31,MAT,1,JNT,bot im neehn go a bed wid ar til shi av ar pikni wan bwai biebi an im niem im jiizas,a siem so ozban fi lov dem waif siem laik ou dem lov dem uona self,1
32,MAT,2,JNT,jiizas did baan iina betliyem wan toun iina judiya,so du unu bes an mek shuor se unu liv gud wid unu wan aneda,1
33,MAT,2,JNT,dem taim de a erad did a king iina judiya,wen jiizas don se aal a dem sitn ya im se tu im speshal falara dem se unu nuo se tuu die fram nou di paasuova alidie we piipl nyam bred widout yiis a kom an dem ago an uova di man we gad pik so dem kyan kil im pan di kraas,1
34,MAT,2,JNT,nou iina dem siem taim de som waiz man fram di iis said did kom a jeruusilem an a aks we di pikni de we baan di ada die we fi kom ton king fi di juu piipl dem,bot nou gad shuo wi ou im plan fi mek tingz rait bitwiin im an piipl,1
35,MAT,2,JNT,wi si im staar iina di iis we shuo se im baan an wi kom fi shuo im nof rispek,a so kom im mek dem tap iet dem wan aneda,1
36,MAT,2,JNT,nou wen king erad ier dis ya dis bada bada im ed an it bada uol iip a piipl iina jeruusilem tu,mi a waan unu wach out fi di daag aat piipl dem,1
37,MAT,2,JNT,erad kaal evribadi tugeda iina wan miitn aal a di ed priis an di man dem we tiich muoziz laa an im aks dem a wich paat di krais di king we gad pramis fi baan,bot dem neva weehn a tek im aan at aal an dem lef go we sed wie,1
