,book,chapt,version,text,second,label,identifier
0,MAT,1,JNT,dis a di lis a krais jiizas faada faada dem go bak,unu no fi onggl ier gad mesij unu fi du wa it se ef unu onggl a lisn an naa du wa gad se unu onggl a fuul unuself,1,MAT.1
1,MAT,1,JNT,jiizas did kom fram dievid an iebriyam fambili,iebriyam did a aizak faada an aizak did a jiekob faada jiekob pikni dem a did juuda an juuda breda dem,0,MAT.1
2,MAT,1,JNT,iebriyam did a aizak faada an aizak did a jiekob faada jiekob pikni dem a did juuda an juuda breda dem,juuda a did perez an ziira faada tamaar did a dem mada perez pikni a did ezran an ezran pikni a did ram,0,MAT.1
3,MAT,1,JNT,juuda a did perez an ziira faada tamaar did a dem mada perez pikni a did ezran an ezran pikni a did ram,aminadab a did ram pikni an fi aminadab pikni a did nieshan an saman a did fi nieshan pikni,0,MAT.1
4,MAT,1,JNT,aminadab a did ram pikni an fi aminadab pikni a did nieshan an saman a did fi nieshan pikni,ef dem bad yu badi fula daaknis,1,MAT.1
5,MAT,1,JNT,saman a did buowaz faada im mada a did rieyab buowaz a did uobed faada ruut a did im mada,wa kaina badi dem ago av,1,MAT.1
6,MAT,1,JNT,jesi a did uobed pikni an jesi did a king dievid faada,mi a kaal unu mi fren kaa mi mek unu nuo bout evriting mi faada tiich mi,1,MAT.1
7,MAT,1,JNT,dievid did a salaman faada a yuuraiya waif did a fi im mada salaman pikni a did reyobuom reyobuom a did abija faada an abija a did asa faada,asa pikni a did jeyoshafat jeyoshafat a did fi juoram faada juoram pikni did a uziya,0,MAT.1
8,MAT,1,JNT,asa pikni a did jeyoshafat jeyoshafat a did fi juoram faada juoram pikni did a uziya,uziya pikni a did juotam juotam a did fi ayaz faada an ayaz did a ezikaiya faada,0,MAT.1
9,MAT,1,JNT,uziya pikni a did juotam juotam a did fi ayaz faada an ayaz did a ezikaiya faada,ezikaiya a did fi manase faada an manase a did ieman faada,0,MAT.1
10,MAT,1,JNT,ezikaiya a did fi manase faada an manase a did ieman faada,ieman pikni did a josaiya an josaiya a did fi jekonaiya faada plos im did av som ada bwai pikni,0,MAT.1
11,MAT,1,JNT,ieman pikni did a josaiya an josaiya a did fi jekonaiya faada plos im did av som ada bwai pikni,dis a roun di taim wen di babiluoniyan dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan,0,MAT.1
12,MAT,1,JNT,dis a roun di taim wen di babiluoniyan dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan,kaaniiliyos did a wiet pan dem so im gyada op aal a im fambili an fren dem iina im ous til dem kom,1,MAT.1
13,MAT,1,JNT,afta da taim de jekonaiya did av shiyaltiyel an shiyaltiyel did get zeruubabel,im did a sidong a jiizas fut im did av aan kluoz an iina im rait main,1,MAT.1
14,MAT,1,JNT,zeruubabel pikni did a abiyud abiyud a did elaiyakim faada an elaiyakim did a fi azuor faada,a da mesij ya we wi siev unu ef unu uol aan pan it chrang an kip it iina unu aat,1,MAT.1
15,MAT,1,JNT,azuor pikni did a zadak zadak pikni did a akim an akim did a eliyud faada,im tan op chrang gens it kaaz di fos taim wen dem did a pred di gud nyuuz wen dem riich a pamfiliya jan maak did ton bak bifuo dem don di wok,1,MAT.1
16,MAT,1,JNT,eliyud did a elieza faada elieza pikni did a matan matan a did fi jiekob faada an jiekob did a juozif faada dat a mieri ozban mieri we did av jiizas dat a krais jiizas,unu fuulfuul gyalieshan unu a uu guzum unu,1,MAT.1
17,MAT,1,JNT,so fram iebriyam go chriet baka dievid a fuotiin jinarieshan jiizas did av,an fram dievid taim op tu wen dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan a fuotiin jinarieshan jiizas did av deso tu an fram da taim de tu wen krais jiizas baan a fuotiin jinarieshan dat tu,0,MAT.1
18,MAT,1,JNT,an fram dievid taim op tu wen dem did tek we di izrel piipl dem an fuos dem fi go wok a babilan a fuotiin jinarieshan jiizas did av deso tu an fram da taim de tu wen krais jiizas baan a fuotiin jinarieshan dat tu,dis a ou jiizas krais did baan,0,MAT.1
19,MAT,1,JNT,dis a ou jiizas krais did baan,wen taim dem de de a nyam jiizas tek di bred gi tangks an brok it gi im falara dem,1,MAT.1
20,MAT,1,JNT,im mada mieri did jos ingiej fi marid juozif dem neehn kom liv tugeda yet laik ozban an waif bot dem fain se shi did av biebi iina beli an a di uoli spirit did put di biebi de,nou juozif di man we shi did ingiej fi marid im a did wan gud man we aalwiez du wa rait,0,MAT.1
21,MAT,1,JNT,nou juozif di man we shi did ingiej fi marid im a did wan gud man we aalwiez du wa rait,kaaz ef im get buosi gad wi ponish im laik ou im di ponish di devl,1,MAT.1
22,MAT,1,JNT,im neehn waahn shiem ar infronta evribadi so im mek op im main fi lef ar anda di kwaiyat,jos wen juozif did a tingk fi du dat wach ya nou wan a di laad ienjel dem no jriim im,0,MAT.1
23,MAT,1,JNT,jos wen juozif did a tingk fi du dat wach ya nou wan a di laad ienjel dem no jriim im,di ienjel se juozif dievid pikni no fried fi tek mieri an marid ar kaa di pikni we iina ar beli a di uoli spirit put im de,0,MAT.1
