,book,chapt,version,text,second,label
0,MAT,1,NRSV,an account of the genealogy of jesus the messiah the son of david the son of abraham,do your best to present yourself to god as one approved by him a worker who has no need to be ashamed rightly explaining the word of truth,1
1,MAT,1,NRSV,abraham was the father of isaac and isaac the father of jacob and jacob the father of judah and his brothers and judah the father of perez and zerah by tamar and perez the father of hezron and hezron the father of aram and aram the father of aminadab and aminadab the father of nahshon and nahshon the father of salmon and salmon the father of boaz by rahab and boaz the father of obed by ruth and obed the father of jesse and jesse the father of king david,and i lay down my life for the sheep,1
2,MAT,1,NRSV,and david was the father of solomon by the wife of uriah and solomon the father of rehoboam and rehoboam the father of abijah and abijah the father of asaph and asaph the father of jehoshaphat and jehoshaphat the father of joram and joram the father of uzziah and uzziah the father of jotham and jotham the father of ahaz and ahaz the father of hezekiah and hezekiah the father of manasseh and manasseh the father of amos and amos the father of josiah and josiah the father of jechoniah and his brothers at the time of the deportation to babylon,but i will come to you soon if the lord wills and i will find out not the talk of these arrogant people but their power,1
3,MAT,1,NRSV,and after the deportation to babylon jechoniah was the father of salathiel and salathiel the father of zerubbabel and zerubbabel the father of abiud and abiud the father of eliakim and eliakim the father of azor and azor the father of zadok and zadok the father of achim and achim the father of eliud and eliud the father of eleazar and eleazar the father of matthan and matthan the father of jacob and jacob the father of joseph the husband of mary of whom jesus was born who is called the messiah,unlike the other high priests he has no need to offer sacrifices day after day first for his own sins and then for those of the people this he did once for all when he offered himself,1
4,MAT,1,NRSV,so all the generations from abraham to david are fourteen generations and from david to the deportation to babylon fourteen generations and from the deportation to babylon to the messiah fourteen generations,so there was great joy in that city,1
5,MAT,1,NRSV,now the birth of jesus the messiah took place in this way,it is these who have not defiled themselves with women for they are virgins these follow the lamb wherever he goes,1
6,MAT,1,NRSV,when his mother mary had been engaged to joseph but before they lived together she was found to be with child from the holy spirit,when jesus saw nathanael coming toward him he said of him here is truly an israelite in whom there is no deceit nathanael asked him where did you get to know me,1
7,MAT,1,NRSV,her husband joseph being a righteous man and unwilling to expose her to public disgrace planned to dismiss her quietly,i will put my spirit upon him and he will proclaim justice to the gentiles,1
8,MAT,1,NRSV,but just when he had resolved to do this an angel of the lord appeared to him in a dream and said joseph son of david do not be afraid to take mary as your wife for the child conceived in her is from the holy spirit,but they urged him strongly saying stay with us because it is almost evening and the day is now nearly over,1
9,MAT,1,NRSV,she will bear a son and you are to name him jesus for he will save his people from their sins,our ancestors were unwilling to obey him instead they pushed him aside and in their hearts they turned back to egypt saying to aaron make gods for us who will lead the way for us as for this moses who led us out from the land of egypt we do not know what has happened to him,1
10,MAT,1,NRSV,all this took place to fulfill what had been spoken by the lord through the prophet look the virgin shall conceive and bear a son and they shall name him emmanuel which means god is with us,or again i will be his father and he will be my son,1
11,MAT,1,NRSV,when joseph awoke from sleep he did as the angel of the lord commanded him he took her as his wife but had no marital relations with her until she had borne a son and he named him jesus,no you will be brought down to hades,1
12,MAT,2,NRSV,in the time of king herod after jesus was born in bethlehem of judea wise men from the east came to jerusalem asking where is the child who has been born king of the jews,above all clothe yourselves with love which binds everything together in perfect harmony,1
13,MAT,2,NRSV,for we observed his star at its rising and have come to pay him homage,they were trying to bring him in and lay him before jesus but finding no way to bring him in because of the crowd they went up on the roof and let him down with his bed through the tiles into the middle of the crowd in front of jesus,1
14,MAT,2,NRSV,when king herod heard this he was frightened and all jerusalem with him and calling together all the chief priests and scribes of the people he inquired of them where the messiah was to be born,for the son of man is lord of the sabbath,1
15,MAT,2,NRSV,they told him in bethlehem of judea for so it has been written by the prophet and you bethlehem in the land of judah are by no means least among the rulers of judah for from you shall come a ruler who is to shepherd my people israel,stop threatening them for you know that both of you have the same master in heaven and with him there is no partiality,1
16,MAT,2,NRSV,then herod secretly called for the wise men and learned from them the exact time when the star had appeared,then the son said to him father i have sinned against heaven and before you i am no longer worthy to be called your son,1
17,MAT,2,NRSV,then he sent them to bethlehem saying go and search diligently for the child and when you have found him bring me word so that i may also go and pay him homage,you have lived on the earth in luxury and in pleasure you have fattened your hearts in a day of slaughter,1
