,book,chapt,version,text,second,label,identifier
0,MAT,1,PCM,jesus christ wey dem born for david and abraham family naim story bi dis,pita kon sey even if odas run leave yu i nor go run leave yu oo jesus ansa am i tell yu di trut today for dis nite before fawol go do kukuruku two times yu go don deny mi three times,1,MAT.1
1,MAT,1,PCM,abraham born isaak isaak kon born jakob,wen di feast don rish half jesus enter di temple kon dey tish,1,MAT.1
2,MAT,1,PCM,na jakob born judah and en brodas judah born perez and zera wey en mama bi tamar perez born hezron and hezron born ram ram na amminadab papa amminadab born nashon nashon kon born salmon salmon born boaz wey rahab bi en mama na boaz bi obed papa wey rut bi en mama obed kon born jesse jesse born david wey bi israel pipol king,but pesin wey nor bilive man pikin nor go get life atall,1,MAT.1
3,MAT,1,PCM,david born solomon wey uraya wife bi en mama solomon born rehoboam rehoboam naim bi abijah papa and abijah kon born asa asa born jehoshafat jehoshafat kon born joram joram born uzzaya uzzaya born jotam jotam kon born ahaz wey born hezekaya hezekaya born manasseh manasseh naim bi amnon papa and na amon born josaya,josaya born jekonaya and en brodas for di time wey dem karry israel pipol go bi slave for babilon,0,MAT.1
4,MAT,1,PCM,josaya born jekonaya and en brodas for di time wey dem karry israel pipol go bi slave for babilon,di pesin wey dey tok dis tins know sey dis tins na true,1,MAT.1
5,MAT,1,PCM,afta dem karry israel pipol go babilon jekonaya kon born shealtiel shealtiel kon bi zerubabel papa zerubabel born abiud abiud naim bi eliakim papa eliakim kon born azor azor born zadok zadok naim bi akim papa akim kon born eliud eliud born eleazar wey bi matan papa matan kon born jakob jakob born josef wey bi mary husband dis mary naim bi jesus christ mama,wot of yu wey sey yu bi jew,1,MAT.1
6,MAT,1,PCM,so from abraham go rish david time na fourteen generashon dey and from david time go rish wen dem karry israel pipol go babilon na fourteen too and from dat time go rish wen dem born jesus christ na fourteen generashon e bi,if e nor gri listin to wetin di church leaders tok den make una trit am like sina or tax kollector,1,MAT.1
7,MAT,1,PCM,dis na how dem take born jesus christ,dem dey wiked to evribody and nor dey do wetin god wont,1,MAT.1
8,MAT,1,PCM,wen mary en mama don ready to marry josef before dem bigin sleep togeda mary kon si sey e don get belle with holy spirit pawa,josef wey won marry am na pesin wey dey fear god wellwell and bikos e nor won disgrace am e kon tink for en mind sey e nor go marry mary again,0,MAT.1
9,MAT,1,PCM,josef wey won marry am na pesin wey dey fear god wellwell and bikos e nor won disgrace am e kon tink for en mind sey e nor go marry mary again,as e dey tink how e go take leave am god angel show ensef to am for dream kon tell am sey josef david pikin make yu nor fear to marry mary bikos di pikin wey dey en belle na holy spirit giam,0,MAT.1
10,MAT,1,PCM,as e dey tink how e go take leave am god angel show ensef to am for dream kon tell am sey josef david pikin make yu nor fear to marry mary bikos di pikin wey dey en belle na holy spirit giam,e go born boy and yu go koll am jesus bikos e go save en pipol from dia sin,0,MAT.1
11,MAT,1,PCM,e go born boy and yu go koll am jesus bikos e go save en pipol from dia sin,dis tins go happen as god profet tok si di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am emmanuel wey mean god dey with us,0,MAT.1
12,MAT,1,PCM,dis tins go happen as god profet tok si di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am emmanuel wey mean god dey with us,wen josef wakeup e do wetin god angel tell am,0,MAT.1
13,MAT,1,PCM,wen josef wakeup e do wetin god angel tell am,and di pesin wey si mi don si god wey send mi,1,MAT.1
14,MAT,1,PCM,so e kon marry mary but e nor sleep with am until mary born di pikin,den e kon name am jesus,0,MAT.1
15,MAT,1,PCM,den e kon name am jesus,afta dem born jesus for betlehem wey dey judea for di time wey herod bi king some wise men from east kon go jerusalem dey ask where di jew king wey dem just born,0,MAT.1
16,MAT,2,PCM,afta dem born jesus for betlehem wey dey judea for di time wey herod bi king some wise men from east kon go jerusalem dey ask where di jew king wey dem just born,anybody wey get ear make e hear wetin i dey tok,1,MAT.2
17,MAT,2,PCM,wi si di star wey tok about am so wi kom woship am,wetin dem tok so vex king herod and jerusalem pipol,0,MAT.2
18,MAT,2,PCM,wetin dem tok so vex king herod and jerusalem pipol,some of di farisee pipol kon sey why una dey do wetin awa law tok sey make wi nor do for sabat day,1,MAT.2
19,MAT,2,PCM,so di king gada all di priest oga dem and di pipol wey sabi di law kon ask dem where una tink sey dem go for born christ,dem kon ansa na for betlehem wey dey judea just as profet isaya rite sey betlehem pipol una wey small pass for all di pipol wey dey rule judah na from among una di pesin wey go lead all my pipol for israel go from kom,0,MAT.2
20,MAT,2,PCM,dem kon ansa na for betlehem wey dey judea just as profet isaya rite sey betlehem pipol una wey small pass for all di pipol wey dey rule judah na from among una di pesin wey go lead all my pipol for israel go from kom,den herod koll di wise men go korna make dem for tell am wen dem si di star,0,MAT.2
21,MAT,2,PCM,den herod koll di wise men go korna make dem for tell am wen dem si di star,as e kom down from di boat e si plenty pipol so e sorry for dem kon heal all di pipol wey nor well among dem,1,MAT.2
22,MAT,2,PCM,e kon sey make una go look for di pikin wellwell,wen una don si am make una kom tell mi so dat mi too gogo woship am,0,MAT.2
23,MAT,2,PCM,wen una don si am make una kom tell mi so dat mi too gogo woship am,since una don stop to lie make una start to tok trut give una neighbour bikos all of us na membas for christ body,1,MAT.2
24,MAT,2,PCM,wen di king tok finish di wise men kon dey go and di star wey dem si before kon dey lead dem until e stop ontop di house where di pikin dey,so only dem kon enter boat go one place where pipol nor dey,1,MAT.2
25,MAT,2,PCM,wen dem si di star dem kon dey happy,at wons god spirit kon take am go inside di wildaness,1,MAT.2
26,MAT,2,PCM,dem enter di house si di pikin with en mama kon knee down woship am,and many priests kon bilive jesus christ,1,MAT.2
27,MAT,2,PCM,den dem open dia bag kon giam some gifts wey bi gold frankincense and myrrh,bikos god warn dem for dream make dem nor go back go meet herod dem kon pass anoda road go dia house,0,MAT.2
28,MAT,2,PCM,bikos god warn dem for dream make dem nor go back go meet herod dem kon pass anoda road go dia house,wen di wise men don go god angel kon tell josef for dream get up karry di pikin and en mama run go egypt make una stay der until i go tell yu wetin una go do bikos herod won kill di pikin,0,MAT.2
29,MAT,2,PCM,wen di wise men don go god angel kon tell josef for dream get up karry di pikin and en mama run go egypt make una stay der until i go tell yu wetin una go do bikos herod won kill di pikin,as jesus dey waka for galilee wotaside e si two brodas simon wey dem dey koll pita and andru en broda dem dey trow net inside di river dey katch fish,1,MAT.2
30,MAT,2,PCM,dat same nite josef wakeup karry di pikin and en mama kon run go egypt,dem stay der till herod die,0,MAT.2
31,MAT,2,PCM,dem stay der till herod die,dis tin make wetin god profet tok happen sey i koll my pikin komot from egypt,0,MAT.2
32,MAT,2,PCM,dis tin make wetin god profet tok happen sey i koll my pikin komot from egypt,but if e take di gold for temple swear curse go dey for en head,1,MAT.2
33,MAT,2,PCM,wen herod si sey di wise men deceive am e vex wellwell so e send sojas make dem go kill all di boys wey don rish two years kom down bikos e don rish two years wen di wise men kom meet am sey dem si di star,bikos god don put am for dia mind sey dem go do wetin e wont and dem go use one mind take give dia pawas to di beast until god word go komplete,1,MAT.2
34,MAT,2,PCM,dis one make wetin profet jeremaya tok happen sey pipol hear kry and shaut for rama,den e tell am make yu go wosh yor face inside di pond wey dem dey koll siloam dis name mean send,1,MAT.2
35,MAT,2,PCM,rashel dey kry for en pikin dem wey don die and nortin wey pipol tok fit make en heart strong,afta herod die god angel appear to josef for dream wen e still dey egypt kon tell am make yu get up karry di pikin and en mama go israel bikos di pesin wey won killam don die,0,MAT.2
36,MAT,2,PCM,afta herod die god angel appear to josef for dream wen e still dey egypt kon tell am make yu get up karry di pikin and en mama go israel bikos di pesin wey won killam don die,so e karry di pikin and en mama go israel back,0,MAT.2
37,MAT,2,PCM,so e karry di pikin and en mama go israel back,but jesus know wetin dem dey tink so e kon tell di man wey en hand die get up make yu kom stand for here so di man get up go stand near am,1,MAT.2
38,MAT,2,PCM,but wen e hear sey arkelaus dey rule for judea afta herod en papa don die josef kon fear to go der,afta god don warn am for dream e kon go galilee,0,MAT.2
39,MAT,2,PCM,afta god don warn am for dream e kon go galilee,wen e rish nazaret e kon stay der,0,MAT.2
40,MAT,2,PCM,wen e rish nazaret e kon stay der,but oda pipol kon dey ask for sign from heaven bikos dem won test jesus,1,MAT.2
41,MAT,2,PCM,dis one make wetin profet jeremaya tok happen sey dem go sey jesus na nazaret e from kom,den di demons beg jesus if yu drive us komot make yu send us go enter inside di pigs,1,MAT.2
42,MAT,3,PCM,for dat time john di baptist dey prish inside wildaness for judea sey make una turn from sin kom meet god bikos god kingdom don near,bikos e nor fit pay wetin e whole di king kon orda make dem sell di man en wife en shidren and evritin wey e get take pay di debt,1,MAT.3
43,MAT,3,PCM,na dis john profet isaya tok about sey one pesin dey shaut inside wildaness sey make una make god road strait,john wear klot wey dem use kamel hair make e use leda belt tie waist and na lokust and honey for bush e dey chop,0,MAT.3
44,MAT,3,PCM,john wear klot wey dem use kamel hair make e use leda belt tie waist and na lokust and honey for bush e dey chop,una faith small wellwell oo make una nor dey worry about wetin una go chop or drink,1,MAT.3
45,MAT,3,PCM,pipol from jerusalem judea and all di town wey dey near jordan river dey run go meet am and e kon baptize dem inside jordan river afta dem konfess dia sins,but wen e si many farisee and sadusi pipol dey kom make e baptize dem e kon tell dem una snake shidren who warn una about god judgement wey dey kom,0,MAT.3
46,MAT,3,PCM,but wen e si many farisee and sadusi pipol dey kom make e baptize dem e kon tell dem una snake shidren who warn una about god judgement wey dey kom,naw make una do wetin go show sey una don turn from sin kom meet god make una nor tink sey una don free bikos una sey abraham na awa papa,0,MAT.3
