,book,chapt,version,text,second,label
0,MAT,1,SCO1904,the buik o the generation o jesus the christ dauvids son the son o abram,but staunin by the cross o jesus war his mither and his mithers sister mary she o cleophas and mary o magdala,1
1,MAT,1,SCO1904,abram begat isaac and isaac begat jaucob and jaucob begat judah and his brethren,and on her heid a name written a mysterie babylon the great mither o harlots and o the abominations o the yirth and i saw the wumman drucken wi the blude o the saunts and wi the blude o the martyrs o jesus and i ferlied whan i saw her wi an unco ferliein,1
2,MAT,1,SCO1904,and judah begat pharez and zarah o tamar and pharez begat esrom and esrom begat aram,his disciples say to him gin it be sae wi a man and his wife it isna gude to mairry but he said to them a canna tak in this sayin but only thae to wham it is gien,1
3,MAT,1,SCO1904,and aram begat aminadab and aminadab begat naasson and naasson begat salmon,but he that didna come to ken and did deeds cain for stripes sal hae the sma punishment,1
4,MAT,1,SCO1904,and salmon begat boaz o rahab and boaz begat obed o ruth and obed begat jesse,ance mair the pharisees speirt at him hoo he had gotten his sicht,1
5,MAT,1,SCO1904,and jesse begat dauvid the king and dauvid the king begat solomon o her wha was uriahs,and to the messenger o the kirk in thyatira write thir things says the son o god he wha has his een like a lowin fire and his feet like brass made clear i ken yere warks and lealness and love and service and yere patient tholin and yere warks and the end to be mair nor the beginnin,1
6,MAT,1,SCO1904,and solomon begat rehoboam and rehoboam begat abijah and abijah begat asa,thou did mak him for a wee laigher nor the angels thou did croon him wi glorie and honor and did set him ower the warks o thy hauns,1
7,MAT,1,SCO1904,and asa begat jehosaphat and jehosaphat begat jehoram and jehoram begat uzziah,and the sea raise wi a great wun blawin,1
8,MAT,1,SCO1904,and uzziah begat jotham and jotham begat ahaz and ahaz begat hezekiah,for moses has putten doon anent the richtousness whilk is by the law the man wha dis them sal leeve by them,1
9,MAT,1,SCO1904,and hezekiah begat manasseh and manasseh begat amon and amon begat josiah,and whan he had meat he was revived,1
