,book,chapt,version,text,second,label,identifier
0,MAT,1,SCO1904,the buik o the generation o jesus the christ dauvids son the son o abram,abram begat isaac and isaac begat jaucob and jaucob begat judah and his brethren,0,MAT.1
1,MAT,1,SCO1904,abram begat isaac and isaac begat jaucob and jaucob begat judah and his brethren,nae kiss giedyeme but she sin i cam in hasna left aff to kiss my feet,1,MAT.1
2,MAT,1,SCO1904,and judah begat pharez and zarah o tamar and pharez begat esrom and esrom begat aram,and aram begat aminadab and aminadab begat naasson and naasson begat salmon,0,MAT.1
3,MAT,1,SCO1904,and aram begat aminadab and aminadab begat naasson and naasson begat salmon,div ye no ken that whateer may gang in at the mooth fins its way intil the paunch and is cuisten oot intil the sewer,1,MAT.1
4,MAT,1,SCO1904,and salmon begat boaz o rahab and boaz begat obed o ruth and obed begat jesse,and jesse begat dauvid the king and dauvid the king begat solomon o her wha was uriahs,0,MAT.1
5,MAT,1,SCO1904,and jesse begat dauvid the king and dauvid the king begat solomon o her wha was uriahs,and he wha betrayed him had gien them a sign and quo he wha i sall kiss that same is he grip him and at ance he cam to jesus and said hail maister wi unco kissin,1,MAT.1
6,MAT,1,SCO1904,and solomon begat rehoboam and rehoboam begat abijah and abijah begat asa,and asa begat jehosaphat and jehosaphat begat jehoram and jehoram begat uzziah,0,MAT.1
7,MAT,1,SCO1904,and asa begat jehosaphat and jehosaphat begat jehoram and jehoram begat uzziah,nor yet that afttimes soud he be offerin his sel like as the heighpriest enters the holieplace year by year wi ithers blude,1,MAT.1
8,MAT,1,SCO1904,and uzziah begat jotham and jotham begat ahaz and ahaz begat hezekiah,and hezekiah begat manasseh and manasseh begat amon and amon begat josiah,0,MAT.1
9,MAT,1,SCO1904,and hezekiah begat manasseh and manasseh begat amon and amon begat josiah,and tellt them that trokit wi doos tak thae things awa yese no mak my faithers hoose a hoose o traffic and the disciples mindit hoo it was putten doon thy hooses zeal devoors me than upspak the jews to him what ferlies hae ye to schaw us gin ye put oot yere haun to siclike wark,1,MAT.1
10,MAT,1,SCO1904,and josiah begat jehoiachin and his brethren narhaun the time they war carryt awa to babylon,for ilka man sal cairry his ain backburden,1,MAT.1
