,book,chapt,version,text,second,label,identifier
0,MAT,1,SIPB,disfala toktok ya hemi abaotem laen blong jisas kraes,hemi olsem olketa raetem finis insaet long buktambu bae mi preisim yu long ae blong olketa hu i no jiu an bae mi singim olketa singsing fo preisim nem blong yu,1,MAT.1
1,MAT,1,SIPB,jisas hemi bon kam long laen blong king deved an deved hemi bon kam long laen blong ebraham,ebraham hemi dadi blong aesak an aesak hemi dadi blong jekob an jekob hemi dadi blong jiuda wetem olketa brata blong hem an jiuda hemi dadi blong peres an sera wea mami blong tufala nao tama an peres hemi dadi blong hesron an hesron hemi dadi blong ram an ram hemi dadi blong aminadab an aminadab hemi dadi blong nason an nason hemi dadi blong salmon an salmon hemi dadi blong boas wea mami blong hem nao rehab an boas hemi dadi blong obed wea mami blong hem nao rut an obed hemi dadi blong jese an jese hemi dadi blong king deved,0,MAT.1
2,MAT,1,SIPB,ebraham hemi dadi blong aesak an aesak hemi dadi blong jekob an jekob hemi dadi blong jiuda wetem olketa brata blong hem an jiuda hemi dadi blong peres an sera wea mami blong tufala nao tama an peres hemi dadi blong hesron an hesron hemi dadi blong ram an ram hemi dadi blong aminadab an aminadab hemi dadi blong nason an nason hemi dadi blong salmon an salmon hemi dadi blong boas wea mami blong hem nao rehab an boas hemi dadi blong obed wea mami blong hem nao rut an obed hemi dadi blong jese an jese hemi dadi blong king deved,samfala dis insaet long bikfala haos olketa wakem long gol an silva an samfala dis olketa wakem long stik o long graon,1,MAT.1
3,MAT,1,SIPB,deved hemi dadi blong solomon wea mami blong hem nao waef blong yuraea fastaem an solomon hemi dadi blong rihoboam an rihoboam hemi dadi blong abaeja an abaeja hemi dadi blong asa an asa hemi dadi blong jehosafat an jehosafat hemi dadi blong joram an joram hemi dadi blong yusaea an yusaea hemi dadi blong jotam an jotam hemi dadi blong ehas an ehas hemi dadi blong hesekaea an hesekaea hemi dadi blong manase an manase hemi dadi blong emon an emon hemi dadi blong josaea an josaea hemi dadi blong jehoeakin wetem olketa brata blong hem wea olketa stap long taem olketa enemi i tekem olketa pipol blong israel fo go long kantri long babilon,jehoeakin hemi dadi blong sialtiel hu hemi stap taem olketa pipol blong israel olketa stap kam long babilon an sialtiel hemi dadi blong serababel an serababel hemi dadi blong abaeud an abaeud hemi dadi blong elaeakim an elaeakim hemi dadi blong aso an aso hemi dadi blong sadok an sadok hemi dadi blong akim an akim hemi dadi blong eliud an eliud hemi dadi blong eleasa an eleasa hemi dadi blong matan an matan hemi dadi blong jekob an jekob hemi dadi blong josef hasban blong meri an meri nao hemi mami blong jisas disfala mesaea ya,0,MAT.1
4,MAT,1,SIPB,jehoeakin hemi dadi blong sialtiel hu hemi stap taem olketa pipol blong israel olketa stap kam long babilon an sialtiel hemi dadi blong serababel an serababel hemi dadi blong abaeud an abaeud hemi dadi blong elaeakim an elaeakim hemi dadi blong aso an aso hemi dadi blong sadok an sadok hemi dadi blong akim an akim hemi dadi blong eliud an eliud hemi dadi blong eleasa an eleasa hemi dadi blong matan an matan hemi dadi blong jekob an jekob hemi dadi blong josef hasban blong meri an meri nao hemi mami blong jisas disfala mesaea ya,so stat long ebraham kam kasem king deved hemi garem fotinfala man,0,MAT.1
5,MAT,1,SIPB,so stat long ebraham kam kasem king deved hemi garem fotinfala man,eniwan hu hemi garem ia hemi mas heremgud olketa toktok wea holi spirit hemi talem long olketa sios,1,MAT.1
6,MAT,1,SIPB,an stat long king deved kam kasem taem wea olketa enemi i tekem olketa israel fo go long babilon hemi nara fotinfala man,an stat long taem wea olketa go long babilon kam kasem taem wea disfala mesaea hemi bon hemi garem nara fotinfala man tu,0,MAT.1
7,MAT,1,SIPB,an stat long taem wea olketa go long babilon kam kasem taem wea disfala mesaea hemi bon hemi garem nara fotinfala man tu,stori abaotem hao jisas kraes hemi bon hemi olsem,0,MAT.1
8,MAT,1,SIPB,stori abaotem hao jisas kraes hemi bon hemi olsem,taem meri mami blong jisas olketa mektambu long hem fo hemi maritim josef an tufala no stap tugeta yet paoa blong holi spirit hemi mekem meri fo garem pikinini long bele blong hem nao,0,MAT.1
9,MAT,1,SIPB,taem meri mami blong jisas olketa mektambu long hem fo hemi maritim josef an tufala no stap tugeta yet paoa blong holi spirit hemi mekem meri fo garem pikinini long bele blong hem nao,nao josef hemi wanfala gudfala man ya so taem hemi save dat meri hemi babule finis hemi no wande fo mekem meri fo filsem long ae blong evriwan,0,MAT.1
