,book,chapt,version,text,second,label
0,MAT,1,SWZZB1921,kitabu eba ukoo wa yesu kristo mwana wa daud mwana wa ibrahimu,marra mmoja wao akaenda mbio akatwaa sifongo akaijaza siki akaitia juu ya unyasi akamnywesha,1
1,MAT,1,SWZZB1921,ibrahimu alimzaa isaak isaak akamzaa yakob yakob akamzaa yuda na ndugu zake yuda na tamar wakamzaa parez na zara parez akamzaa esrom esrom akamzaa aram aram akamzaa aminadab aminadab akamzaa nahashon nahashon akamzaa salmon salmon na rahab wakamzaa boaz boaz na ruth wakamzaa obed obed akamzaa yese yese akamzaa mfalme daud,malaika akamjibu akamwambia mimi ni gabrieli nisimamae mbele ya mungu nami nalitumwa niseme nawe na kukupasha khabari hizi njema,1
2,MAT,1,SWZZB1921,mfalme daud na mke wa uria wakamzaa suleman suleman akamzaa rehoboam rehoboam akamzaa abia abia akamzaa asa asa akamzaa yehoshafat yehoshafat akamzaa yoram yoram akamzaa uzia uzia akamzaa yotham yotham akamzaa ahaz ahaz akamzaa hezekia hezekia akamzaa manasse manasse akamzaa amon amon akamzaa yosia yosia akamzaa yekonia na ndugu zake wakati wa uhamisho wa babel,yuda iskariote mmoja wa wathenashara akaenda zake kwa makuhani wakuu apate kumsaliti kwao,1
3,MAT,1,SWZZB1921,na haada ya uhamisho ule wa babel yekonia akamzaa shealtiel shealtiel akamzaa zerubbabel zerubbabel akamzaa ahihud ahihud akamzaa eliakim eliakim akamzaa azor azor akamzaa sadok sadok akamzaa ahim ahim akamzaa eliud eliud akamzaa eleazar eleazar akamzaa mattan mattan akamzaa yakob yakob akamzaa yusuf mumewe mariamu aliyemzaa yesu aitwae kristo,akaenda tena marra ya pili akaomba akinena baba yangu ikiwa haiwezekani kikombe hiki kinipitie nisipokinywa bassi mapenzi yako yafanyike,1
4,MAT,1,SWZZB1921,bassi vizazi vyote tangu ibrahimu hatta daud vizazi kumi na vine na tangu daud hatta uhamisho ule wa babel vizazi kumi na vine na tangu uhamisho ule wa babel hatta kristo vizazi kumi na vine,lakini walio wengi mungu hakupendezwa nao maana waliangamizwa jangwani,1
5,MAT,1,SWZZB1921,mariamu mama yake alipoposwa na yusuf kabla hawajakaribiana alionekana ana mimba kwa uweza wa roho mtakatifu,baadhi ya wayahudi wenye kutangatanga nao ni waganga wa pepo wakajaribu kutaja jina la bwana yesu juu yao waliopagawa na pepo wachafu wakisema twawaapizeni kwa yesu yule anaekhubiriwa na paolo,1
6,MAT,1,SWZZB1921,nae yusuf mumewe kwa kuwa mtu wa haki asitake kumwaibisha aliazimu kumwacha kwa siri,wala hakuna mtu anywae divai ya kale marra akatamani divai mpya maana asema ile ya kale ni njema zaidi,1
7,MAT,1,SWZZB1921,alipokuwa akifikiri haya malaika wa bwana akamtokea katika udoto akisema yusuf mwana wa daud usikhofu kumchukua mariamu mke wako maana mimba yake ni kwa uweza wa roho mtakatifu,wala hapana mtu katika wale wanafunzi aliyethubutu kumwuliza wewe nani,1
8,MAT,1,SWZZB1921,nae atazaa mtoto mwanamume nawe utamwita jina lake yesu maana ndiye atakaewaokoa watu wake na dhambi zao,pana tofauti za karama bali roho yule yule,1
9,MAT,1,SWZZB1921,haya yote yamekuwa illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akinena angalia mwanamke bikira atachukua mimba nae atazaa mwana na watamwita jina lake immanuel tafsiri yake mungu kati yetu,simon petro akamfuata yesu na mwanafunzi mwingine na yule mwanafunzi alikuwa anajulika na kuhani mkuu akaingia pamoja na yesu behewani mwa kuhani mkuu lakini petro akasimama nje mlangoni,1
10,MAT,1,SWZZB1921,yusuf alipoamka katika usingizi akatenda kama malaika wa bwana alivyomwagiza akamchukua mkewe asimjue kamwe hatta alipomzaa mwanawe wa kifungua mimba akainwita jina lake yesu,nyingine zikaanguka penye udongo mwema zikamea zikazaa mia mia,1
11,MAT,2,SWZZB1921,alipozaliwa yesu katika bethlehemu ya yahudi zamani za mfalme herode majusi wa mashariki walifika yerusalemi wakinena yuko wapi yeye aliyezaliwa mfalme wa wayahudi,kisha yesu akawaacha makutano akaingia nyumbani wanafunzi wake wakamwendea wakinena tufafanulie mfano wa magugu ya konde,1
12,MAT,2,SWZZB1921,kwa maana tuliiona nyola yake mashariki nasi tumekuja kumsujudu,usishindwe na ubaya bali uushinde ubaya kwa wema,1
13,MAT,2,SWZZB1921,mfalme herode aliposikia haya akafadhaika na yerusalemi pia pamoja nae,wamefanana na watoto waketio sokoni wakiitana wakisema tuliwapigia filimbi nanyi hamkucheza tuliomboleza nanyi hamkulia,1
14,MAT,2,SWZZB1921,akakusanya makuhani wakuu wote na waandishi wa watu akatafuta khabari kwao kristo azaliwa wapi,yeye siku hizo za niwili wake alimtolea yeye awezae kumwokoa na kumtoa katika mauti maombi na dua pamoja na kulia sana na machozi akasikilizwa kwa sababu ya kicho chake na ingawa yu mwana alijifunza kutii kwa mateso haya yaliyompata nae alipokwisha kukamilishwa akawa sababu ya wokofu wa milele kwa watu wote wanaomtii ametajwa na mungu kuwa kuhani mkuu kwa mfano wa daraja la melkizedeki,1
15,MAT,2,SWZZB1921,nao wakamwambia katika bethlehemu ya yahudi kwa maana ndivyo ilivyoandikwa na nabii na wewe bethlehemu wa inchi ya yuda huwi mdogo kamwe katika majumbe ya yuda kwa kuwa kwako atatoka liwali atakaewachunga watu wangu israeli,nao walipotafuta kumkamata wakawaogopa makutano kwa maana walimwona kuwa nabii,1
16,MAT,2,SWZZB1921,kisha herode akawaita majusi kwa faragha akapata kwao hakika ya muda ile nyota ilipoonekana,lakini ajapo yeye roho ya kweli atawaongozeni katika yote iliyo kweli kwa maana hatasema kwa shauri lake yeye lakini yote atakayosikia atayasema na mambo yajayo atawapasha khabari yake,1
17,MAT,2,SWZZB1921,akawapeleka bethlehemu akasema shikeni njia mkahoji sana mambo ya mtoto mkiisha kumwona nileteeni khabari illi nami nije nimsujudie,jitieni nira yangu jifunzeni kwa mfano wangu kwa kuwa mimi ni mpole na moyo wangu umenyenyekea nanyi mtapata raha rohoni mwenu kwa maana nira yangu laini na mzigo wangu mwepesi,1
18,MAT,2,SWZZB1921,nao waliposikia maneno ya mfalme wakashika njia na tazama ile nyota waliyoiona mashariki ikawatangulia hatta ikaenda ikasimama juu ya mahali alipokuwapo mtoto,waparthi na wamedi na waelamiti nao wakaao mesopotamia yahudi ua kappadokia ponto na asia frugia na pamfulia misri na pande za libua karibu na kurene na warumi wageni wayahudi na waongofu wakrete na waarabu tunawasikia hawa wakisema kwa maneno yetu matendo makuu ya mungu,1
19,MAT,2,SWZZB1921,wakaingia nyumbani wakamwona mtoto pamoja na mariamu mama yake wakaanguka wakasujudu nao walipokwisha kufungua hazina zao wakamtolea tumi dhahabu uvumba na manemane,na kwa kuwa ludda ulikuwa karibu na yoppa nao wamesikia ya kwamha petro yuko huko wakatuma watu wawili kwake kumsihi asikawie kuja kwao,1
20,MAT,2,SWZZB1921,nao wakiisha kuonywa katika ndoto wasimrudie herode wakaenda zao kwao kwa njia nyingine,ikiwa upo mwili wa asili na wa roho upo,1
21,MAT,2,SWZZB1921,na hawo walipokwisha kwenda zao malaika wu bwami akamtokea yusuf katika ndoto akiuena ondoka umchukue mtoto na mama yake ukimbilie misri ukakae huko mpaka nikuambiapo kwa maana herode anataka kumtafuta mtoto amwangamize,tena nawaambieni ya kwamba wawili wenu watakapopatana duniani katika jambo lo lote watakaloliomba watafanyiwa na baba yangu aliye mbinguni,1
22,MAT,2,SWZZB1921,akaondoka akamchukua mtoto na mama yake usiku akaenda zake hatta misri akawa huko mpaka alipokufa herode illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akisema kutoka misri nalimwita mwaua wangu,akawaambia sabato ilikuwa kwa ajili ya mwana adamu si mwana adamu kwa ajili ya sabato,1
23,MAT,2,SWZZB1921,bassi herode akiona ya kuwa amedhihakiwa na majusi akaghadhabika sana akatuma watu kuwaua watoto wote wanawaume waliokuwa bethlehemu na viungani mwake mwote tangu wa miaka miwili na waliopungua kwa muda aliouhakiki kwa majusi,maana yeye anenae kwa lugha haneni na watu bali na mungu maana hapana asikiae lakini anena mambo ya siri katika roho yake,1
