,book,chapt,version,text,second,label,identifier
0,MAT,1,SWZZB1921,kitabu eba ukoo wa yesu kristo mwana wa daud mwana wa ibrahimu,ibrahimu alimzaa isaak isaak akamzaa yakob yakob akamzaa yuda na ndugu zake yuda na tamar wakamzaa parez na zara parez akamzaa esrom esrom akamzaa aram aram akamzaa aminadab aminadab akamzaa nahashon nahashon akamzaa salmon salmon na rahab wakamzaa boaz boaz na ruth wakamzaa obed obed akamzaa yese yese akamzaa mfalme daud,0,MAT.1
1,MAT,1,SWZZB1921,ibrahimu alimzaa isaak isaak akamzaa yakob yakob akamzaa yuda na ndugu zake yuda na tamar wakamzaa parez na zara parez akamzaa esrom esrom akamzaa aram aram akamzaa aminadab aminadab akamzaa nahashon nahashon akamzaa salmon salmon na rahab wakamzaa boaz boaz na ruth wakamzaa obed obed akamzaa yese yese akamzaa mfalme daud,mfalme daud na mke wa uria wakamzaa suleman suleman akamzaa rehoboam rehoboam akamzaa abia abia akamzaa asa asa akamzaa yehoshafat yehoshafat akamzaa yoram yoram akamzaa uzia uzia akamzaa yotham yotham akamzaa ahaz ahaz akamzaa hezekia hezekia akamzaa manasse manasse akamzaa amon amon akamzaa yosia yosia akamzaa yekonia na ndugu zake wakati wa uhamisho wa babel,0,MAT.1
2,MAT,1,SWZZB1921,mfalme daud na mke wa uria wakamzaa suleman suleman akamzaa rehoboam rehoboam akamzaa abia abia akamzaa asa asa akamzaa yehoshafat yehoshafat akamzaa yoram yoram akamzaa uzia uzia akamzaa yotham yotham akamzaa ahaz ahaz akamzaa hezekia hezekia akamzaa manasse manasse akamzaa amon amon akamzaa yosia yosia akamzaa yekonia na ndugu zake wakati wa uhamisho wa babel,wakampa kipande cha samaki kilichookwa na asali kidogo,1,MAT.1
3,MAT,1,SWZZB1921,na haada ya uhamisho ule wa babel yekonia akamzaa shealtiel shealtiel akamzaa zerubbabel zerubbabel akamzaa ahihud ahihud akamzaa eliakim eliakim akamzaa azor azor akamzaa sadok sadok akamzaa ahim ahim akamzaa eliud eliud akamzaa eleazar eleazar akamzaa mattan mattan akamzaa yakob yakob akamzaa yusuf mumewe mariamu aliyemzaa yesu aitwae kristo,bassi vizazi vyote tangu ibrahimu hatta daud vizazi kumi na vine na tangu daud hatta uhamisho ule wa babel vizazi kumi na vine na tangu uhamisho ule wa babel hatta kristo vizazi kumi na vine,0,MAT.1
4,MAT,1,SWZZB1921,bassi vizazi vyote tangu ibrahimu hatta daud vizazi kumi na vine na tangu daud hatta uhamisho ule wa babel vizazi kumi na vine na tangu uhamisho ule wa babel hatta kristo vizazi kumi na vine,mariamu mama yake alipoposwa na yusuf kabla hawajakaribiana alionekana ana mimba kwa uweza wa roho mtakatifu,0,MAT.1
5,MAT,1,SWZZB1921,mariamu mama yake alipoposwa na yusuf kabla hawajakaribiana alionekana ana mimba kwa uweza wa roho mtakatifu,bassi hapo mauti hufanya kazi yake ndani yetu hali nzima ndani yenu,1,MAT.1
6,MAT,1,SWZZB1921,nae yusuf mumewe kwa kuwa mtu wa haki asitake kumwaibisha aliazimu kumwacha kwa siri,akaniambia mimi ni yesu mnazareti ambae wewe unaniudhi,1,MAT.1
7,MAT,1,SWZZB1921,alipokuwa akifikiri haya malaika wa bwana akamtokea katika udoto akisema yusuf mwana wa daud usikhofu kumchukua mariamu mke wako maana mimba yake ni kwa uweza wa roho mtakatifu,nae atazaa mtoto mwanamume nawe utamwita jina lake yesu maana ndiye atakaewaokoa watu wake na dhambi zao,0,MAT.1
8,MAT,1,SWZZB1921,nae atazaa mtoto mwanamume nawe utamwita jina lake yesu maana ndiye atakaewaokoa watu wake na dhambi zao,wala watu hawawashi taa na kuiweka chini ya kibaba bali juu ya kibao cha kuwekea taa nayo yaangaza wote waliomo nyumbani,1,MAT.1
9,MAT,1,SWZZB1921,haya yote yamekuwa illi litimie neno lililonenwa na bwana kwa ujumbe wa nabii akinena angalia mwanamke bikira atachukua mimba nae atazaa mwana na watamwita jina lake immanuel tafsiri yake mungu kati yetu,yusuf alipoamka katika usingizi akatenda kama malaika wa bwana alivyomwagiza akamchukua mkewe asimjue kamwe hatta alipomzaa mwanawe wa kifungua mimba akainwita jina lake yesu,0,MAT.1
