,book,chapt,version,text,second,label
0,MAT,1,TCL02,ibrahim oglu davut oglu isa mesihin soy kaydi soyledir ibrahim ishakin babasiydi ishak yakupun babasiydi yakup yahuda ve kardeslerinin babasiydi yahuda tamardan dogan peresle zerahin babasiydi peres hesronun babasiydi hesron ramin babasiydi ram amminadavin babasiydi amminadav nahsonun babasiydi nahson salmonun babasiydi salmon rahavdan dogan boazin babasiydi boaz ruttan dogan ovetin babasiydi ovet isayin babasiydi isay kral davutun babasiydi davut uriyanin karisindan dogan suleymanin babasiydi suleyman rehavamin babasiydi rehavam aviyanin babasiydi aviya asanin babasiydi asa yehosafatin babasiydi yehosafat yehoramin babasiydi yehoram uzziyanin babasiydi uzziya yotamin babasiydi yotam ahazin babasiydi ahaz hizkiyanin babasiydi hizkiya manassenin babasiydi manasse amonun babasiydi amon yosiyanin babasiydi yosiya babil surgunu sirasinda dogan yehoyakinle kardeslerinin babasiydi yehoyakin babil surgununden sonra dogan sealtielin babasiydi sealtiel zerubbabilin babasiydi zerubbabil avihutun babasiydi avihut elyakimin babasiydi elyakim azorun babasiydi azor sadokun babasiydi sadok ahimin babasiydi ahim elihutun babasiydi elihut elazarin babasiydi elazar mattanin babasiydi mattan yakupun babasiydi yakup meryemin kocasi yusufun babasiydi,meryemden mesih diye taninan isa dogdu,0
1,MAT,1,TCL02,meryemden mesih diye taninan isa dogdu,buna gore ibrahimden davuta kadar toplam on dort kusak davuttan babil surgunune kadar on dort kusak babil surgununden mesihe kadar on dort kusak vardir,0
2,MAT,1,TCL02,buna gore ibrahimden davuta kadar toplam on dort kusak davuttan babil surgunune kadar on dort kusak babil surgununden mesihe kadar on dort kusak vardir,isa mesihin dogumu soyle oldu annesi meryem yusufla nisanliydi,0
3,MAT,1,TCL02,isa mesihin dogumu soyle oldu annesi meryem yusufla nisanliydi,ama birlikte olmalarindan once meryemin kutsal ruhtan gebe oldugu anlasildi,0
4,MAT,1,TCL02,ama birlikte olmalarindan once meryemin kutsal ruhtan gebe oldugu anlasildi,nisanlisi yusuf dogru bir adam oldugu ve onu herkesin onunde utandirmak istemedigi icin ondan sessizce ayrilmak niyetindeydi,0
5,MAT,1,TCL02,nisanlisi yusuf dogru bir adam oldugu ve onu herkesin onunde utandirmak istemedigi icin ondan sessizce ayrilmak niyetindeydi,ama boyle dusunmesi uzerine rabbin bir melegi ruyada ona gorunerek soyle dedi davut oglu yusuf meryemi kendine es olarak almaktan korkma,0
6,MAT,1,TCL02,ama boyle dusunmesi uzerine rabbin bir melegi ruyada ona gorunerek soyle dedi davut oglu yusuf meryemi kendine es olarak almaktan korkma,cunku onun rahminde olusan kutsal ruhtandir,0
7,MAT,1,TCL02,cunku onun rahminde olusan kutsal ruhtandir,butun bunlar rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu iste kiz gebe kalip bir ogul doguracak adini immanuel koyacaklar,0
8,MAT,1,TCL02,butun bunlar rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu iste kiz gebe kalip bir ogul doguracak adini immanuel koyacaklar,yusuf uyaninca rabbin meleginin buyruguna uydu ve meryemi es olarak yanina aldi,0
9,MAT,1,TCL02,yusuf uyaninca rabbin meleginin buyruguna uydu ve meryemi es olarak yanina aldi,ama oglunu doguruncaya dek yusuf ona dokunmadi,0
10,MAT,1,TCL02,ama oglunu doguruncaya dek yusuf ona dokunmadi,isanin kral hirodes devrinde yahudiyenin beytlehem kentinde dogmasindan sonra bazi yildizbilimciler dogudan yerusalim e gelip soyle dediler yahudilerin krali olarak dogan cocuk nerede,0
11,MAT,2,TCL02,isanin kral hirodes devrinde yahudiyenin beytlehem kentinde dogmasindan sonra bazi yildizbilimciler dogudan yerusalim e gelip soyle dediler yahudilerin krali olarak dogan cocuk nerede,doguda onun yildizini gorduk ve ona tapinmaya geldik,0
12,MAT,2,TCL02,doguda onun yildizini gorduk ve ona tapinmaya geldik,kral hirodes bunu duyunca kendisi de butun yerusalim halki da tedirgin oldu,0
13,MAT,2,TCL02,kral hirodes bunu duyunca kendisi de butun yerusalim halki da tedirgin oldu,butun baskahinleri ve halkin din bilginleri ni toplayarak onlara mesihin nerede dogacagini sordu,0
14,MAT,2,TCL02,butun baskahinleri ve halkin din bilginleri ni toplayarak onlara mesihin nerede dogacagini sordu,cunku peygamber araciligiyla soyle yazilmistir ey sen yahudadaki beytlehem yahuda onderleri arasinda hic de en onemsizi degilsin cunku halkim israili gudecek onder senden cikacak,0
15,MAT,2,TCL02,cunku peygamber araciligiyla soyle yazilmistir ey sen yahudadaki beytlehem yahuda onderleri arasinda hic de en onemsizi degilsin cunku halkim israili gudecek onder senden cikacak,bunun uzerine hirodes yildizbilimcileri gizlice cagirip onlardan yildizin gorundugu ani tam olarak ogrendi,0
16,MAT,2,TCL02,bunun uzerine hirodes yildizbilimcileri gizlice cagirip onlardan yildizin gorundugu ani tam olarak ogrendi,gidin cocugu dikkatle arayin bulunca bana haber verin ben de gelip ona tapinayim diyerek onlari beytleheme gonderdi,0
17,MAT,2,TCL02,gidin cocugu dikkatle arayin bulunca bana haber verin ben de gelip ona tapinayim diyerek onlari beytleheme gonderdi,yildizbilimciler krali dinledikten sonra yola ciktilar,0
18,MAT,2,TCL02,yildizbilimciler krali dinledikten sonra yola ciktilar,doguda gormus olduklari yildiz onlara yol gosteriyordu cocugun bulundugu yerin uzerine varinca durdu,0
19,MAT,2,TCL02,doguda gormus olduklari yildiz onlara yol gosteriyordu cocugun bulundugu yerin uzerine varinca durdu,yildizi gorduklerinde olaganustu bir sevinc duydular,0
20,MAT,2,TCL02,yildizi gorduklerinde olaganustu bir sevinc duydular,eve girip cocugu annesi meryemle birlikte gorunce yere kapanarak ona tapindilar,0
21,MAT,2,TCL02,eve girip cocugu annesi meryemle birlikte gorunce yere kapanarak ona tapindilar,hazinelerini acip ona armagan olarak altin gunnuk ve mur sundular,0
22,MAT,2,TCL02,hazinelerini acip ona armagan olarak altin gunnuk ve mur sundular,sonra gordukleri bir duste hirodesin yanina donmemeleri icin uyarilinca ulkelerine baska yoldan donduler,0
23,MAT,2,TCL02,sonra gordukleri bir duste hirodesin yanina donmemeleri icin uyarilinca ulkelerine baska yoldan donduler,yildizbilimciler gittikten sonra rabbin bir melegi yusufa ruyada gorunerek kalk dedi cocukla annesini al misira kac,0
24,MAT,2,TCL02,yildizbilimciler gittikten sonra rabbin bir melegi yusufa ruyada gorunerek kalk dedi cocukla annesini al misira kac,ben sana haber verinceye dek orada kal,0
25,MAT,2,TCL02,ben sana haber verinceye dek orada kal,cunku hirodes oldurmek icin cocugu aratacak,0
26,MAT,2,TCL02,cunku hirodes oldurmek icin cocugu aratacak,boylece yusuf kalkti ayni gece cocukla annesini alip misira dogru yola cikti,0
27,MAT,2,TCL02,boylece yusuf kalkti ayni gece cocukla annesini alip misira dogru yola cikti,bu rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu oglumu misirdan cagirdim,0
28,MAT,2,TCL02,bu rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu oglumu misirdan cagirdim,hirodes yildizbilimciler tarafindan aldatildigini anlayinca cok ofkelendi,0
29,MAT,2,TCL02,hirodes yildizbilimciler tarafindan aldatildigini anlayinca cok ofkelendi,onlardan ogrendigi vakti goz onune alarak beytlehem ve butun yoresinde bulunan iki ve iki yasindan kucuk erkek cocuklarin hepsini oldurttu,0
30,MAT,2,TCL02,onlardan ogrendigi vakti goz onune alarak beytlehem ve butun yoresinde bulunan iki ve iki yasindan kucuk erkek cocuklarin hepsini oldurttu,boylelikle peygamber yeremya araciligiyla bildirilen su soz yerine gelmis oldu ramada bir ses duyuldu aglayis ve aci feryat sesleri cocuklari icin aglayan rahel avutulmak istemiyor,0
31,MAT,2,TCL02,boylelikle peygamber yeremya araciligiyla bildirilen su soz yerine gelmis oldu ramada bir ses duyuldu aglayis ve aci feryat sesleri cocuklari icin aglayan rahel avutulmak istemiyor,cunku onlar yok artik hirodes oldukten sonra rabbin bir melegi misirda yusufa ruyada gorunerek kalk dedi cocukla annesini al israile don,0
32,MAT,2,TCL02,cunku onlar yok artik hirodes oldukten sonra rabbin bir melegi misirda yusufa ruyada gorunerek kalk dedi cocukla annesini al israile don,cunku cocugun canina kiymak isteyenler oldu,0
33,MAT,2,TCL02,cunku cocugun canina kiymak isteyenler oldu,bunun uzerine yusuf kalkti cocukla annesini alip israile dondu,0
34,MAT,2,TCL02,bunun uzerine yusuf kalkti cocukla annesini alip israile dondu,ama yahudiyede hirodesin yerine oglu arhelasin kral oldugunu duyunca oraya gitmekten korktu,0
35,MAT,2,TCL02,ama yahudiyede hirodesin yerine oglu arhelasin kral oldugunu duyunca oraya gitmekten korktu,oraya varinca nasira denen kente yerlesti,0
36,MAT,2,TCL02,oraya varinca nasira denen kente yerlesti,bu peygamberler araciligiyla bildirilen ona nasirali denecektir sozu yerine gelsin diye oldu,0
37,MAT,2,TCL02,bu peygamberler araciligiyla bildirilen ona nasirali denecektir sozu yerine gelsin diye oldu,o gunlerde vaftizci yahya yahudiye colunde ortaya cikti,0
38,MAT,3,TCL02,o gunlerde vaftizci yahya yahudiye colunde ortaya cikti,su cagriyi yapiyordu tovbe edin goklerin egemenligi yaklasmistir,0
39,MAT,3,TCL02,su cagriyi yapiyordu tovbe edin goklerin egemenligi yaklasmistir,nitekim peygamber yesaya araciligiyla sozu edilen kisi yahyadir,0
40,MAT,3,TCL02,nitekim peygamber yesaya araciligiyla sozu edilen kisi yahyadir,yesaya soyle demisti colde haykiran rabbin yolunu hazirlayin gececegi patikalari duzleyin diye sesleniyor,0
41,MAT,3,TCL02,yesaya soyle demisti colde haykiran rabbin yolunu hazirlayin gececegi patikalari duzleyin diye sesleniyor,yahyanin deve tuyunden giysisi belinde deri kusagi vardi,0
42,MAT,3,TCL02,yahyanin deve tuyunden giysisi belinde deri kusagi vardi,yerusalim butun yahudiye ve seria yoresinin halki ona geliyor gunahlarini itiraf ediyor onun tarafindan seria irmaginda vaftiz ediliyordu,0
43,MAT,3,TCL02,yerusalim butun yahudiye ve seria yoresinin halki ona geliyor gunahlarini itiraf ediyor onun tarafindan seria irmaginda vaftiz ediliyordu,ne var ki bircok ferisiyle sadukinin vaftiz olmak icin kendisine geldigini goren yahya onlara soyle seslendi ey engerekler soyu gelecek gazaptan kacmak icin sizi kim uyardi,0
44,MAT,3,TCL02,ne var ki bircok ferisiyle sadukinin vaftiz olmak icin kendisine geldigini goren yahya onlara soyle seslendi ey engerekler soyu gelecek gazaptan kacmak icin sizi kim uyardi,bundan boyle tovbeye yarasir meyveler verin,0
45,MAT,3,TCL02,bundan boyle tovbeye yarasir meyveler verin,kendi kendinize biz ibrahimin soyundaniz diye dusunmeyin,0
46,MAT,3,TCL02,kendi kendinize biz ibrahimin soyundaniz diye dusunmeyin,ben size sunu soyleyeyim tanri ibrahime su taslardan da cocuk yaratabilir,0
47,MAT,3,TCL02,ben size sunu soyleyeyim tanri ibrahime su taslardan da cocuk yaratabilir,iyi meyve vermeyen her agac kesilip atese atilir,0
48,MAT,3,TCL02,iyi meyve vermeyen her agac kesilip atese atilir,gerci ben sizi tovbe icin suyla vaftiz ediyorum ama benden sonra gelen benden daha gucludur,0
49,MAT,3,TCL02,gerci ben sizi tovbe icin suyla vaftiz ediyorum ama benden sonra gelen benden daha gucludur,ben onun cariklarini cikarmaya bile layik degilim,0
50,MAT,3,TCL02,ben onun cariklarini cikarmaya bile layik degilim,o sizi kutsal ruhla ve atesle vaftiz edecek,0
51,MAT,3,TCL02,o sizi kutsal ruhla ve atesle vaftiz edecek,harman yerini temizleyecek bugdayini toplayip ambara yigacak samani ise sonmeyen ateste yakacak,0
52,MAT,3,TCL02,harman yerini temizleyecek bugdayini toplayip ambara yigacak samani ise sonmeyen ateste yakacak,bu sirada isa yahya tarafindan vaftiz edilmek uzere celileden seria irmagina yahyanin yanina geldi,0
53,MAT,3,TCL02,bu sirada isa yahya tarafindan vaftiz edilmek uzere celileden seria irmagina yahyanin yanina geldi,ne var ki yahya benim senin tarafindan vaftiz edilmem gerekirken sen mi bana geliyorsun,0
54,MAT,3,TCL02,ne var ki yahya benim senin tarafindan vaftiz edilmem gerekirken sen mi bana geliyorsun,isa ona su karsiligi verdi simdilik buna razi ol cunku dogru olan her seyi bu sekilde yerine getirmemiz gerekir,0
55,MAT,3,TCL02,isa ona su karsiligi verdi simdilik buna razi ol cunku dogru olan her seyi bu sekilde yerine getirmemiz gerekir,o zaman yahya onun dedigine razi oldu,0
56,MAT,3,TCL02,o zaman yahya onun dedigine razi oldu,isa vaftiz olur olmaz sudan cikti,0
57,MAT,3,TCL02,isa vaftiz olur olmaz sudan cikti,o anda gokler acildi ve isa tanrinin ruhunun guvercin gibi inip uzerine kondugunu gordu,0
58,MAT,3,TCL02,o anda gokler acildi ve isa tanrinin ruhunun guvercin gibi inip uzerine kondugunu gordu,goklerden gelen bir ses sevgili oglum budur ondan hosnudum dedi,0
59,MAT,3,TCL02,goklerden gelen bir ses sevgili oglum budur ondan hosnudum dedi,bundan sonra isa iblis tarafindan denenmek uzere ruh araciligiyla cole goturuldu,0
60,MAT,4,TCL02,bundan sonra isa iblis tarafindan denenmek uzere ruh araciligiyla cole goturuldu,isa kirk gun kirk gece oruc tuttuktan sonra acikti,0
61,MAT,4,TCL02,isa kirk gun kirk gece oruc tuttuktan sonra acikti,o zaman ayartici yaklasip tanrinin ogluysan soyle su taslar ekmek olsun dedi,0
