,book,chapt,version,text,second,label
0,MAT,1,TCL02,ibrahim oglu davut oglu isa mesihin soy kaydi soyledir ibrahim ishakin babasiydi ishak yakupun babasiydi yakup yahuda ve kardeslerinin babasiydi yahuda tamardan dogan peresle zerahin babasiydi peres hesronun babasiydi hesron ramin babasiydi ram amminadavin babasiydi amminadav nahsonun babasiydi nahson salmonun babasiydi salmon rahavdan dogan boazin babasiydi boaz ruttan dogan ovetin babasiydi ovet isayin babasiydi isay kral davutun babasiydi davut uriyanin karisindan dogan suleymanin babasiydi suleyman rehavamin babasiydi rehavam aviyanin babasiydi aviya asanin babasiydi asa yehosafatin babasiydi yehosafat yehoramin babasiydi yehoram uzziyanin babasiydi uzziya yotamin babasiydi yotam ahazin babasiydi ahaz hizkiyanin babasiydi hizkiya manassenin babasiydi manasse amonun babasiydi amon yosiyanin babasiydi yosiya babil surgunu sirasinda dogan yehoyakinle kardeslerinin babasiydi yehoyakin babil surgununden sonra dogan sealtielin babasiydi sealtiel zerubbabilin babasiydi zerubbabil avihutun babasiydi avihut elyakimin babasiydi elyakim azorun babasiydi azor sadokun babasiydi sadok ahimin babasiydi ahim elihutun babasiydi elihut elazarin babasiydi elazar mattanin babasiydi mattan yakupun babasiydi yakup meryemin kocasi yusufun babasiydi,bu da yaratilisin istegiyle degil onu amacsizliga teslim eden tanrinin istegiyle oldu,1
1,MAT,1,TCL02,meryemden mesih diye taninan isa dogdu,cunku hic kimse atilan temelden yani isa mesihten baska bir temel atamaz,1
2,MAT,1,TCL02,buna gore ibrahimden davuta kadar toplam on dort kusak davuttan babil surgunune kadar on dort kusak babil surgununden mesihe kadar on dort kusak vardir,sahte peygamberlerden sakinin onlar size kuzu postuna burunerek yaklasirlar ama ozde yirtici kurtlardir,1
3,MAT,1,TCL02,isa mesihin dogumu soyle oldu annesi meryem yusufla nisanliydi,kim tanrinin tapinagini yikarsa tanri da onu yikacak,1
4,MAT,1,TCL02,ama birlikte olmalarindan once meryemin kutsal ruhtan gebe oldugu anlasildi,ama bagcilar adamin oglunu gorunce birbirlerine mirasci bu gelin onu oldurup mirasina konalim dediler,1
5,MAT,1,TCL02,nisanlisi yusuf dogru bir adam oldugu ve onu herkesin onunde utandirmak istemedigi icin ondan sessizce ayrilmak niyetindeydi,isa mesihin beden alip geldigini kabul eden her ruh tanridandir,1
6,MAT,1,TCL02,ama boyle dusunmesi uzerine rabbin bir melegi ruyada ona gorunerek soyle dedi davut oglu yusuf meryemi kendine es olarak almaktan korkma,ben de canlariniz ugruna malimi da kendimi de seve seve harcayacagim,1
7,MAT,1,TCL02,cunku onun rahminde olusan kutsal ruhtandir,sonra solundakilere soyle diyecek ey lanetliler cekilin onumden iblisle melekleri icin hazirlanmis sonmez atese gidin cunku acikmistim bana yiyecek vermediniz susamistim bana icecek vermediniz yabanciydim beni iceri almadiniz ciplaktim beni giydirmediniz hastaydim zindandaydim benimle ilgilenmediniz,1
8,MAT,1,TCL02,butun bunlar rabbin peygamber araciligiyla bildirdigi su soz yerine gelsin diye oldu iste kiz gebe kalip bir ogul doguracak adini immanuel koyacaklar,o ozellikle benim icin cok degerlidir,1
9,MAT,1,TCL02,yusuf uyaninca rabbin meleginin buyruguna uydu ve meryemi es olarak yanina aldi,hatta ogrencileri kendi peslerinden suruklemek icin sizin aranizdan da sapik sozler soyleyen kisiler cikacak,1
10,MAT,1,TCL02,ama oglunu doguruncaya dek yusuf ona dokunmadi,icinizden birinin bilgelikte eksigi varsa herkese comertce azarlamadan veren tanridan istesin kendisine verilecektir,1
11,MAT,2,TCL02,isanin kral hirodes devrinde yahudiyenin beytlehem kentinde dogmasindan sonra bazi yildizbilimciler dogudan yerusalim e gelip soyle dediler yahudilerin krali olarak dogan cocuk nerede,kotu ruh adami sik sik etkisi altina aliyordu,1
12,MAT,2,TCL02,doguda onun yildizini gorduk ve ona tapinmaya geldik,yoksa babamdan yardim isteyemez miyim saniyorsun,1
13,MAT,2,TCL02,kral hirodes bunu duyunca kendisi de butun yerusalim halki da tedirgin oldu,ayaklari ayi ayagi agzi aslan agzi gibiydi,1
14,MAT,2,TCL02,butun baskahinleri ve halkin din bilginleri ni toplayarak onlara mesihin nerede dogacagini sordu,biraz ilerledi yuzustu yere kapanip dua etmeye basladi,1
15,MAT,2,TCL02,cunku peygamber araciligiyla soyle yazilmistir ey sen yahudadaki beytlehem yahuda onderleri arasinda hic de en onemsizi degilsin cunku halkim israili gudecek onder senden cikacak,cehennemden alevlenmis olarak yasamimizin gidisini alevlendirir,1
16,MAT,2,TCL02,bunun uzerine hirodes yildizbilimcileri gizlice cagirip onlardan yildizin gorundugu ani tam olarak ogrendi,buna benzer daha bircok sey yapiyorsunuz,1
17,MAT,2,TCL02,gidin cocugu dikkatle arayin bulunca bana haber verin ben de gelip ona tapinayim diyerek onlari beytleheme gonderdi,oyleyse kardeslerim borcluyuz ama benlige gore yasamak icin benlige borclu degiliz,1
18,MAT,2,TCL02,yildizbilimciler krali dinledikten sonra yola ciktilar,senin kim oldugunu biliyorum tanrinin kutsalisin sen isa sus cik adamdan diyerek kotu ruhu azarladi,1
19,MAT,2,TCL02,doguda gormus olduklari yildiz onlara yol gosteriyordu cocugun bulundugu yerin uzerine varinca durdu,kizindan cini kovmasi icin isaya rica etti,1
20,MAT,2,TCL02,yildizi gorduklerinde olaganustu bir sevinc duydular,bu 144 000 kisi tahtin onunde dort yaratigin ve ihtiyarlarin onunde yeni bir ezgi soyluyordu,1
21,MAT,2,TCL02,eve girip cocugu annesi meryemle birlikte gorunce yere kapanarak ona tapindilar,ama petrus usteleyerek seninle birlikte olmem gerekse bile seni asla inkar etmem dedi,1
22,MAT,2,TCL02,hazinelerini acip ona armagan olarak altin gunnuk ve mur sundular,ama ne mutlu size ki gozleriniz goruyor kulaklariniz isitiyor size dogrusunu soyleyeyim nice peygamberler nice dogru kisiler sizin gorduklerinizi gormek istediler ama goremediler,1
23,MAT,2,TCL02,sonra gordukleri bir duste hirodesin yanina donmemeleri icin uyarilinca ulkelerine baska yoldan donduler,kendi dogruluklarina guvenip baskalarina tepeden bakan bazi kisilere isa su benzetmeyi anlatti biri ferisi oburu vergi gorevlisi iki kisi dua etmek uzere tapinaga cikti,1
24,MAT,2,TCL02,yildizbilimciler gittikten sonra rabbin bir melegi yusufa ruyada gorunerek kalk dedi cocukla annesini al misira kac,boylece her birimiz kendi adina tanriya hesap verecektir,1
25,MAT,2,TCL02,ben sana haber verinceye dek orada kal,soyle ki goklerin egemenligi koleleriyle hesaplasmak isteyen bir krala benzer,1
26,MAT,2,TCL02,cunku hirodes oldurmek icin cocugu aratacak,oraya varinca nasira denen kente yerlesti,1
27,MAT,2,TCL02,boylece yusuf kalkti ayni gece cocukla annesini alip misira dogru yola cikti,yedi ekmekle birkac kucuk baligimiz var dediler,1
