,book,chapt,version,text,second,label
0,MAT,1,USNT,here is tha femlie line o jesus christ tha sinn o davit an o abraham abraham wus tha faither o isaac isaac tha faither o jacob jacob tha faither o judah an his brithers,ir yous as slow on tha uptake as tha ithers,1
1,MAT,1,USNT,an judah wus tha faither o perez an zerah an thair mither wus tamar,nathan wus tha sinn o davit,1
2,MAT,1,USNT,perez wus tha faither o hezron hezron tha faither o ram,if ye gie me an answer then all tell ye bi whut thortie a dae these things,1
3,MAT,1,USNT,ram wus tha faither o amminadab amminadab tha faither o nahshon an nahshon tha faither o salmon,the tyed jesus up an maircht him aff an hannit him ower tae pilate,1
4,MAT,1,USNT,salmon wus tha faither o boaz an tha mither o boaz wus rahab,becas o whut wus happenin jesus freens tried tae tak tha houl o him fer the thocht he wus oot o his mine,1
5,MAT,1,USNT,boaz wus tha faither o obed an tha mither o obed wus ruth,efter tha crood wus put oot tha dure jesus gaed in an tuk tha wee lass bi tha han an she ris tae hir feet,1
6,MAT,1,USNT,obed wus tha faither o jesse an jesse tha faither o king davit,an yisll be haitit bi aa fowk on accoont o me,1
7,MAT,1,USNT,davit wus tha faither o solomon bi hir that wus yinst tha wife o uriah,a tell ye tha truith hell pit that sarvint in chairge o iveriethin he haes,1
8,MAT,1,USNT,solomon wus tha faither o rehoboam rehoboam tha faither o abijah abijah tha faither o asa asa tha faither o jehoshaphat jehoshaphat tha faither o jehoram jehoram tha faither o uzziah,that wus roon aboot tha time the wur cairriet aff tae babylon,1
9,MAT,1,USNT,uzziah wus tha faither o jotham jotham tha faither o ahaz ahaz tha faither o hezekiah,whaniver he wus daen prayin jesus tuk his follaers athort tha kidron glen,1
10,MAT,1,USNT,hezekiah wus tha faither o manasseh manasseh tha faither o amon an amon tha faither o josiah,levi wus tha sinn o simeon,1
11,MAT,1,USNT,josiah wus tha faither o jeconiah an his brithers,weel jhone wus baptisin fowk forbye at aenon nearhan salim fer thair wus watter aplentie thair an fowks wus cumin lukkin baptised,1
12,MAT,1,USNT,that wus roon aboot tha time the wur cairriet aff tae babylon,nixt day whan the haed cum doon aff tha hill a hale crood o fowk cum tae meet him an this man caad oot frae tha crood maister a beg ye wud ye tak a luk at ma sinn,1
13,MAT,1,USNT,an efter the wur cairriet awa tae babylon jeconiah becum tha faither o shealtiel an shealtiel tha faither o zerubbabel,tha same thing happent tae tha saicont brither an tha thurd richt on doon tae tha seiventh,1
14,MAT,1,USNT,zerubbabel wus tha faither o abiud abiud tha faither o eliakim an eliakim tha faither o azor,he wud be gien tha coul shooder bi tha elders tha heid preeshts an tha maisters o tha laa he maun be put tae deith an efter thrie days he wud rise agane frae tha deid,1
15,MAT,1,USNT,azor wus tha faither o zadok zadok tha faither o akim an akim tha faither o eliud,jesus toul thaim ma taichin is no ma ain,1
16,MAT,1,USNT,eliud wus tha faither o eleazar eleazar tha faither o matthan an matthan tha faither o jacob,an jesus cum bak in tha pooer o tha spirit intae galilee an he wus tha taak o tha hale kintrie roon aboot,1
17,MAT,1,USNT,an jacob wus tha faither o joseph an joseph wus merriet tae mary,let him that haes ears in his heid tak tent,1
18,MAT,1,USNT,an mary wus tha mither o jesus tha yin caad christ,an if a bodie gies ye a slap on tha cheek turn tha ither side til him forbye,1
19,MAT,1,USNT,that made fowerteen generations in aa frae abraham tae davit fowerteen frae davit til the wur cairriet awa tae babylon an anither fowerteen frae that tae tha cumin o christ,yit tae aa thaim that did tak him in an trustit on his name he gien thaim tha richt tae be makkit childer o god childer that wus no boarn bi tha wye o nature ner bi tha wull o flesh an bluid ner bi tha notion a husban micht hae,1
20,MAT,1,USNT,an this is hoo tha birth o jesus christ cum aboot his mither mary wus promist tae joseph but afore the cum thegither she fun oot she wus wi a wean,an tha crood o fowk wus aa bye thairsels wi excitement whaniver the saa jesus an the run up tae bid him walcum,1
21,MAT,1,USNT,an it wus bi tha halie spirit,but yous hae turnt it intae a den o robbers an efter that iverie day jesus stairtit lairnin tha fowk in tha hoose o god,1
22,MAT,1,USNT,noo joseph hir husban wus a dacent man an he didnae want hir tae be affrontit sae he thocht tae senn hir awa on tha quait,serug wus tha sinn o reu,1
23,MAT,1,USNT,he wus thinkin aboot aa this whan lo an behoul an angel o tha loard appeart tae him in a draim an saed joseph sinn o davit dinnae be feart tae tak mary fer yer wife fer tha wean shes cairryin is o tha halie spirit,sae am tellin ye tak nae thocht fer yer life whut yell ait or whut yell drink ner yit aboot yer bodie whut claes yell pit on ye,1
24,MAT,1,USNT,she wull hae a sinn an ye ir tae gie him tha name jesus fer he wull save his ain fowk frae thair wrangdaeins,efter that jesus left galilee an went awa tae tha district roon tyre an sidon,1
25,MAT,1,USNT,noo aa this wus daen tae bring aboot whut tha loard haed saed throu tha proaphit a virgin wull cairrie a wean a sinn an whan hes boarn hell be caad immanuel mainin god is wi iz,tha sarvint faad doon on his knees afore him,1
26,MAT,1,USNT,whaniver joseph waakent up he daen whut tha angel o tha loard haed toul him tae dae an he tuk mary hame fer tae be his wife,fer jesus knowed richt frae tha stairt whut yins o thaim wudnae believe an wha it wus that wud bethray him,1
27,MAT,1,USNT,but he didnae sleep wi hir til efter tha wean wus boarn,then yer faither that sees whut is daen on tha quait wull reward ye,1
28,MAT,1,USNT,an he caad him bi tha name jesus,fer a didnae cum intae tha warl tae judge it but tae save it,1
29,MAT,2,USNT,efter jesus wus boarn in bethlehem in judea durin tha time that herod wus king spaemen frae tha east cum tae jerusalem an the axt whar is tha yin that haes bin boarn king o tha jews,maister he saed ye hannit ower five baags tae me,1
30,MAT,2,USNT,fer we hae saen his starn in tha east an hae cum fer tae woarship him,fer a gien thaim tha wurds ye gien tae me an the tuk thaim tae hairt,1
31,MAT,2,USNT,whaniver king herod heerd this he wus baadlie put aboot an aa jerusalem wi him,then he saed tae thaim ma hairts brekkin wi anguish near tae deith,1
32,MAT,2,USNT,sae he brocht thegither aa tha jewish fowks heid preeshts an maisters o tha laa an he axt thaim whar tha christ wus tae be boarn,if this man wusnae frae god he cudnae a daen ocht ava,1
33,MAT,2,USNT,in bethlehem o judea the saed fer this is whut tha proaphit writ but you bethlehem in tha lan o judah ye ir bi nae mains tha laist amang tha rulers o judah fer oot o you wull cum a ruler that wull herd ma fowk israel,in thaim days itll be tarrible fer weemen thats expectin an fer mithers wi weans at tha breesht,1
34,MAT,2,USNT,then herod caad tha wise men thegither on tha quait an he fun oot frae thaim whan it wus that tha starn haed cum intae sicht,an she went oot an saed tae hir mither whutll a ax fer,1
35,MAT,2,USNT,he sent thaim tae bethlehem an he toul thaim luk in iverie airt fer tha wean,an a know richt weel that his commauns aye roads tae iverlastin life,1
36,MAT,2,USNT,as shuin as yis fin him wud ye bring me wurd sae as a can gae an woarship him as weel efter the haed heerd whut tha king haed tae say the set aff on thair wye an lo an behoul tha starn the haed saen in tha east went aheid o thaim til it stapt richt ower tha place whar tha wean wus,sae then if oniebodie tells ye thair he is oot in tha wulderness dinnae gae oot or hes hidin here in tha hoose dinnae believe it,1
37,MAT,2,USNT,whaniver the saa tha starn the wur hairt gled,but whaniver tha tenantfairmers saa tha sinn the saed tae yin anither this is tha boy wull tak ower whan his da dees,1
38,MAT,2,USNT,the cum intae tha hoose the saen tha wee wean wi his mither mary an the bood doon an wurshipt him,he cum tae simon peter wha axt him loard you ir no fer waashin ma feet ir ye,1
39,MAT,2,USNT,then the apent thair kists an the set afore him thair gifts o gowld an frankincense an myrrh,yous gie thaim sumthin tae ait,1
