,book,chapt,version,text,second,label,identifier
0,MAT,1,USNT,here is tha femlie line o jesus christ tha sinn o davit an o abraham abraham wus tha faither o isaac isaac tha faither o jacob jacob tha faither o judah an his brithers,an jesus led thaim oot tha lenth o bethanie an thair he liftit up his hans an blisst thaim,1,MAT.1
1,MAT,1,USNT,an judah wus tha faither o perez an zerah an thair mither wus tamar,perez wus tha faither o hezron hezron tha faither o ram,0,MAT.1
2,MAT,1,USNT,perez wus tha faither o hezron hezron tha faither o ram,ram wus tha faither o amminadab amminadab tha faither o nahshon an nahshon tha faither o salmon,0,MAT.1
3,MAT,1,USNT,ram wus tha faither o amminadab amminadab tha faither o nahshon an nahshon tha faither o salmon,salmon wus tha faither o boaz an tha mither o boaz wus rahab,0,MAT.1
4,MAT,1,USNT,salmon wus tha faither o boaz an tha mither o boaz wus rahab,an at tha time the didnae breathe a wurd o whut the haed saen tae onie yin,1,MAT.1
5,MAT,1,USNT,boaz wus tha faither o obed an tha mither o obed wus ruth,obed wus tha faither o jesse an jesse tha faither o king davit,0,MAT.1
6,MAT,1,USNT,obed wus tha faither o jesse an jesse tha faither o king davit,an the saed naethin ava but noo saed jesus if yis hae a pooch or a baag tak thaim wi yis,1,MAT.1
7,MAT,1,USNT,davit wus tha faither o solomon bi hir that wus yinst tha wife o uriah,fair ye weel tha wurds wusnae richt aff jesus tung whan this man cum frae tha hame o tha heidyin o tha meetin hoose an saed tae him jairus yer dochter is deid dinnae bother tha maister onie mair,1,MAT.1
8,MAT,1,USNT,solomon wus tha faither o rehoboam rehoboam tha faither o abijah abijah tha faither o asa asa tha faither o jehoshaphat jehoshaphat tha faither o jehoram jehoram tha faither o uzziah,it wus preparation day tha day afore tha sabbath,1,MAT.1
9,MAT,1,USNT,uzziah wus tha faither o jotham jotham tha faither o ahaz ahaz tha faither o hezekiah,hezekiah wus tha faither o manasseh manasseh tha faither o amon an amon tha faither o josiah,0,MAT.1
10,MAT,1,USNT,hezekiah wus tha faither o manasseh manasseh tha faither o amon an amon tha faither o josiah,he toul thaim gae an wark in ma vineyaird as weel an all pye ye a fair wage,1,MAT.1
11,MAT,1,USNT,josiah wus tha faither o jeconiah an his brithers,that wus roon aboot tha time the wur cairriet aff tae babylon,0,MAT.1
12,MAT,1,USNT,that wus roon aboot tha time the wur cairriet aff tae babylon,then his een apent wide an his sicht cum bak,1,MAT.1
13,MAT,1,USNT,an efter the wur cairriet awa tae babylon jeconiah becum tha faither o shealtiel an shealtiel tha faither o zerubbabel,an mine ye dinnae waste ocht sae efter iveriebodie haed et the gethert tha leains o tha five barley bannocks an fillt twal creels wi thaim,1,MAT.1
14,MAT,1,USNT,zerubbabel wus tha faither o abiud abiud tha faither o eliakim an eliakim tha faither o azor,azor wus tha faither o zadok zadok tha faither o akim an akim tha faither o eliud,0,MAT.1
15,MAT,1,USNT,azor wus tha faither o zadok zadok tha faither o akim an akim tha faither o eliud,eliud wus tha faither o eleazar eleazar tha faither o matthan an matthan tha faither o jacob,0,MAT.1
16,MAT,1,USNT,eliud wus tha faither o eleazar eleazar tha faither o matthan an matthan tha faither o jacob,an noo the ir nae mair twa seprit fowk but the ir yin,1,MAT.1
17,MAT,1,USNT,an jacob wus tha faither o joseph an joseph wus merriet tae mary,an mary wus tha mither o jesus tha yin caad christ,0,MAT.1
18,MAT,1,USNT,an mary wus tha mither o jesus tha yin caad christ,that made fowerteen generations in aa frae abraham tae davit fowerteen frae davit til the wur cairriet awa tae babylon an anither fowerteen frae that tae tha cumin o christ,0,MAT.1
19,MAT,1,USNT,that made fowerteen generations in aa frae abraham tae davit fowerteen frae davit til the wur cairriet awa tae babylon an anither fowerteen frae that tae tha cumin o christ,tha man reponed he is a proaphit,1,MAT.1
20,MAT,1,USNT,an this is hoo tha birth o jesus christ cum aboot his mither mary wus promist tae joseph but afore the cum thegither she fun oot she wus wi a wean,an it wus bi tha halie spirit,0,MAT.1
21,MAT,1,USNT,an it wus bi tha halie spirit,did ye no say ye wud wark fer yin siller coin,1,MAT.1
22,MAT,1,USNT,noo joseph hir husban wus a dacent man an he didnae want hir tae be affrontit sae he thocht tae senn hir awa on tha quait,he wus thinkin aboot aa this whan lo an behoul an angel o tha loard appeart tae him in a draim an saed joseph sinn o davit dinnae be feart tae tak mary fer yer wife fer tha wean shes cairryin is o tha halie spirit,0,MAT.1
23,MAT,1,USNT,he wus thinkin aboot aa this whan lo an behoul an angel o tha loard appeart tae him in a draim an saed joseph sinn o davit dinnae be feart tae tak mary fer yer wife fer tha wean shes cairryin is o tha halie spirit,then the sput in his face an hut him wi thair fists,1,MAT.1
24,MAT,1,USNT,she wull hae a sinn an ye ir tae gie him tha name jesus fer he wull save his ain fowk frae thair wrangdaeins,noo aa this wus daen tae bring aboot whut tha loard haed saed throu tha proaphit a virgin wull cairrie a wean a sinn an whan hes boarn hell be caad immanuel mainin god is wi iz,0,MAT.1
25,MAT,1,USNT,noo aa this wus daen tae bring aboot whut tha loard haed saed throu tha proaphit a virgin wull cairrie a wean a sinn an whan hes boarn hell be caad immanuel mainin god is wi iz,whaniver joseph waakent up he daen whut tha angel o tha loard haed toul him tae dae an he tuk mary hame fer tae be his wife,0,MAT.1
26,MAT,1,USNT,whaniver joseph waakent up he daen whut tha angel o tha loard haed toul him tae dae an he tuk mary hame fer tae be his wife,she cum ahint jesus an she toucht tha enn o his cloke an strecht awa tha bleedin stapt,1,MAT.1
27,MAT,1,USNT,but he didnae sleep wi hir til efter tha wean wus boarn,the kep rhymin whuts he taakin aboot a wee while,1,MAT.1
28,MAT,1,USNT,an he caad him bi tha name jesus,jesus wus left on his lane wi tha wumman stannin afore him,1,MAT.1
29,MAT,2,USNT,efter jesus wus boarn in bethlehem in judea durin tha time that herod wus king spaemen frae tha east cum tae jerusalem an the axt whar is tha yin that haes bin boarn king o tha jews,tha warl cannae tak him in fer it nether sees him ner kens him,1,MAT.2
30,MAT,2,USNT,fer we hae saen his starn in tha east an hae cum fer tae woarship him,jesus answert him its you haes saed it,1,MAT.2
31,MAT,2,USNT,whaniver king herod heerd this he wus baadlie put aboot an aa jerusalem wi him,sae he brocht thegither aa tha jewish fowks heid preeshts an maisters o tha laa an he axt thaim whar tha christ wus tae be boarn,0,MAT.2
32,MAT,2,USNT,sae he brocht thegither aa tha jewish fowks heid preeshts an maisters o tha laa an he axt thaim whar tha christ wus tae be boarn,in bethlehem o judea the saed fer this is whut tha proaphit writ but you bethlehem in tha lan o judah ye ir bi nae mains tha laist amang tha rulers o judah fer oot o you wull cum a ruler that wull herd ma fowk israel,0,MAT.2
33,MAT,2,USNT,in bethlehem o judea the saed fer this is whut tha proaphit writ but you bethlehem in tha lan o judah ye ir bi nae mains tha laist amang tha rulers o judah fer oot o you wull cum a ruler that wull herd ma fowk israel,then herod caad tha wise men thegither on tha quait an he fun oot frae thaim whan it wus that tha starn haed cum intae sicht,0,MAT.2
34,MAT,2,USNT,then herod caad tha wise men thegither on tha quait an he fun oot frae thaim whan it wus that tha starn haed cum intae sicht,he sent thaim tae bethlehem an he toul thaim luk in iverie airt fer tha wean,0,MAT.2
35,MAT,2,USNT,he sent thaim tae bethlehem an he toul thaim luk in iverie airt fer tha wean,an sae tha fowk wus divid aboot him,1,MAT.2
36,MAT,2,USNT,as shuin as yis fin him wud ye bring me wurd sae as a can gae an woarship him as weel efter the haed heerd whut tha king haed tae say the set aff on thair wye an lo an behoul tha starn the haed saen in tha east went aheid o thaim til it stapt richt ower tha place whar tha wean wus,whaniver the saa tha starn the wur hairt gled,0,MAT.2
37,MAT,2,USNT,whaniver the saa tha starn the wur hairt gled,the put a stav in his richt han an the got doon on thair knees afore him mockin him an sayin lang leeve tha king o tha jews the sput on him an the tuk tha stav an hut him ower tha heid agane an agane,1,MAT.2
38,MAT,2,USNT,the cum intae tha hoose the saen tha wee wean wi his mither mary an the bood doon an wurshipt him,then the apent thair kists an the set afore him thair gifts o gowld an frankincense an myrrh,0,MAT.2
39,MAT,2,USNT,then the apent thair kists an the set afore him thair gifts o gowld an frankincense an myrrh,an bein warnt in a draim no tae gae bak tae herod the tuk anither road bak hame,0,MAT.2
40,MAT,2,USNT,an bein warnt in a draim no tae gae bak tae herod the tuk anither road bak hame,noo tha follaers didnae mine tae tak breid wi thaim an the haed nae mair than yin loaf atween thaim on tha boat,1,MAT.2
41,MAT,2,USNT,an efter the went awa an angel o tha loard appeart tae joseph in a draim,whan he heerd jhone it bothert him but aa tha same he aye listened tae him wi a gled hairt,1,MAT.2
42,MAT,2,USNT,git up he toul him tak aff tae egypt wi tha wean an his mither,bide thair til a gie ye tha wurd fer herod is aboot tae hunt oot tha wean fer tae dae awa wi him,0,MAT.2
