,first,second,label
0,"Jedus Christ Kin People  Luke :-  Dis yah de people wa dey write down say been kin ta Jedus Christ, fom way back ta Abraham time.","Dey say, “Weh dis man git dis sense an de powa fa do dem miracle yah?",0
1,"Jedus come out fom King David fambly, an King David come out fom Abraham fambly.","An whosoneba tell e neighba say, ‘Ya fool!’ dat bad nuff fa mek um go suffa een de fire ob hell.",0
2,Abraham been de fada ob Isaac.,Den de king hab um call een dat saabant wa e been fagib.,0
3,Isaac been de fada ob Jacob.,An dat grass dey taday an e gone demarra.,0
4,Jacob been de fada ob Judah an e broda dem.,"E aks um say, ‘Hoccome oona da stan yah all day an ya ain do nottin?’ Dey ansa um say, ‘Ain nobody aks we fa wok fa um.’ De man say, ‘Well den, oona gwine come an wok een me grape fiel too.’  “Wen ebenin come, de man wa got de faam tell e head man ob de wokman dem say, ‘Call de wokman dem an gim dey pay.",0
5,"Judah been de fada ob Perez an Zerah, an dey modda been Tamar.",We done lef ebryting fa folla ya!,0
6,Perez been de fada ob Hezron.,"E good nuff fa de one wa laan fa be same like de one wa laan um, an fa de saabant fa be same like e massa.",0
7,Hezron been de fada ob Ram.,"Ef e dead, oona sponsable fa um!”  All de people ansa say, “Leh we an we chullun be sponsable fa e det.”  Den Pilate free Barabbas fa um.",0
8,Ram been de fada ob Amminadab.,"Two ob dem wot one cent, ainty?",0
9,Amminadab been de fada ob Nahshon.,One gone ta e faam.,0
10,Nahshon been de fada ob Salmon.,Oona leh de wheat an de grass grow togeda til haabis time come.,0
11,"Salmon been de fada ob Boaz, an e modda been Rahab.",Bot oona people ain wahn me fa do dat!,0
12,"Boaz been de fada ob Obed, an e modda been Ruth.","Dat wa mek um git powa fa do dem miracle yah.”  Now den, fo dat time, King Herod done been mek dem grab hole ta John an tie um op an pit um een de jailhouse.",0
13,Obed been de fada ob Jesse.,"Wen e build e house, e lay de foundation pon de rock.",0
14,Jesse been de fada ob King David.,"Dey kin sell dat pafume an git a whole heapa money fa um, an gii dat money ta de people wa ain got nottin!”  Jedus been know wa dey beena say, so e aks um say, “Hoccome oona da bodda dat ooman?",0
15,"David been de fada ob Solomon, an e modda been Uriah wife.",An e heal all kind ob ailment dat de people hab.,0
16,Solomon been de fada ob Rehoboam.,"A come fa ton de son ginst e fada, de daughta ginst e modda.",0
17,Rehoboam been de fada ob Abijah.,"All de people dey been stonish, an dey aks one noda say, “Dis man yah, ya tink e de Son ob David?”  Wen de Pharisee dem yeh bout dat, dey say, “Dat jes de Debil Beelzebub, de leada ob de ebil sperit dem, wa da gii dis man Jedus de powa fa dribe out ebil sperit.”  Jedus know wa dem beena tink, an e tell um say, “Ef de people een a country da fight ginst one noda, dat country ain gwine las.",0
18,Abijah been de fada ob Asa.,"Dey wahn fa test Jedus so dey tell um say, show dem a sign fa show dat God sen um fa true.",0
19,Asa been de fada ob Jehoshaphat.,"Wen Jedus git ta de leada house an gone een, e see de people dem wa beena gwine fa play flute fa de buryin an ebrybody wa beena weep an wail loud fa de chile.",0
20,Jehoshaphat been de fada ob Joram.,"E da ton ta a tree, so dat de bod dem come an mek nes pon e limb.”  De Paable Bout Yeast  Luke :-  Jedus tell um noda paable say, “Wen God da rule, e jes like yeast.",0
21,Joram been de fada ob Uzziah.,"De Debil, wa try fa mek people do ebil ting, come ta Jedus dey an tell um say, “Since ya God Son, chaage dese rock yah fa ton eenta bread.”  Jedus ansa um say, “Dey done write down een God Book say, ‘E tek mo den sompin fa nyam fa mek people lib fa true.",0
22,Uzziah been de fada ob Jotham.,"Cause de door weh people da go een weh dey gwine be stroy een hell, dat door big fa true, an dat way easy fa folla.",0
23,Jotham been de fada ob Ahaz.,"Come, an A gwine gii oona res.",0
24,Ahaz been de fada ob Hezekiah.,"An de one wa da knock ta God door, God gwine open op de door ta um.",0
25,Hezekiah been de fada ob Manasseh.,"A done mek fibe mo gole coin.’ E bossman ansa say, ‘Ya done good.",0
26,Manasseh been de fada ob Amon.,Obed been de fada ob Jesse.,0
27,Amon been de fada ob Josiah.,"Dey say, “Dis man say, ‘A kin stroy God House an den tek shree day fa build um back op gin.’ ”  De head man ob de priest leada dem stanop an aks Jedus say, “Wa mek dem people say ya done dem ting?",0
28,Josiah been de fada ob Jechoniah an e broda dem.,"A da tell oona, wen de Jedgiment Day come an God da jedge all de people, oona gwine suffa mo den dem people een Tyre an Sidon!",0
29,Dey been bon wen de people fom Babylon come een pon de Israel people an cyaa um off wid um ta Babylon an pit um een slabery.,"So den, ya mus dohn warry none tall say, ‘Weh A gwine git sompin fa nyam?’ or ‘Weh A gwine git sompin fa drink?’ needa say, ‘Weh A gwine git cloes fa weah?’ De people dat ain bleebe een God, dey da warry all de time bout dem ting.",0
30,"Atta dey enemy dem pit um een slabery an cyaa um off ta Babylon, Shealtiel been bon.",Den Herod aks dem man fa tell um de zact time wen dey fus see dat staa.,0
31,Jechoniah been de fada ob Shealtiel.,"A da sen oona fa go, an oona jes like sheep wa da gwine mongst wolf.",0
32,Shealtiel been de fada ob Zerubbabel.,"Dat time gwine be mighty haad fa ooman dem wa wid chile, an dem wa hab leetle baby!",0
33,Zerubbabel been de fada ob Abiud.,An oona gwine beat some ob dem een de meetin house an dribe um fom one town ta noda.,0
34,Abiud been de fada ob Eliakim.,"Mek um go ta de willage dem fa buy deysef sompin fa nyam.”  Jedus tell um say, “Dey ain haffa go way fom yah.",0
35,Eliakim been de fada ob Azor.,Some seed fall eenta de briah.,0
36,Azor been de fada ob Zadok.,Tareckly de wokman wa got de fibe coin gone fa trade wid e gole coin an e mek fibe mo gole coin.,0
37,Zadok been de fada ob Achim.,"Fa sho, e mo betta fa loss jes one paat ob ya body, den fa leh ya whole body git chunk eenta hell.",0
38,Achim been de fada ob Eliud.,Bot e ain find nottin pon um cep leaf.,0
39,Eliud been de fada ob Eleazar.,"So den, Joseph tek Jedus body an wrop um op een a clean linen closs.",0
40,Eleazar been de fada ob Matthan.,"De Man wa Come fom God gwine sen e angel dem an dey gwine pull out all dem wa mek people sin, an dem wa do ebil, mongst dem wa God da rule oba.",0
41,Mattah been de fada ob Jacob.,Oona ain memba wen A broke op dem fibe loaf ob bread fa gim ta fibe tousan man fa nyam?,0
42,Jacob been de fada ob Joseph.,De Sadducee dem say dat dead people ain gwine git op fom mongst de dead an lib gin.,0
43,"Joseph been Mary husban, an Jedus, wa dey call Christ, been Mary son.",De Tree an E Fruit  Luke :-  “Oona mus tek cyah!,0
44,"So den, dey been foteen generation  fom Abraham time ta King David time.","De man gree fa gii dem wokman dey pay fa de day, wa been one silba coin fa ebry man.",0
45,An dey been foteen generation fom King David time ta de time wen de people fom Babylon pit um een slabery an cyaa um off ta Babylon.,Mattah been de fada ob Jacob.,0
46,An dey been foteen generation fom den ta de time wen Jedus Christ bon.,"Wen de ooman pit dis pafume pon me body, e done um fa git me ready fa de time wen dey gwine bury me.",0
47,Jedus Christ Bon  Luke :-  Now dis yah wa happen wen Jedus Christ bon.,"De ciple dem come ta Jedus an beg um say, “Sen dat ooman way.",0
48,Jedus modda Mary been gage fa marry Joseph.,"All dem ting yah dat Jedus do, dey happen fa mek come true wa de prophet Isaiah been say.",0
49,"Bot, fo dey git marry an Joseph cyaa um fa lib wid um, dey find out dat Mary been speckin.","A da tell oona fa true, A ain gwine show no sign cep fa de sign ob de prophet Jonah.”  So den Jedus lef um, e gone.",0
50,An dat been de powa ob de Holy Sperit wa mek dat happen.,"Dey beat op on one, an dey kill noda one.",0
51,"Now Joseph wa been gage fa marry Mary, e been a man wa waak scraight wid God, an e ain been wahn fa see Mary come ta no open shame.",Stillyet dey ain been know wa beena happen til de big rain come an dey all git kiba op een de wata.,0
52,So Joseph mek op e mind fa paat wid Mary an keep um hush op.,"Some Pharisee an Jew Law teacha dem fom Jerusalem come ta Jedus an aks um say, “Hoccome ya ciple dem ain do wa we ole people been laan we?",0
53,"E beena study haad bout wa e gwine do, wen de Lawd sen a angel ta um een a dream.","Bot de seed wa fall pon de good groun, dat like de people wa yeh de wod an ondastan um een dey haat.",0
